rank	username	minecraft:used/minecraft:sign
1	DAD_1996	605
2	sufjanlover	62
3	ProbsNotNova	56
4	Russiancat1	55
5	OfficerAnvil	54
6	grislgrobl	25
7	SlowMoNinja1994	22
8	stuy9	18
9	LilLizardWizard	14
10	Setoply	11
11	DigiBlox	9
12	popcanter	8
13	jjettii	6
13	GingerNeutron	6
13	Nicole_Plus	6
13	tompup	6
17	Cidah	5
17	Sheellky	5
19	bbrothers_5	4
20	2xil2	3
20	knoodrake	3
20	JustGetGud	3
20	bbrothers4	3
20	JustAWill_	3
20	RohnekK	3
26	ashetrays	2
26	Captain_Hardtak	2
26	5712	2
29	Claw262	1
29	sonichugoddess	1
29	Swalt	1
29	Genuss	1
29	kaldarra	1
29	Kawaii_Haxor_L	1
29	byFlixxx	1
29	curterr	1
29	LuceImaginary	1
29	Blackerstons	1
29	MrButterscotch	1
29	KasterNM	1
29	ihomango	1
29	qu1ntometry	1
29	NeoJordache	1
29	Guestify	1
