rank	username	minecraft:used/minecraft:oak_boat
1	Rebytre	744
2	Freak_Genius	719
3	beeperbeeper5	588
4	noam464	564
5	joethahobo	468
6	RebelAndroid	457
6	Mahoose	457
8	Frozil12	315
9	eitanzaki	303
10	rarrq	295
11	_Dean_123	292
12	TheSecondLord	288
13	T045RTY	286
14	Menthas	260
15	Hisiste	250
16	Sral7	243
17	Hermanni__	240
18	Fullut	228
19	Lord_Zacler	221
20	himak1	218
21	Akoot_	213
22	HellsSponge	194
23	EcksD	166
24	Kouridragon	163
25	Vorlice	162
26	Soplight	161
27	pintsizedrogue	158
28	NomadicRobin_	153
29	Werbe	148
30	kekhon	147
31	CalebDHawk	146
32	Spacewardharpy7	145
33	Di_infiri	141
34	claivin	140
35	ROY4LE	137
36	Legendosh	135
37	Hyp3rion_	134
38	Historical_Sand	128
39	lordpipe	125
40	Blackberry1310	123
41	SammiWolfGirl	122
42	Groovy_MoonBird	115
43	SteveCraftBlocks	114
44	YungMaki	113
45	Lord_Jord	110
46	PortlyPete69	106
46	Enderslayerxz3	106
48	Merv__	103
48	_Nuf	103
50	TheShyPig	102
50	LordSpeed37	102
52	EveryonesUncle	101
52	Eraxa	101
52	Dogcorn69420	101
55	Smoke____	100
56	Ezekson	99
56	jnp_gaming	99
58	Hpdinosaur	96
59	mwrty	94
59	SuperPooch06	94
61	Blaiku	93
62	xxPipperDipperxx	92
63	lizardfightclub	88
63	BumbleBeever	88
65	Winklepicker279	87
66	youhjjhhhjj	86
66	TechnoNinja64	86
68	bloodbiter	84
68	Chromary	84
70	Arceus1975	81
70	Onennon	81
72	Blu3beast	79
73	ClemenPine	77
74	Jackattack53	75
74	Quaintster	75
76	oxfordschool	74
77	Leyna3	73
78	slkiey	72
78	sufjanlover	72
80	500am	70
80	Rumpletaezer	70
80	Xclax101	70
83	ewsophie	69
83	MattieHD	69
85	Racengan	68
85	Luigipunch989	68
87	m_be9	67
88	Drlzyy	65
88	ExtraDumb	65
88	censorsheep	65
91	PhantomsGhost_	64
91	LordAurum	64
93	Wowful	63
93	Decaying_Lotus	63
95	6king6colt6	62
95	Hyugo	62
95	Ryker	62
98	I_Am_Mushkin	60
98	egglapras	60
98	Xalithia	60
101	q_wq	59
101	Snowflowe	59
101	Parcc	59
101	chipklip	59
101	fluddd	59
106	KarlKaek	58
107	fred870d	57
107	_TCARREIRA_	57
109	Dedalus36	56
109	Natty	56
109	301851	56
112	benediktine1	55
112	masskedman	55
114	kinas45y5	54
114	Zoeyfortnite	54
116	thescout7	53
116	PigDab	53
116	Segotep999	53
119	Inchef	52
119	__tomato	52
119	Steelynan	52
119	EcksDofficial	52
123	Spenduh	51
124	jacxhadow	50
124	Zaridey	50
126	crying_wolf_13	48
127	Groundler	47
127	Powowowow	47
129	r123moore	45
129	SingedBread	45
129	RadarHz	45
132	Megarboh	44
132	Kkanot	44
132	Gryglu583	44
132	PlzNoBM	44
136	Myszoaz	43
136	Covalents	43
136	_naturell	43
136	MAns_44	43
140	xXTheWolfmanXx	42
140	ToxicHauntling	42
140	Skylord_Luke	42
140	420BreadLizard	42
140	Warlord324	42
140	Eczbek	42
146	WET_WET_WET	41
146	GravitySaint	41
146	SvenskaHugo	41
149	RefluxRatio	40
149	spencersolberg	40
149	djancak	40
149	Skippeh	40
149	MelodyGaysharks	40
154	Sky_light_KING	39
154	KG1999	39
154	Kubeusz2010	39
157	ItsColin11	38
157	ooga47	38
157	Deerfoot	38
160	Smashic	37
160	Nach0Bear	37
160	Optiprimus	37
163	awesomeoneme	36
163	set67	36
163	QueenShuvi	36
166	EMC_	35
166	ShedJr_	35
166	_Bguette_	35
166	The_slideV3	35
170	ImpavidArcher	34
170	thewindmillman	34
170	Nyxiom_	34
170	fw3xywashere	34
174	CruncyIsTaken	33
174	HyperCave	33
174	wezzzi	33
174	TheEnderman548	33
178	AJplaysMC_	32
178	Vetral1	32
178	Quincannon	32
178	gaming4Naming	32
182	MyNameIsJobo	31
182	AlexChristian	31
182	cog	31
182	Barlycorn	31
182	lcvezra	31
187	_Razar	30
187	fr_ser	30
187	HAIRYCLOUD626	30
187	audiocracked	30
187	33sudo	30
187	coobert42	30
193	KingFaenor	29
193	ApophisNova	29
193	IAmTheWalrus910	29
193	sp00ky_ghost977	29
193	stavgod	29
193	BlankityMcBlank	29
193	MyNamaSheff	29
193	JayToe	29
201	Incinere	28
201	H72l9w	28
201	Frxnkz	28
201	Cruciatur	28
201	CarbonatedCola	28
201	TableTim	28
201	Zythose	28
201	_Crimson_Legate	28
201	WyngGoy	28
210	nataliecool	27
210	Iagoku	27
210	Zippyzam	27
210	CoffeeNoir	27
210	CharlieButt	27
210	Mouse74	27
210	EfficientC52	27
210	Dusk_95	27
218	wickedword	26
218	PhantomBionic	26
218	ProfessorBee	26
218	loveseeker	26
218	The11thDoctor	26
218	Nicky19	26
218	NoChumpChange	26
218	MightyWertu	26
218	SkateboardR6	26
218	_AAZAR	26
228	Gary_	25
228	Mr_Byzantine	25
228	bigstankyy	25
228	Rich_Kat	25
228	MrExplorer	25
228	gcaisawesome	25
228	valiSW	25
228	Ajax6	25
228	fkGrim	25
228	2blox	25
238	FirsTimeGamingTV	24
238	Tmb1	24
238	Awyrlas	24
238	SellyZ	24
238	Jiminie	24
238	lillips	24
238	NameGenerat0r	24
238	Cyntrical	24
238	PlasticOtari	24
247	ratglock	23
247	mrnosetackle	23
247	LAVA129	23
247	KliBeast21	23
247	El_Jalapeno	23
247	Nycteus_	23
247	jcool7	23
254	Bruh77	22
254	oreee	22
254	Cryptacity	22
254	hcb238	22
254	Fast_Turtle	22
254	jewbacaman	22
254	Dan_Scha	22
254	TheSeismicDuck	22
254	the_russell1611	22
254	DemTechAlpha	22
254	csendeslol	22
254	MakeHistory157	22
254	Kekoo	22
254	DennyKai	22
254	LeeMcGee30	22
254	FishisTTV	22
254	diggydog67	22
271	Krasnal1337	21
271	Vryistal	21
271	nocturne78	21
271	Vizzoid	21
271	platinumzero	21
271	Purplehere	21
271	FishyBoy3811	21
