rank	username	minecraft:used/minecraft:orange_terracotta
1	YungMaki	9562
2	joethahobo	6571
3	Hermanni__	6022
4	mariominejedi	2673
5	ConnorDanky_	2452
6	eitanzaki	2369
7	Rumpletaezer	2133
8	THEKINGLyric10	2031
9	tuckerdoodle	1945
10	KingMatthew506	1906
11	beeperbeeper5	1875
12	thewindmillman	1850
13	Lord_Jord	1487
14	RatatJuice	1470
15	Steelynan	1433
16	SvenskaHugo	1241
17	RealGroot	1051
18	Huwulling	884
19	Onennon	794
20	Hoid_the_Roamer	755
21	Blaiku	737
22	Parcc	718
23	Karbl	707
24	SuperPooch06	695
25	diggydog67	634
26	EMC_	603
27	FreakGenius	594
28	gabriels543	589
29	bloodbiter	566
30	Werbe	537
31	Deerfoot	522
32	Barlycorn	518
33	TheShyPig	494
34	Xalithia	474
35	Snowflowe	439
36	MirielThePastor	333
37	ROY4LE	313
37	Smoke____	313
39	Fullut	304
40	TheSecondLord	300
41	Merv__	294
42	rarrq	281
43	wirelesstree	263
44	gren_ben	245
45	the_russell1611	241
46	Majonezzon	240
47	Sral7	218
48	Alteriity	215
49	Hyp3rion_	202
50	EveryonesUncle	201
51	MilleGrug	200
52	Blackberry1310	196
53	NameGenerat0r	182
54	PlasticOtari	163
55	Mr_Byzantine	160
56	Nicky19	157
57	Jimb0nat0r	152
58	ProbablyNick	136
59	gusstationwerker	132
60	theonlymagikarp	131
61	Blu3beast	125
62	Nycteus_	123
63	Enderxz3	121
64	XxCookiequeenxX	110
65	Legendosh	108
66	Shogunite	104
67	Mahoose	99
68	Rebytre	96
69	Kakolbus	95
70	cog	91
71	thgrocks	78
72	BobDeBouwer1337	74
73	Spacewardharpy7	71
74	The_SlideV5	68
75	Soplight	67
76	lordpipe	66
77	xolstoi	65
78	jessewegottacook	63
79	yatsuta	60
80	ApophisNova	59
80	MyNamaSheff	59
82	Zaridey	55
83	kekhon	54
83	MovingFish7	54
85	T045RTY	52
86	Kowcio_	51
87	QuiCreans	49
88	pintsizedrogue	48
89	mwrty	47
89	NomadicRobin_	47
91	Notta	42
92	Hpdinosaur	35
92	jcool7	35
94	Mattesco	33
95	DepressedCubic	30
95	Frozil20	30
95	Tyrannosplart	30
98	ooga47	28
99	500am	27
100	PhantomsGhost_	25
100	nocturne78	25
102	Deodorante	21
103	fanofbands101	20
104	fxiryglitch	19
104	_Bguette_	19
106	SmashingPump	18
