rank	username	minecraft:used/minecraft:spruce_wood
1	Smoke____	9042
2	PlasticOtari	7625
3	beeperbeeper5	7175
4	Marbz_	3947
5	M_Patata	2646
6	MasterNueve	2258
7	Shogunite	1840
8	rarrq	1793
9	Groundler	1719
10	luseis	1420
11	rotten_mango	1081
12	Mahoose	692
13	pintsizedrogue	655
14	kekhon	643
15	Frozil20	641
16	Rebytre	542
17	joethahobo	455
18	Chromary	452
19	RoofTyler	441
20	Inbefour	435
21	Ezekson	393
22	Arceus1975	359
23	m_be9	341
24	eitanzaki	310
25	Di_infiri	279
26	Chuglyfe	253
27	Merv__	233
28	Dusk_95	208
29	Legendosh	204
30	N7November	158
31	EveryonesUncle	148
32	noam464	145
33	xxPipperDipperxx	134
34	EMC_	126
35	500am	122
36	Kowcio_	118
37	YungMaki	114
38	ogoa	113
39	The_slideV3	109
40	ImpavidArcher	107
41	zOnlyKroks	93
42	gcaisawesome	89
43	Spacewardharpy7	77
43	pixelviolin	77
45	GLLogan2	76
45	Leyna3	76
47	MyNameIsJobo	73
48	Alphanzt99	71
49	Fullut	70
50	Jackster03	67
50	ConnorDanky_	67
52	Onennon	64
52	Vetral1	64
54	Mr_Byzantine	63
54	Smashic	63
56	CueMix	61
56	Bobby808	61
58	thebaddruid	60
59	NameGenerat0r	58
60	NoxxxxiS	57
60	CrateOfBoxes	57
62	MattieHD	54
63	KarlKaek	52
64	kairosIV	51
64	laron58	51
66	Zythose	47
67	UCP_TheKingK	46
68	PigDab	40
69	Blackberry1310	39
69	Felenov	39
71	SlayerCrypto	37
71	KeruNatsema	37
73	ApophisNova	35
73	EcksD	35
73	MyNamaSheff	35
76	Cowison	32
77	PortlyPete69	31
78	SvenskaSara	30
78	alderban107	30
80	diamondgolem35	27
80	Steelynan	27
82	claivin	26
83	mihimihimihi	25
83	HesDemonPants	25
85	CollinMH06	24
86	__lizi	22
86	valkam13	22
88	BlueZabu	21
89	BlancoFlaco	18
89	ThiccExotic	18
89	obzii	18
92	Yatitay	15
92	Flores991	15
92	thescout7	15
92	Eraxa	15
96	Biites	14
97	PazinGaming	13
97	SpaggeDR	13
97	Jimb0nat0r	13
100	rachcl	12
100	Historical_Sand	12
100	FishyBoy3811	12
100	avalan64	12
104	Kkanot	11
104	XxCookiequeenxX	11
104	LordSpeed37	11
107	SammiWolfGirl	10
108	UrbanPlanningEx	9
109	Koffeeinz	8
109	Malorn_Aetherius	8
109	Cavetorch	8
109	OfficerAnvil	8
113	Sleek_Storm_721	7
113	Choco_Spy	7
113	Soap_Bender	7
113	_Wannabe_	7
117	Harotio	6
117	ImNotYuqii	6
117	Stiar	6
117	prizm_	6
117	Jimi7hits	6
117	Mister3z	6
117	SvenskaHugo	6
117	Soplight	6
117	TechnoNinja64	6
126	Human_Resource	5
126	SirBreadward	5
126	EngagedGrub41	5
126	xolstoi	5
126	00000000-0000-0000-0009-01f73aa9620f	5
131	jessewegottacook	4
131	420BreadLizard	4
131	LazySupport00	4
131	sleepdrifter_	4
131	WYFYoyo	4
136	livingdaydreams	3
136	Zlatovlas	3
136	Boogaloo242	3
136	The_Fulgurator	3
136	Bumpy419	3
136	Deathkob	3
136	_Karmaa	3
136	trexgb	3
144	Huwulling	2
144	SquadMonster	2
144	Ardennes	2
144	Hyp3rion_	2
144	_Boipl_	2
144	RobotMinion101	2
144	TheShyPig	2
144	NomadicRobin_	2
144	Lutres_Torane	2
144	Enderxz3	2
154	ZaneABrain	1
154	Masssonnn	1
154	Inchef	1
154	The_Quack_Dealer	1
154	lordpipe	1
154	gusstationwerker	1
154	MirielThePastor	1
154	diggydog67	1
