rank	username	minecraft:used/minecraft:magenta_shulker_box
1	Hyp3rion_	1328
2	500am	700
3	pintsizedrogue	420
4	TheShyPig	389
5	livingdaydreams	315
6	PlasticOtari	301
7	monky_irl	184
8	jnp_gaming	182
9	Fullut	152
10	lordpipe	143
11	Spenduh	137
12	Lez_	134
13	YungMaki	117
14	Hisiste	107
15	beeperbeeper5	103
16	_Nuf	100
17	HellsSponge	98
18	Enderxz3	96
19	MAns_44	94
20	ConnorDanky_	93
21	Eraxa	89
22	Jackattack53	82
23	Yamdalorian	81
24	mwrty	79
25	Creativebuilder2	75
26	Chromary	74
27	Merv__	70
28	I_Am_Mushkin	68
29	burbankbuilder28	67
30	Zaridey	63
31	Blaiku	61
32	Huwulling	60
32	TheSecondLord	60
34	Jimb0nat0r	58
35	Bumpy419	57
36	kekhon	55
36	Akoot_	55
36	Kowcio_	55
39	luseis	54
40	Covalents	53
40	fluddd	53
42	Comma__	52
43	skroobiez	45
44	sp00ky_ghost977	44
45	T045RTY	39
45	Hoid_the_Roamer	39
47	Voxin2K	37
48	Apollo_993	36
49	AlazelTheReal	33
49	oscminus	33
51	2Stout	32
51	Jonafrog99	32
53	thescout7	30
53	El_Jalapeno	30
55	SteveCraftBlocks	29
55	set67	29
55	r123moore	29
58	Myszoaz	28
58	fade_emerge78823	28
60	Manaateee	27
60	Groundler	27
62	4774	25
62	obzii	25
64	crashomon	24
65	Rasmanden	23
65	Njensen7	23
67	Winklepicker279	22
68	PazinGaming	21
69	noam464	20
69	Krowuss	20
69	Karbl	20
69	miramyu	20
73	Hpdinosaur	19
74	NameGenerat0r	18
75	Swexti	17
75	hanaryheatwave	17
77	Racengan	16
78	Mattesco	15
78	Jiminbub	15
78	claivin	15
78	censorsheep	15
78	SpacesickPrism	15
83	Aezekial	14
83	fffMike	14
85	rarrq	13
86	Awyrlas	12
86	Xalithia	12
86	IamCL4SSY	12
86	Juh1s	12
90	Mahoose	11
90	Crizma_	11
90	Kouridragon	11
90	emreknugrlu	11
90	Soplight	11
95	MattieHD	10
95	SexcMf	10
97	ROY4LE	9
98	PhantomsGhost_	8
98	Houstonion	8
98	thewindmillman	8
98	wwwwinnebagoooo	8
102	Alteriity	7
102	poopybh	7
102	Fuad_R	7
102	TheKingK_	7
102	Ezekson	7
107	Mr_Byzantine	6
107	teslawolf38	6
107	6king6colt6	6
107	PigDab	6
107	Olib3ar	6
107	__tomato	6
107	K_a__a_n	6
114	MixerDixer	5
114	diamondgolem35	5
114	joethahobo	5
114	Euclidoris	5
114	Blackberry1310	5
114	Crowman1	5
114	KaptainKornhole	5
114	emrekn	5
114	xxPipperDipperxx	5
114	Ecplosive	5
124	eitanzaki	4
124	catandmoose	4
124	Inchef	4
124	Touched_Bread	4
124	Marbz_	4
124	maoz_ven	4
124	Werbe	4
124	MakeHistory157	4
124	SammiWolfGirl	4
124	Zoeyfortnite	4
134	m_be9	3
134	GingerNeutron	3
134	Smashic	3
134	fragrantmonke444	3
134	F_Uhre	3
134	Shogunite	3
134	Steelynan	3
134	taengoos	3
134	EcksD	3
143	ExtraDumb	2
143	jushykins	2
143	BronkerBrum	2
143	Maenara	2
143	wezzzi	2
143	lunkuku	2
143	Smiguli_	2
143	OG_Songsee	2
143	KingMatthew506	2
143	elliebelle107	2
143	CattSoup	2
143	Legendosh	2
143	TheSandwhich_	2
143	skitzxo	2
143	00000000-0000-0000-0009-01ff0c3e5e4f	2
158	H0UNDFRMH3LL	1
158	_Virify_	1
158	_Huge_Male_	1
158	BadenStayFly	1
158	EMC_	1
158	ImpavidArcher	1
158	SaucyDark	1
158	pr33tu	1
158	surfinggiraffejp	1
158	olliebollie48	1
158	yheece	1
158	Di_infiri	1
158	Malware_Mara	1
158	rpyoungg	1
158	WET_WET_WET	1
158	AlexxO_o	1
158	txxskx	1
158	EdGalbraith	1
158	JoeSaysBingBong	1
158	Russiancat1	1
158	Tyrannosplart	1
158	KSI	1
158	1442	1
158	Blu3beast	1
158	pretty_pink_reno	1
158	rezi	1
158	Spacewardharpy7	1
158	StarCookiees_	1
158	_Mythic____	1
158	Jij0	1
158	djancak	1
158	infiniteQuery	1
158	vandmanden	1
