rank	username	minecraft:used/minecraft:end_rod
1	Jackattack53	17246
2	Hyp3rion_	12949
3	Krowuss	7175
4	beeperbeeper5	3805
5	lordpipe	3753
6	noam464	3705
7	Mahoose	2264
8	joethahobo	1740
9	PlasticOtari	1597
10	Lez_	1596
11	Alteriity	1513
12	kekhon	1392
13	Di_infiri	1138
14	KingEgg1	1112
15	hanaryheatwave	1090
16	AdmiralSmoke	1060
17	m_be9	1003
18	FreakGenius	918
19	eitanzaki	855
20	Merv__	765
21	ImpavidArcher	751
22	_Mythic____	734
23	Marbz_	729
24	Ezekson	726
25	TheShyPig	689
26	titanlax	671
27	TheSecondLord	649
28	Spacewardharpy7	642
29	Zythose	630
30	r123moore	557
31	jnp_gaming	540
32	YungMaki	522
33	thescout7	502
34	Groundler	481
35	ECstardust	455
36	burbankbuilder28	447
37	EcksD	427
38	Huwulling	397
38	HellsSponge	397
40	pintsizedrogue	395
41	bigstankyy	374
42	Inchef	373
43	Jimb0nat0r	360
44	Manaateee	359
45	ConnorDanky_	344
46	Razzgriz	314
47	SvenskaHugo	313
48	Fullut	310
49	500am	306
50	Mattesco	298
51	Akoot_	277
52	k_ce	276
53	Buuck_	265
54	StarCookiees_	258
55	Blaiku	248
56	xolstoi	247
57	Blackberry1310	246
58	mihimihimihi	219
59	AuroraValkyrie	209
60	Steelynan	193
61	MineMaster0012	188
62	NameGenerat0r	184
63	SmashingPump	178
64	surfinggiraffejp	177
65	Xalithia	175
66	MoistMicrowave	171
67	Auseawesome	165
67	xxPipperDipperxx	165
69	luseis	163
70	Comma__	159
71	Iamthejo	156
72	Smashic	154
73	Enderxz3	148
74	Werbe	144
75	Frozil20	136
76	ROY4LE	127
77	oreee	122
77	SteveCraftBlocks	122
79	Rumpletaezer	120
80	EveryonesUncle	114
81	Sral7	110
82	GooseWithin	109
82	sp00ky_ghost977	109
84	Maenara	104
85	Soplight	102
86	SpacesickPrism	100
87	rarrq	99
88	Skylord_Luke	98
88	MakeHistory157	98
90	Quotary	96
91	Fuad_R	93
92	Ailmast	92
92	oscminus	92
94	ShedJr_	91
95	jushykins	88
96	vandmanden	87
97	AlexxO_o	85
98	NatalieTW	84
99	CollinMH06	83
100	j5ylim	80
101	6king6colt6	79
102	Onennon	75
103	Mewar	74
104	_Huge_Male_	73
105	claivin	72
106	CoffeeNoir	71
107	MightyWertu	70
107	Legendosh	70
109	ProbsNotNova	67
110	I_Am_Mushkin	65
111	Inbefour	63
