rank	username	minecraft:used/minecraft:dark_oak_sapling
1	ImpavidArcher	7867
2	thewindmillman	5686
3	eitanzaki	5097
4	Spacewardharpy7	3309
5	Blackberry1310	2943
6	Frozil20	2244
7	TheShyPig	1901
8	gcaisawesome	1648
9	m_be9	1606
10	Smoke____	1481
11	Snowflowe	1247
12	noam464	1091
13	beeperbeeper5	860
14	EveryonesUncle	701
15	TheSecondLord	665
16	MyNameIsJobo	587
17	El_Jalapeno	586
18	M_Patata	554
19	Ezekson	544
20	Euclidoris	516
21	MasterNueve	486
22	pintsizedrogue	448
23	Touched_Bread	407
24	burbankbuilder28	405
25	luseis	367
26	Zythose	365
27	Fullut	332
28	Akoot_	283
29	Russiancat1	277
30	HesDemonPants	274
31	TechnoNinja64	263
32	selectrix	260
33	RebelAndroid	252
34	Di_infiri	250
35	2Stout	236
36	LeeMcGee30	223
37	Shogunite	218
38	Inbefour	204
39	AnnieBathory	200
40	Winklepicker279	198
41	Soplight	191
42	CharlieButt	188
43	IamCL4SSY	186
44	Hisiste	184
45	ZoomieZoomie	180
46	_Cloverbelle_	179
47	Bandito_Roamer	177
48	Deathkob	176
49	lordpipe	172
50	stuy9	167
50	MineMaster0012	167
52	rarrq	164
52	Werbe	164
52	avalan64	164
52	madderfall	164
52	pixelviolin	164
57	DarlaMeow	162
58	Inchef	160
58	Barlycorn	160
60	Skippeh	159
61	Merv__	157
62	jacxhadow	154
62	Lord_Jord	154
64	RobotMinion101	151
65	Eraxa	147
66	SuperPooch06	146
67	r123moore	145
68	__tomato	144
69	anbbang	142
70	wezzzi	141
71	GingerNeutron	139
71	Hoid_the_Roamer	139
71	Dusk_95	139
74	DTwenty	136
75	Malorn_Aetherius	135
75	The_slideV3	135
77	RoskobiOne	134
78	KingMatthew506	130
79	kekhon	129
79	ProfessorBee	129
81	Hiryu27	116
82	Mr_Byzantine	111
83	set67	110
83	seramalen	110
85	dartwaffle	107
86	xxPipperDipperxx	106
87	Sleek_Storm_721	105
87	RatatJuice	105
87	_Karmaa	105
90	Hermanni__	101
91	censorsheep	98
92	lillips	97
92	Mythic1130	97
94	Natty	95
95	EcksD	94
96	PeteO1995	92
97	FreakGenius	91
98	Tobinator_007	86
98	PlasticOtari	86
100	Blu3beast	84
101	XxCookiequeenxX	83
102	Meatlaugh	82
103	gabriels543	81
104	Kateesaur	80
105	ThePoliteG	78
106	Hyugo	75
106	NieToksikpl	75
108	500am	73
109	Nicky_H225	72
109	theofiel	72
109	Nicserso	72
112	ThiccExotic	70
113	Queen_Jalapeno	69
113	yulgur1	69
115	Cowison	68
115	Ravenbie	68
115	Rexorout	68
118	JasmineGK	67
119	LeauVox4921	66
119	Rumpletaezer	66
119	Kynigito	66
122	chlorinex	65
122	Notta	65
124	CoffeeNoir	64
124	ConnorDanky_	64
126	Majonezzon	62
127	Ze1ig	61
127	Kyrum2169	61
129	Paintz	60
129	Lutres_Torane	60
131	hollowww	57
132	diamondgolem35	56
132	ZigzagLily43042	56
132	__hinterland__	56
135	Ecplosive	55
135	Moofyman	55
137	PhantomsGhost_	52
137	Wooptey	52
137	PigDab	52
137	Optiprimus	52
141	PortlyPete69	51
142	thescout7	50
142	eiC_	50
144	xzvu	49
145	ooga47	48
145	ReflexCode	48
147	ImDisconnected_	46
147	KeruNatsema	46
147	sp00ky_ghost977	46
147	Jij0	46
151	SingedBread	45
152	Paint	44
153	JayToe	42
154	Jovaphobic	41
154	The_Fulgurator	41
156	Karetoko	40
156	CrazyPotater	40
156	00000000-0000-0000-0009-01ff0c3e5e4f	40
159	Huwulling	38
160	paranoid_plant	37
160	Bumpy419	37
160	AlphaWolfPlaysMC	37
163	Groovy_MoonBird	36
163	_Razaria	36
165	Darkgon	35
165	JESS_THE_RERE	35
167	Smiguli_	34
168	SellyZ	33
168	smogfrog	33
170	DinoDoctor_	32
170	ZaneABrain	32
170	Historical_Sand	32
170	cheerytomato	32
170	Cryptacity	32
170	PegLegPete93	32
170	Leyna3	32
170	YungMaki	32
178	AlazelTheReal	30
178	RealGroot	30
178	lcvezra	30
181	KarlKaek	29
181	Ssor69	29
181	Fuhrer_Teemo	29
181	RoofTyler	29
181	xolstoi	29
186	Blaiku	28
186	SpacesickPrism	28
186	Deguns123	28
189	AlexStrange	27
189	claivin	27
189	07shiny	27
192	PabloGonza02	25
193	Groundler	24
193	potatocan	24
195	LordSpeed37	23
196	DangusCnt	22
196	Matek_	22
196	Hyp3rion_	22
196	Azmodan_246	22
196	fkGrim	22
196	OfficerAnvil	22
202	Kekoo	21
202	MissCeleste7	21
204	LittleBug562	20
204	Saltymart	20
204	yoyoYoloMonke	20
207	AuroraValkyrie	19
207	eviltunix	19
207	SPUDonSTEROIDS	19
207	Maenara	19
211	moertymoertan	18
211	Rich_Kat	18
211	ItzYaBoiPicard	18
211	KlausVonStiglitz	18
211	CalebDHawk	18
216	EMC_	17
216	AngalexikCZ	17
216	pappaberg	17
216	GoofyBread	17
216	cringenaynaybaby	17
216	Leithz6	17
216	MusicMe1005	17
223	Mr_Worthless	16
223	SyK7	16
223	KingFaenor	16
223	SaucyDark	16
223	Lumien_	16
223	Sheellky	16
223	jaimshae	16
223	annoyingenderman	16
223	Legendosh	16
232	SammiWolfGirl	15
233	Gamergirl420628	14
233	Felenov	14
233	GravitySaint	14
233	LeEricc	14
237	ITDV	13
237	Ardennes	13
237	_Nuf	13
237	himak1	13
237	Onennon	13
237	djancak	13
243	RosaDoesMC	12
243	ProbablyNick	12
243	ColeSnyder	12
243	Ryker	12
243	youhjjhhhjj	12
243	Prismyst	12
243	Lez_	12
243	joethahobo	12
243	TinMaster	12
243	Hannah_Banana_69	12
243	Norrhede	12
243	Armattillo	12
243	Smussa	12
243	MonitorLizards	12
243	2bolx_	12
243	The_SlideV5	12
259	LeDuctTape	10
259	MrExplorer	10
259	sitrollover	10
259	Jamstroxian	10
259	MelodyGaysharks	10
264	CliffEmAll	9
264	jushykins	9
264	Chickenchaser2	9
264	Smashic	9
264	PuustaKauasPdnt	9
264	ItsJunoIGuess	9
270	Lukeee33	8
270	Incinere	8
270	TastyPorkchop	8
270	Cambo5000	8
270	The11thDoctor	8
270	CarryLine	8
270	420BreadLizard	8
270	carpet4_69	8
270	IdeallyGrey	8
270	yatsuta	8
270	UCP_TheKingK	8
270	ThisUserIsStump	8
270	laron58	8
270	RadarHz	8
284	Comma__	7
284	NotMeowMix	7
284	Nekomin0	7
287	Atroxes	6
287	heckface	6
287	Khelvoryk	6
287	LeGold	6
287	LilLizardWizard	6
287	Matorz	6
287	faqpilot	6
287	xX_Stalin69_Xx	6
287	tompup	6
287	jnp_gaming	6
297	livingdaydreams	5
297	T045RTY	5
297	Adlair	5
297	Arceus1975	5
