rank	username	minecraft:used/minecraft:cut_red_sandstone_slab
1	Sral7	441
2	Legendosh	160
3	ImpavidArcher	145
4	KarlKaek	100
5	kekhon	95
6	legal_tax_evader	85
7	PlasticOtari	79
8	The_Quack_Dealer	77
9	Fullut	68
10	Cache3	66
11	RobotMinion101	61
12	QuiCreans	60
13	FreakGenius	32
14	ooga47	29
15	lordpipe	24
16	Skylord_Luke	14
16	TheShyPig	14
18	SuperPooch06	13
19	Tyrannosplart	9
20	Onennon	4
20	Steelynan	4
22	pintsizedrogue	3
23	TheSecondLord	1
23	500am	1
23	Mattesco	1
23	Manaateee	1
23	Yamdalorian	1
