rank	username	minecraft:used/minecraft:crimson_door
1	ShedJr_	51
2	Optiprimus	47
3	Spacewardharpy7	37
4	beeperbeeper5	36
5	kekhon	25
6	PlasticOtari	17
7	Smoke____	15
8	Legendosh	14
9	Mahoose	13
9	djancak	13
9	oxfordschool	13
12	Hyp3rion_	11
13	jnp_gaming	10
14	Hpdinosaur	9
15	r123moore	8
15	Luigipunch989	8
17	eitanzaki	7
18	Freak_Genius	6
19	bloodbiter	5
19	12Magner05	5
19	Kubeusz2010	5
22	mwrty	4
23	pintsizedrogue	3
23	Billious	3
23	kyouma777	3
26	RebelAndroid	2
26	Lord_Jord	2
26	Soplight	2
26	SammiWolfGirl	2
26	sebastiensaborio	2
26	fffMike	2
26	mobunni	2
33	MixerDixer	1
33	CliffEmAll	1
33	egglapras	1
33	MyNameIsDakar	1
