rank	username	minecraft:used/minecraft:stripped_birch_log
1	Legendosh	1969
2	tuckerdoodle	1535
3	Mahoose	1105
4	kekhon	444
5	Ezekson	417
6	EcksDofficial	351
7	Smoke____	319
8	_Dean_123	314
9	Groundler	272
10	Stiar	259
11	DarkS0L	215
12	Deerfoot	194
13	eiC_	189
14	MattieHD	181
15	ooga47	150
16	MyNameIsJobo	147
17	Soplight	142
18	Quotary	139
19	TheShyPig	133
19	Steelynan	133
21	Blackberry1310	130
22	ShedJr_	126
23	Onennon	122
24	Sky_light_KING	115
25	_Karmaa	110
26	PlasticOtari	105
27	__Fanda__	95
28	Mr_Byzantine	88
29	Kowcio_	85
30	Cowison	84
31	ImpavidArcher	80
32	pintsizedrogue	78
32	EtherealEspresso	78
34	Diavri	76
35	Malorn_Aetherius	73
36	Freak_Genius	72
37	500am	71
38	Snowflowe	64
39	EMC_	57
39	Fullut	57
41	DAD_1996	55
42	ABUSNA1996	45
43	jnp_gaming	43
44	Enderslayerxz3	41
45	Deathkob	38
46	Di_infiri	37
47	lordpipe	36
48	KarlKaek	35
49	mwrty	33
50	Jij0	32
50	brofrickcheaters	32
52	M_Patata	31
52	Leyna3	31
54	Akoot_	30
55	SuperPooch06	27
56	rarrq	25
56	CollinMH06	25
58	Werbe	24
59	Jiminie	23
59	DarlaMeow	23
61	El_Jalapeno	22
62	shyshyannne	21
62	whoaluv	21
64	anbbang	20
65	EcksD	19
66	PortlyPete69	17
67	beeperbeeper5	16
67	KingMatthew506	16
69	Myhym	15
69	oxfordschool	15
71	burbankbuilder28	13
71	Shogunite	13
73	SteveCraftBlocks	11
73	KlausVonStiglitz	11
73	Human_Resource	11
73	KG1999	11
77	Sleek_Storm_721	10
77	smogfrog	10
79	Merv__	9
79	Giannism	9
79	_Bguette_	9
79	NameGenerat0r	9
79	Lowjinx	9
84	ATrojansLegend	8
84	PegLegPete93	8
84	Eraxa	8
84	lcvezra	8
88	Groovy_MoonBird	7
88	Rebytre	7
88	Felenov	7
88	SingedBread	7
92	Wooptey	6
92	livingdaydreams	6
92	Ssor69	6
92	LotusProject	6
92	_Cloverbelle_	6
92	pixelviolin	6
92	OnlyOfficial	6
99	Ozixar	5
99	DC_XII	5
99	SammiWolfGirl	5
99	UrbanPlanner1978	5
99	trexgb	5
104	TheSecondLord	4
104	purpolepickle	4
104	Arceus1975	4
104	_naturell	4
104	claivin	4
104	YungMaki	4
110	Ailmast	3
110	regulator75	3
110	HyperCave	3
110	Racengan	3
110	ItsDeltaMC	3
110	knzil	3
110	TechnoNinja64	3
117	Travasaur	2
117	nataliecool	2
117	PhantomsGhost_	2
117	BlancoFlaco	2
117	Franco093	2
117	LoboTheLobster	2
117	heckface	2
117	Cryptacity	2
117	Comma__	2
117	Nicky_H225	2
117	Masssonnn	2
117	surfinggiraffejp	2
117	noam464	2
117	MitexFTW	2
117	MangoTheFish	2
117	Zielo2017PL	2
117	yulgur1	2
117	Blu3beast	2
117	MightyWertu	2
117	Sank34	2
117	Spenduh	2
117	_3Stump_	2
117	Eczbek	2
117	cichy096	2
117	2blox	2
142	Skyler_Diablo	1
142	eitanzaki	1
142	joethahobo	1
142	nocturne78	1
142	Dali1465	1
142	xxPipperDipperxx	1
142	CarltheCuck	1
142	WET_WET_WET	1
142	jewbacaman	1
142	KeruNatsema	1
142	sxc_	1
142	EveryonesUncle	1
142	Fuhrer_Teemo	1
142	DemTechAlpha	1
142	LokisCharredFace	1
142	Yahir091	1
142	Airem_Core	1
142	Godspirit249	1
142	Xovalt_	1
142	rejenita	1
142	jcool7	1
142	FelixPSY375	1
142	h2p_emrld	1
