rank	username	minecraft:used/minecraft:diamond_helmet
1	luseis	9
1	00000000-0000-0000-0009-01ff0c3e5e4f	9
3	DinoDoctor_	6
3	Arceus1975	6
3	WYFYoyo	6
6	Luminad3	5
6	00000000-0000-0000-0009-01f9013b764e	5
8	Auseawesome	3
8	12Magner05	3
8	hanaryheatwave	3
8	Agent108	3
8	Tiktola01	3
13	H0UNDFRMH3LL	2
13	CloroxBleach385	2
13	LeDuctTape	2
13	rarrq	2
13	4383	2
13	TheSecondLord	2
13	Smashic	2
13	SlayerCrypto	2
13	AmbroseForLife	2
13	TheWildMateo	2
13	HyperCave	2
13	Dan_Scha	2
13	Gryglu583	2
13	Fuad_R	2
13	THEKINGLyric10	2
13	Vicemaniac	2
13	TheEnderMan548	2
13	SvenskaHugo	2
13	Kowcio_	2
13	MineMaster0012	2
13	SpacesickPrism	2
13	BungalowBeet	2
35	Krasnal1337	1
35	SDW_Insanity	1
35	Groovy_MoonBird	1
35	FazeObama69	1
35	Haficzeq6984	1
35	vanabell06	1
35	Jindong	1
35	eitanzaki	1
35	C0by3llis	1
35	R0cketmanstan	1
35	Myszoaz	1
35	jessewegottacook	1
35	blevster	1
35	TheMaster972	1
35	SquadMonster	1
35	Crowman1	1
35	I_Moose	1
35	dawerty	1
35	Jakobo1337	1
35	cubecutter124	1
35	Kkanot	1
35	Flapjacker687	1
35	Touched_Bread	1
35	GOOBERGABE04	1
35	Jackattack53	1
35	PosPsycher	1
35	corpsecity	1
35	Hyp3rion_	1
35	Rebytre	1
35	bee_gorl	1
35	KartivGal	1
35	Mattesco	1
35	Moofyman	1
35	Zielo2017PL	1
35	TJawesome09	1
35	Akoot_	1
35	bpmm	1
35	MyNameIsDakar	1
35	ori19	1
35	Ooosa	1
35	ATurtle4936	1
35	SingedBread	1
35	Yahir091	1
35	technic_squirrel	1
35	Godspirit249	1
35	33sudo	1
35	_JrTurtle_	1
35	Photosynthesis_s	1
35	UCP_TheKingK	1
35	Soplight	1
35	BurgerKnight	1
35	ZoomieZoomie	1
35	TheOuterCore	1
35	Physics_Breaker	1
35	EcksD	1
35	CrimsonGale	1
35	2bolx_	1
35	calamariclam_I	1
35	IsoldeB	1
35	FishisTTV	1
35	00000000-0000-0000-0009-01fec705f83f	1
35	00000000-0000-0000-0009-01f7965f8059	1
