rank	username	minecraft:used/minecraft:polished_tuff
1	pixelviolin	788
2	InchoateOyster	397
3	k_ce	260
4	lumiscosity	119
5	Lorcout	78
6	thewindmillman	74
7	Secret_Canary	59
8	Enderxz3	48
9	CLG_Kata	40
10	Mr_Byzantine	19
11	Yamdalorian	17
12	Spaghettatron	11
13	Buuck_	8
14	00000000-0000-0000-0009-01fe065167f0	5
15	_Mythic____	3
16	net_flex	2
16	beeperbeeper5	2
16	oscminus	2
16	LeCavalier636	2
20	GGabrielSauce	1
20	Merv__	1
20	MattieHD	1
20	Soplight	1
