rank	username	minecraft:used/minecraft:mud_bricks
1	Pumpkin_P_Patch	5153
2	TheWickedBird	2746
3	Mr_Byzantine	1451
4	pixelviolin	1203
5	Dakar_	702
6	SvenskaHugo	537
7	Manaateee	525
8	thewindmillman	466
9	Merv__	340
10	Thunder_bird4337	325
11	SpacesickPrism	297
12	PlasticOtari	271
13	CarryLine	254
14	rarrq	248
15	GooseWithin	223
16	12Magner05	221
17	skroobiez	138
18	EMC_	125
19	Kowcio_	122
20	Steelynan	119
21	Soplight	77
22	k_ce	76
23	PazinGaming	61
24	Roenfire	60
25	MrShojo	52
26	Mattesco	44
27	Mahoose	36
28	EngagedGrub41	25
29	pintsizedrogue	10
29	Werbe	10
29	luseis	10
32	ECstardust	4
32	Iamthejo	4
34	_Huge_Male_	2
34	catandmoose	2
34	Fuad_R	2
34	Legendosh	2
38	Lez_	1
38	Papudron	1
38	Touched_Bread	1
38	shadowthemonkey	1
38	_Mythic____	1
38	Enderxz3	1
38	Jimb0nat0r	1
