rank	username	minecraft:used/minecraft:chorus_fruit
1	Smoke____	333
2	claivin	168
2	Hermanni__	168
4	striker90333	151
5	thewindmillman	142
6	Kijiki	122
7	Blu3beast	104
8	SingedBread	100
9	ElectricDragon81	99
10	Xclax101	95
10	pixelviolin	95
12	Ailmast	92
13	masskedman	90
14	Ezekson	86
15	Arceus1975	81
16	Groovy_MoonBird	78
17	TheWildMateo	75
18	Iagoku	73
19	H0UNDFRMH3LL	69
20	Di_infiri	68
21	ZaneABrain	66
22	HellsSponge	64
23	Mahoose	61
23	rarrq	61
25	12Magner05	59
26	Mythic1130	56
27	Karbl	54
27	Zoeyfortnite	54
29	peach0s	51
30	BlancoFlaco	50
30	JuuustYeet	50
32	Hisiste	47
33	noam464	45
34	SuperPooch06	44
34	ooga47	44
36	m_be9	42
37	jimintyy	40
37	Alteriity	40
39	Fullut	39
40	TechnoNinja64	37
41	pintsizedrogue	36
42	himak1	35
43	kekhon	33
43	gcaisawesome	33
45	Dusk_95	31
46	PeteO1995	29
46	_TCARREIRA_	29
48	set67	28
48	xxPipperDipperxx	28
48	MovingFish7	28
48	gusstationwerker	28
52	The11thDoctor	27
52	Ender_Souls	27
52	YungMaki	27
55	PhantomsGhost_	25
55	I_Am_Mushkin	25
55	crying_wolf_13	25
55	Kyrum2169	25
59	RoofTyler	24
59	NameGenerat0r	24
59	PortlyPete69	24
59	vandmanden	24
63	NomadicRobin_	23
64	luseis	22
64	jnp_gaming	22
66	joethahobo	21
66	_Bguette_	21
68	Bobby808	20
68	AlexxO_o	20
68	geekbird	20
71	Hpdinosaur	19
71	gaziter10	19
73	UncreativeArtist	18
73	bladeefan2009	18
75	eitanzaki	17
75	KingNightHawk	17
75	n0qtrnL	17
78	ItsColin11	16
78	Kura2218	16
78	2bolx_	16
81	CliffEmAll	15
81	zorin123	15
81	M_Patata	15
81	Cocoamallows	15
81	Chuglyfe	15
86	Zaridey	14
86	gabriels543	14
88	dabloons	13
88	heckface	13
88	bloodbiter	13
88	Akoot_	13
88	Inbefour	13
88	PlzNoBM	13
94	Batman922	12
94	SaintJosie	12
94	Quaintster	12
97	k_ce	11
97	Prodiginus	11
97	whoaluv	11
97	Rasmanden	11
97	Gryglu583	11
97	Katthaj	11
97	fluddd	11
97	Zetsey	11
97	00000000-0000-0000-0009-01faf4342590	11
106	MattieHD	10
106	redikul	10
106	Tyrannosplart	10
106	Rocket103	10
106	Ze_BaronKrigler	10
106	Enderxz3	10
112	Ssor69	9
112	XboxPanda	9
112	Bismarck_KMS	9
112	Ritter__	9
112	Skippeh	9
112	diggydog67	9
118	Blackberry1310	8
118	Windo_licker	8
118	PuustaKauasPdnt	8
118	BRRRN179	8
118	Wowful	8
118	MakeHistory157	8
118	EcksD	8
118	Nicserso	8
118	UrbanPlanningEx	8
127	Frozil20	7
127	seramalen	7
127	IamCL4SSY	7
127	AlphaWolfPlaysMC	7
127	FadedSpade82	7
127	xzvu	7
133	Whiterooster001	6
133	_Dean_123	6
133	Tjhodskins19	6
133	SlayerCrypto	6
133	Rumpletaezer	6
133	Hyp3rion_	6
133	PigDab	6
133	binman420	6
133	Airem_Core	6
133	ConnorDanky_	6
143	ExtraDumb	5
143	Hiryu27	5
143	lillips	5
143	Warlord324	5
143	MasterNueve	5
143	RealGroot	5
149	Sleek_Storm_721	4
149	SaucyDark	4
149	500am	4
149	fallingemma	4
149	Onennon	4
149	MinerDec	4
149	wezzzi	4
149	FreakGenius	4
149	_k2x	4
149	33sudo	4
149	TheEnderMan548	4
149	lcvezra	4
149	SammiWolfGirl	4
149	felincaus	4
149	alderban107	4
149	Kubeusz2010	4
149	cichy096	4
149	Plathou	4
167	Mr_Byzantine	3
167	fanofbands101	3
167	hollowww	3
167	6king6colt6	3
167	ShedJr_	3
167	MOSS000	3
167	jushykins	3
167	Secret_Canary	3
167	SamZombie	3
167	RobotMinion101	3
167	zToasty69z	3
167	SkateboardR6	3
167	NotMeowMix	3
167	WyngGoy	3
167	__tomato	3
167	_Yonk_	3
167	UltraZombie	3
167	Eczbek	3
167	MissCeleste7	3
167	Sral7	3
187	FazeObama69	2
187	Merv__	2
187	bigstankyy	2
187	ImpavidArcher	2
187	RebelAndroid	2
187	Myszoaz	2
187	NieToksikpl	2
187	gilesmcriles	2
187	mwrty	2
187	Paintz	2
187	legal_tax_evader	2
187	Jackattack53	2
187	Werbe	2
187	halfwayup	2
187	Leyna3	2
187	Maenara	2
187	Captain_Nasty	2
187	handsome_strong	2
187	Blaiku	2
187	iGotUrHost	2
187	Jij0	2
187	Kowcio_	2
187	Professor_x8	2
187	FelixPSY375	2
187	HesDemonPants	2
212	Matemax	1
212	1ochi	1
212	CoffeeNoir	1
212	Arteriana	1
212	Ao_Ken	1
212	beeperbeeper5	1
212	FirsTimeGamingTV	1
212	Euclidoris	1
212	cubecutter124	1
212	Lor1113	1
212	Cambo5000	1
212	Motsaro	1
212	eviltunix	1
212	ROY4LE	1
212	__TheNorseMan__	1
212	shadowthemonkey	1
212	PosPsycher	1
212	MiningPie	1
212	GreedyFern8581	1
212	_Boipl_	1
212	ApophisNova	1
212	epiksk8erduck	1
212	Project_MKBRD	1
212	fxiryglitch	1
212	TheShyPig	1
212	ADEXTV	1
212	TheTrueClipse	1
212	DarkS0L	1
212	DarlaMeow	1
212	LTurtle	1
212	FlashMigma	1
212	censorsheep	1
212	Spacewardharpy7	1
212	zKaneki	1
212	Eraxa	1
212	brofrickcheaters	1
212	Sheldor097	1
212	MrTentacles2169	1
212	ChazzaHodge13	1
212	MyNamaSheff	1
212	Jimb0nat0r	1
212	JayToe	1
