rank	username	minecraft:used/minecraft:sniffer_egg
1	Jimb0nat0r	223
2	Werbe	84
3	Kakolbus	29
4	oscminus	26
5	TheSecondLord	22
6	PazinGaming	15
6	Steelynan	15
8	beeperbeeper5	13
9	pintsizedrogue	11
9	Lez_	11
11	j5ylim	10
12	Fullut	8
12	MAns_44	8
14	k_ce	7
15	EveryonesUncle	5
15	_Mythic____	5
17	ECstardust	3
17	Alteriity	3
17	Krowuss	3
20	Merv__	2
20	Jackattack53	2
20	SvenskaSara	2
20	StarCookiees_	2
20	MineMaster0012	2
20	Enderxz3	2
26	Huwulling	1
26	noam464	1
26	thatbeanyboi	1
26	Manaateee	1
26	pixelviolin	1
26	Kowcio_	1
