rank	username	minecraft:used/minecraft:brain_coral_fan
1	Hyp3rion_	235
2	thewindmillman	187
3	noam464	146
4	Lez_	93
5	Spacewardharpy7	91
6	_Dean_123	80
7	12Magner05	79
8	Di_infiri	74
9	luseis	72
10	Jackattack53	66
11	Xalithia	61
12	ImpavidArcher	52
13	SkateboardR6	45
14	lordpipe	35
15	AspenLightVT	34
16	pintsizedrogue	33
17	Mahoose	30
18	Fullut	29
18	Marbz_	29
20	Enderxz3	27
21	Merv__	26
21	TheWickedBird	26
23	Quaintster	25
24	Onennon	24
25	Ssor69	23
26	500am	22
27	ApophisNova	21
27	mihimihimihi	21
27	MyNamaSheff	21
30	Soplight	17
31	Rumpletaezer	16
31	TheShyPig	16
31	Legendosh	16
34	Alteriity	15
34	Archsam	15
36	Kakolbus	14
36	KingMatthew506	14
38	SaucyDark	13
39	Bandito_Roamer	12
39	Blackberry1310	12
39	SexcMf	12
42	ConnorDanky_	11
42	Yamdalorian	11
44	Frozil20	10
44	noodlepack	10
44	Arceus1975	10
44	_Mythic____	10
44	YungMaki	10
44	SpacesickPrism	10
44	diggydog67	10
51	r123moore	9
52	crashomon	8
52	Hiryu27	8
52	aec9	8
52	KeruNatsema	8
52	FreddyFart	8
52	Powowowow	8
58	eitanzaki	7
58	beeperbeeper5	7
58	TheDankPlatypus	7
58	Fizznut909	7
58	Steelynan	7
63	skroobiez	6
63	TheSecondLord	6
63	PigDab	6
63	Maenara	6
63	Jiminbub	6
63	EveryonesUncle	6
63	El_Jalapeno	6
63	Xclax101	6
63	iSammael	6
63	Jimb0nat0r	6
73	AuroraValkyrie	5
73	titanlax	5
73	RebytreGT	5
73	Voxin2K	5
73	GooseWithin	5
73	Inbefour	5
73	Manaateee	5
73	The_slideV3	5
73	Blaiku	5
82	Prismyst	4
82	tsohomie	4
82	MattieHD	4
82	AlexxO_o	4
82	_Karmaa	4
82	FreakGenius	4
82	WyngGoy	4
82	miramyu	4
82	_i_ERROR_i_	4
82	EcksD	4
82	HesDemonPants	4
82	PlasticOtari	4
94	T045RTY	3
94	ShedJr_	3
94	emrekn	3
94	burbankbuilder28	3
94	RobotMinion101	3
94	XxCookiequeenxX	3
94	HellsSponge	3
94	Typadopoulos	3
94	Factoroni	3
94	stellarjay	3
104	Mr_Byzantine	2
104	SmashingPump	2
104	diamondgolem35	2
104	hm947	2
104	joethahobo	2
104	excelsionprime	2
104	Werbe	2
104	NameGenerat0r	2
104	Blu3beast	2
104	pixelviolin	2
104	FishisTTV	2
115	BodaciousCake	1
115	CoffeeNoir	1
115	Huwulling	1
115	kekhon	1
115	Inchef	1
115	Covalents	1
115	hanaryheatwave	1
115	Donutt	1
115	AstreaTSS	1
115	Shogunite	1
115	Druid95	1
115	EngagedGrub41	1
115	Skippeh	1
115	Sral7	1
