rank	username	minecraft:used/minecraft:deepslate_tile_wall
1	thewindmillman	1568
2	00000000-0000-0000-0009-01ff0c3e5e4f	847
3	RebelAndroid	625
4	ImpavidArcher	574
5	500am	354
6	Smoke____	212
7	Mattesco	202
8	Ezekson	187
9	rarrq	183
10	Steelynan	178
11	TAKrules	175
12	fade_emerge78823	158
13	TheSecondLord	135
14	12Magner05	104
15	groofles	97
16	EMC_	81
17	Jimb0nat0r	67
18	ItsDeltaMC	56
19	joethahobo	55
20	Smashic	49
21	beeperbeeper5	45
22	mihimihimihi	44
23	iSammael	43
24	Jackattack53	40
25	benediktine1	38
26	ZoomieZoomie	34
27	Mr_Byzantine	30
28	pintsizedrogue	13
28	Mahoose	13
30	PigDab	12
30	PlasticOtari	12
32	Megarboh	11
33	teslawolf38	10
33	UCP_TheKingK	10
35	Legendosh	7
36	SpacesickPrism	5
37	Hyp3rion_	4
37	mobunni	4
39	Solar_Power	3
40	YungMaki	2
41	Wowful	1
41	fluddd	1
41	Spacewardharpy7	1
41	CalebDHawk	1
