rank	username	minecraft:used/minecraft:enchanted_book
1	pixelviolin	165
2	k_ce	120
3	Merv__	88
4	SOA1RR	83
5	Paul_Katan	41
6	Hahaa_0	29
7	TheWickedBird	27
8	Secret_Canary	21
9	Samificator	15
10	IlkeCookes_	14
11	pintsizedrogue	13
11	ZaneABrain	13
11	Kakolbus	13
11	U_Mos_	13
15	Zee_zey	12
15	12Magner05	12
15	oscminus	12
18	CLG_Kata	10
18	HUNTERmaun	10
20	Gus2005	6
21	Morgf	4
21	bl1ss0	4
21	Gzrdy	4
21	Reneedium	4
21	Mr_Sun15	4
21	cutelilreno	4
21	Kowcio_	4
21	Eczbek	4
29	_witch_craft_	3
29	VittoValenttino	3
29	Enderxz3	3
29	Legendosh	3
33	steppe_nomad	2
34	SteveCraftBlocks	1
34	craaaash	1
34	autisticcupcake	1
34	Buuck_	1
34	ElectricDragon81	1
34	Colmer94	1
