rank	username	minecraft:used/minecraft:deepslate_gold_ore
1	corvidpartyfor6	359
2	EMC_	343
3	Segotep999	261
4	Jiminie	139
5	Kakolbus	134
6	LeauVox4921	132
7	Miko_Fullbuster	93
8	calamariclam_I	86
9	Ryker	83
10	Megarboh	70
11	Enderslayerxz3	68
12	Meeerkat	64
12	pixelviolin	64
14	pintsizedrogue	59
14	dartwaffle	59
16	Snowflowe	58
17	SpacesickPrism	50
18	gcaisawesome	44
19	fw3xywashere	41
20	Lutres_Torane	40
21	thewindmillman	34
21	Hyp3rion_	34
23	beeperbeeper5	32
24	RebelAndroid	31
25	Toriankel	23
26	Jimi7hits	22
27	500am	19
27	Smashic	19
29	KGTV	17
29	TheALV	17
31	SyntheticSurgeon	16
31	Steven1282598	16
33	Khelvoryk	15
33	AltnumberF4	15
35	ShedJr_	14
35	joethahobo	14
37	masskedman	10
38	Silvo614	9
38	Steelynan	9
40	ZaneABrain	8
40	technic_squirrel	8
40	WYFYoyo	8
43	RatatJuice	7
43	Flores991	7
43	Fuad_R	7
46	MAns_44	6
46	RadarHz	6
48	ApophisNova	5
48	NomadicRobin_	5
48	Freak_Genius	5
48	MyNamaSheff	5
52	Mahoose	3
52	Prismyst	3
52	mrnosetackle	3
52	ItsDeltaMC	3
56	DinoDoctor_	2
56	Sleepy_Time_	2
56	TheSecondLord	2
56	lillips	2
56	Smoke____	2
61	Da_Boss_Rani	1
61	12Magner05	1
61	_HoneySlime_	1
61	prizm_	1
61	Jackattack53	1
61	BronkerBrum	1
61	Rebytre	1
61	Spacewardharpy7	1
