rank	username	minecraft:used/minecraft:yellow_banner
1	Smashic	219
2	Kowcio_	218
3	WyngGoy	144
4	UCP_TheKingK	60
5	Soplight	36
6	beeperbeeper5	35
7	TheShyPig	34
8	EveryonesUncle	32
9	kekhon	26
9	Legendosh	26
11	Mahoose	23
11	starbits140	23
13	Groovy_MoonBird	22
14	luseis	19
15	Frozil20	15
15	SteveCraftBlocks	15
17	PhantomsGhost_	11
17	Blackberry1310	11
17	Eraxa	11
20	pintsizedrogue	10
20	Merv__	10
20	MattieHD	10
20	Fullut	10
24	Huwulling	9
24	500am	9
24	LilyNova	9
27	_darky1_	8
27	Lez_	8
27	Historical_Sand	8
27	_Bguette_	8
27	Smoke____	8
32	whoaluv	7
32	Skylord_Luke	7
32	vandmanden	7
35	Werbe	6
35	Lord_Jord	6
35	HellsSponge	6
35	Xclax101	6
35	ConnorDanky_	6
40	fluddd	5
40	ZoomieZoomie	5
40	jnp_gaming	5
43	FazeObama69	4
43	Akoot_	4
45	Sleek_Storm_721	3
45	ImpavidArcher	3
45	RatatJuice	3
45	noam464	3
45	Arceus1975	3
45	Hoid_the_Roamer	3
45	Groundler	3
45	SammiWolfGirl	3
53	m_be9	2
53	thewindmillman	2
53	Snowflowe	2
53	NomadicRobin_	2
53	Shogunite	2
53	Dreamdbr14	2
53	Enderxz3	2
60	eitanzaki	1
60	InfernalMound	1
60	nevywop	1
60	titanlax	1
60	_Dean_123	1
60	xxPipperDipperxx	1
60	arcanemagic	1
60	Ecplosive	1
60	mariominejedi	1
60	Hiryu27	1
60	ApophisNova	1
60	yulgur1	1
60	Fuad_R	1
60	claivin	1
60	Quaintster	1
60	Blaiku	1
60	geekbird	1
60	TheAlmightyMoist	1
60	Kyrum2169	1
60	underscore_2	1
60	pablopickle	1
60	EcksD	1
60	MyNamaSheff	1
60	bladeefan2009	1
60	h2p_emrld	1
