rank	username	minecraft:used/minecraft:tuff
1	AdmiralSmoke	4277
2	Mattesco	3641
3	SpacesickPrism	2570
4	Jimb0nat0r	1845
5	Huwulling	1741
6	PlasticOtari	1296
7	500am	1078
8	Mahoose	979
9	EMC_	947
10	Marbz_	924
11	luseis	832
12	TheSecondLord	805
13	kyouma777	747
14	weabis	735
15	YungMaki	703
16	pintsizedrogue	689
17	Kowcio_	666
18	Segotep999	609
19	The_Fulgurator	545
20	Steelynan	516
21	TheALV	493
22	Jackattack53	486
23	Crowman1	481
24	GooseWithin	444
25	Manaateee	414
26	xPixelRainx	397
27	corvidpartyfor6	388
28	groofles	347
29	PazinGaming	342
30	shineh10	320
31	mihimihimihi	315
32	NATE_the_HALO	314
33	beeperbeeper5	280
34	12Magner05	270
35	k_ce	263
36	jessewegottacook	238
37	thewindmillman	231
38	SvenskaHugo	217
39	Enderxz3	196
40	Rebytre	195
41	Hyp3rion_	192
42	Fuad_R	177
43	Megarboh	170
44	Meeerkat	154
45	MuffinManzz	149
46	Iamthejo	147
47	EcksD	142
48	diamondgolem35	125
49	Dakar_	124
50	gcaisawesome	123
51	Da_Boss_Rani	120
52	fade_emerge78823	119
53	00000000-0000-0000-0009-01ff0c3e5e4f	118
54	Smashic	115
54	LeauVox4921	115
54	zToasty69z	115
57	MAns_44	110
58	StinkyDiplomat	109
59	Krowuss	105
60	ECstardust	103
61	Kakolbus	101
62	00000000-0000-0000-0009-01f073f37a91	100
63	TheDankPlatypus	97
64	BiggieDawg	96
65	zOnlyKroks	93
66	Weepingbiel	92
67	hanaryheatwave	85
68	Njensen7	80
69	satuern	75
70	RebelAndroid	74
70	TAKrules	74
70	ITDV	74
73	kidel03	72
73	SkinnyBois	72
75	Apollo_993	71
76	Moofyman	70
77	JitteryJared2	69
78	bearlystraight	68
79	Sharkbyte0	63
80	MinttyFressh	62
80	SvenskaAlvar	62
82	BPTY4618	60
83	Dan_Scha	58
84	Touched_Bread	57
85	Alfred603	56
85	Legendosh	56
87	thebaddruid	54
88	MrKrabOnCoke	53
88	Silvo614	53
90	Elastiq	51
90	FadedSpade82	51
92	_i_ERROR_i_	48
93	Sleepy_Time_	47
94	tuckerdoodle	45
94	Secret_Canary	45
96	shadowthemonkey	44
96	Lutres_	44
96	Skippeh	44
99	nattybears	43
99	SquadMonster	43
99	noam464	43
99	NLKBuilder	43
99	MilleGrug	43
104	RoskobiOne	41
104	PigDab	41
106	_Huge_Male_	40
106	poopybh	40
108	Kekoo	39
109	longappendage	38
109	SingedBread	38
109	pixelviolin	38
109	infiniteQuery	38
113	excelsionprime	37
113	ItsDeltaMC	37
115	masskedman	36
116	Merv__	35
116	Alteriity	35
116	WeebleSock	35
119	PortlyPete69	34
119	2blox_	34
121	lordpipe	32
122	q_wq	28
123	SyntheticSurgeon	27
123	joethahobo	27
123	HoltGrim	27
123	Moham	27
123	shrimp_flips	27
123	SammiWolfGirl	27
129	ZaneABrain	26
130	AlexxO_o	25
130	non089	25
132	SmashingPump	23
132	teslawolf38	23
132	ChampPog_	23
135	Druid95	22
135	athereall	22
135	EngagedGrub41	22
138	ccwildfire1	21
139	cubecutter124	20
139	Masssonnn	20
139	SBean737	20
139	Spacewardharpy7	20
139	Soplight	20
139	CattSoup	20
145	Chickenchaser2	19
145	HolyVenom	19
145	Lord_Doob	19
145	BungalowBeet	19
149	JohnnyMines	18
149	Ezekson	18
151	CoffeeNoir	17
151	LeEricc	17
151	WYFYoyo	17
154	00000000-0000-0000-0009-01fc3bb26159	16
155	imcombxt	15
155	UCP_TheKingK	15
155	Spenduh	15
158	FreakGenius	14
158	iSammael	14
158	MineMaster0012	14
161	Winklepicker279	13
161	WigglyMustard	13
161	RadarHz	13
161	Rexorout	13
165	RatatJuice	12
165	TheWildMateo	12
165	LeonelSalamanca	12
168	fw3xy74	11
168	NomadicRobin_	11
168	radimju	11
171	CLG_Kata	10
171	Creativebuilder2	10
173	MattieHD	9
173	Kubelz	9
173	prizm_	9
173	KeruNatsema	9
177	H0UNDFRMH3LL	8
177	Ryker	8
177	BronkerBrum	8
177	lizardfightclub	8
177	NameGenerat0r	8
177	EtherealEspresso	8
177	KujikawaRisechi	8
177	ZeroKraken	8
185	hm947	7
185	Arceus1975	7
185	Snowflowe	7
185	CarryLine	7
185	Tiktola01	7
185	tsitrawhy	7
185	ZoomieZoomie	7
185	AltnumberF4	7
193	itburb	6
193	ROY4LE	6
193	Jonafrog99	6
193	ApophisNova	6
193	ConJaBz	6
193	Eczbek	6
193	MyNamaSheff	6
193	coobert42	6
201	_stets	5
201	TemoraScorpendra	5
201	Killercatty78	5
201	NoHaHeHa	5
201	T045RTY	5
201	Lez_	5
201	bananamix994	5
201	Di_infiri	5
201	JETrotter	5
201	Heisenbberrg	5
201	Sheldor097	5
212	Mr_Byzantine	4
212	DinoDoctor_	4
212	I_Moose	4
212	_Nat666	4
212	nopekk	4
212	Mookle96	4
212	XboxPanda	4
212	Jimi7hits	4
212	Wowful	4
212	Veillax135	4
212	ATurtle4936	4
212	OffWithTheirHead	4
212	Sepulcro	4
212	THEKINGLyric10	4
212	EricAurum	4
212	calamariclam_I	4
228	NotRemets	3
228	chrolus	3
228	Valoth	3
228	NieToksikpl	3
228	TerraVl	3
228	Inchef	3
228	Xalithia	3
228	Solar_Power	3
228	EveryonesUncle	3
228	wwwwinnebagoooo	3
228	Hisiste	3
228	Vicemaniac	3
228	sp00ky_ghost977	3
228	IdeallyGrey	3
228	Invintic	3
228	Umbreon900	3
228	00000000-0000-0000-0009-01f0f6556b4b	3
245	chipklip	2
245	Ev0luti0nz	2
245	ImpavidArcher	2
245	QuiCreans	2
245	Skylord_Luke	2
245	Btabtab	2
245	Zackran	2
245	Steve897	2
245	Yahir091	2
245	_Dri_	2
255	Frozil20	1
255	Flores991	1
255	MogusBussy69	1
255	Myszoaz	1
255	Auseawesome	1
255	fuyyuu_oke	1
255	_Dean_123	1
255	KGTV	1
255	Cellcorgi649	1
255	CharlieButt	1
255	drunkeeez	1
255	Mr_Sun15	1
255	Ghemmah	1
255	Human_Resource	1
255	MustardSquid	1
255	CalebDHawk	1
255	mobunni	1
