rank	username	minecraft:used/minecraft:blue_concrete
1	Xclax101	11617
2	Shogunite	7521
3	Spacewardharpy7	5145
4	beeperbeeper5	4387
5	MattieHD	3561
6	joethahobo	2750
7	tartanboy	2495
8	HyperCave	2370
9	Mattesco	2234
10	Kyrum2169	1593
11	lordpipe	1507
12	doublemaki	938
13	Druid95	875
14	Jackattack53	747
15	Lez_	710
16	Legendosh	655
17	Inchef	621
18	Klerick	586
19	Kowcio_	545
20	milltesco	540
21	Merv__	362
22	Groovy_MoonBird	344
23	ConnorDanky_	318
24	_Dean_123	300
24	thewindmillman	300
26	Deathkob	298
27	TheSecondLord	291
28	xxPipperDipperxx	265
29	Skippeh	233
30	Frozil20	226
31	Kubeusz2010	209
32	set67	201
33	noam464	152
34	skroobiez	148
35	Soplight	142
36	DrowsyOracle	140
37	QuiCreans	136
38	titanlax	130
39	ElKaySVK	125
40	Kim_Jong_eel	119
41	Jackster03	116
42	TheShyPig	113
43	Tongon	106
43	MakeHistory157	106
45	cutelilreno	96
46	Akoot_	92
47	ImpavidArcher	89
48	CornOnTheCobalt	87
49	pintsizedrogue	67
50	Maenara	65
50	HellsSponge	65
52	Yamdalorian	63
53	cichy096	59
54	Orcus113	58
55	Snowflowe	53
56	Boipl	52
57	SammiWolfGirl	51
58	Tobinator_007	50
59	Jimb0nat0r	49
60	__tomato	47
61	hanaryheatwave	45
62	fkGrim	44
63	SyK7	42
63	starbits140	42
65	craaaash	39
65	jnp_gaming	39
67	teslawolf38	36
68	Alteriity	34
69	U_Mos_	33
69	AspenLightVT	33
71	eitanzaki	29
72	DAD_1996	27
73	Tyrannosplart	26
74	sp00ky_ghost977	25
74	TheKingK_	25
76	500am	24
77	EMC_	22
78	SvenskaHugo	21
79	RoboTramp7865	18
80	Huwulling	16
80	Mahoose	16
80	Truckoss	16
83	pr33tu	15
83	MustaLoordi	15
85	ColeSnyder	14
85	TechnoNinja64	14
85	Spaghettatron	14
88	Ezekson	13
89	bl1ss0	12
90	Manaateee	11
91	r123moore	10
92	TheBiggestFeller	9
92	royal_2	9
92	ROY4LE	9
92	Jonafrog99	9
96	chiakirice	8
97	PazinGaming	7
97	Incinere	7
97	luseis	7
100	Rich_Kat	6
100	Quinasin	6
100	miramyu	6
103	ShedJr_	5
103	LexMakesHistory	5
103	Nat1000	5
103	obzii	5
103	Iamthejo	5
108	MSK__	4
108	NieToksikpl	4
108	jacxhadow	4
108	ABUSNA1996	4
108	Fullut	4
108	EdGalbraith	4
108	Gryglu583	4
108	El_Jalapeno	4
108	xzvu	4
117	Mr_Byzantine	3
117	knarian	3
117	gcaisawesome	3
117	DaviusMaximoose	3
117	Blaiku	3
117	_i_ERROR_i_	3
117	Sheldor097	3
117	KingMatthew506	3
117	Enderxz3	3
117	TwinTowerV2	3
127	lpinfinity	2
127	mwrty	2
127	Di_infiri	2
127	GreedyFern8581	2
127	oscminus	2
127	ooga47	2
127	Drewen24	2
127	claivin	2
127	robonya_	2
136	Napoleonpancake	1
136	Julmish	1
136	Blackberry1310	1
136	bbquakes	1
136	jedi_george	1
136	Chromary	1
136	Hyp3rion_	1
136	burbankbuilder28	1
136	F_Uhre	1
136	ReSynced	1
136	emreknugrlu	1
136	MightyWertu	1
136	WyngGoy	1
136	Razzgriz	1
136	Decaying_Lotus	1
136	EcksD	1
136	aubergined	1
136	sea_otter_h	1
