rank	username	minecraft:used/minecraft:redstone_ore
1	Blaiku	7763
2	noam464	4929
3	gcaisawesome	4385
4	Spacewardharpy7	4305
5	Hyp3rion_	4284
6	Werbe	4188
7	Enderxz3	3210
8	PhantomsGhost_	3061
9	TheShyPig	2556
10	thewindmillman	2515
11	joethahobo	2293
12	YungMaki	2260
13	Snowflowe	2061
14	eitanzaki	1958
15	TheThomas69	1897
16	lordpipe	1835
17	EMC_	1714
18	Skippeh	1685
19	Hoid_the_Roamer	1599
20	r123moore	1583
20	AdmiralSmoke	1583
22	PlasticOtari	1318
23	PigDab	1265
24	Kakolbus	1262
25	Ezekson	1176
26	FreakGenius	1147
27	xDzarkious	1133
28	ConnorDanky_	1112
29	Zythose	1093
30	Mahoose	1019
31	Iamthejo	923
32	livingdaydreams	859
33	diamondgolem35	806
34	kekhon	736
34	EveryonesUncle	736
36	Hisiste	726
37	Historical_Sand	717
38	Fullut	703
39	TheSecondLord	696
40	Soap_Bender	683
41	Jackattack53	682
42	beeperbeeper5	663
43	Cowison	661
44	set67	659
45	Eczbek	615
46	Eczbox	609
47	CoffeeNoir	605
48	HellsSponge	592
49	NoChumpChange	591
50	Arceus1975	586
51	TheSeismicDuck	569
52	MyNameIsJobo	552
53	pintsizedrogue	534
54	Corbsman	527
55	audiocracked	526
56	Frozil20	524
56	LexMakesHistory	524
58	ApophisNova	518
58	MyNamaSheff	518
60	Vetral1	480
61	jnp_gaming	479
62	ClemenPine	468
63	Deathkob	441
64	Lutres_	434
65	Scathra	429
66	Akoot_	428
67	ImpavidArcher	401
68	soundad	397
69	WyngGoy	390
70	Hermanni__	387
71	Blackberry1310	382
72	Mewar	375
72	Smiguli_	375
74	ItsJunoIGuess	369
75	anbbang	349
76	MakeHistory157	337
77	TechnoNinja64	323
78	ROY4LE	318
78	Steelynan	318
80	ShedJr_	313
81	Rocco_Lane	308
82	Lord_Jord	305
83	Barlycorn	299
84	RebelAndroid	296
85	masskedman	293
86	FishyBoy3811	279
87	Groundler	272
88	Inbefour	271
89	thescout7	259
89	Awyrlas	259
91	eviltunix	257
92	teslawolf38	256
93	12Magner05	254
94	radioactv_jelly	243
95	Cocoamallows	241
96	Fuhrer_Teemo	240
97	ReSynced	237
98	Healthing	224
99	Soplight	219
100	Shiirazu	216
101	Kouridragon	213
102	Zedducius	212
103	MOSS000	207
104	BodaciousCake	204
105	Bumpy419	202
106	OverallConcept	198
107	TooManyDuck	197
107	501g	197
109	EcksD	196
110	Flores991	195
111	Steve897	192
112	500am	191
112	EfficientC52	191
114	Lukeee33	189
115	Kamflame10	186
116	SmashingPump	183
117	NatalieTW	182
117	mwrty	182
119	ProbablyNick	179
119	Iagoku	179
121	Ailmast	177
122	tlustyCZARNY	171
123	SpaceGrenadier	170
123	CalebDHawk	170
125	M_Patata	167
125	MasterNueve	167
127	Di_infiri	165
128	Swexti	164
129	Jimi7hits	158
130	skrongus	153
131	Nyxiom_	149
132	Yatitay	148
133	Dogcorn69420	147
134	luseis	144
135	FishisTTV	139
136	BronkerBrum	136
137	Bandito_Roamer	135
137	Kegradigm	135
139	legal_tax_evader	134
139	hanaryheatwave	134
141	Drewen24	133
142	rarrq	129
143	SaltineDream	128
143	Quotary	128
145	gaziter10	126
146	F_Uhre	125
146	fluddd	125
148	T045RTY	120
149	FirsTimeGamingTV	117
150	hcb238	115
151	little_dUki	113
152	oscminus	112
152	claivin	112
152	BumbleBeever	112
155	Katthaj	110
156	SDMNAEK	109
157	RefluxRatio	107
157	pixelviolin	107
159	PegLegPete93	102
159	LilLizardWizard	102
161	OG_Songsee	99
162	poopybh	98
163	DTwenty	96
164	MilleGrug	95
165	eiC_	94
166	Segotep999	90
167	TheTrueClipse	89
168	XboxPanda	88
169	Mattesco	87
169	Chaotic1s	87
171	Megarboh	86
172	Winklepicker279	85
173	andy_rex	84
174	Hpdinosaur	82
175	abramgray	81
175	Sheldor097	81
177	jcool7	79
178	fkGrim	78
179	07shiny	76
180	KartivGal	73
181	MattieHD	70
182	laron58	67
183	jushykins	66
183	ProfessorBee	66
185	Deu_Stew	64
185	kaziroki	64
185	Karbl	64
188	diggydog67	63
189	IWorkAtIkea	61
190	XeroByMyth	60
190	HolyVenom	60
190	SammiWolfGirl	60
193	ssleepless	58
194	SSytex_X	57
194	_3Stump_	57
196	Kowcio_	56
196	JayToe	56
198	MoistMicrowave	55
198	Z3braYTIL	55
198	Cyntrical	55
201	Xclax101	54
202	Afinnity	53
202	wfk7	53
202	Kferno	53
205	NameGenerat0r	52
206	Crowvens	51
206	fw3xy74	51
206	Quincannon	51
209	Maenara	50
210	IamCL4SSY	49
211	WYFYoyo	48
212	peachfuzz1267	46
212	MrExplorer	46
212	drumine	46
212	Jij0	46
216	Comma__	45
216	leaf26	45
218	Eraxa	44
219	Ssor69	43
220	Merv__	41
220	ItsJWolff	41
222	PortlyPete69	39
223	SaucyDark	38
223	Leyna3	38
223	vandmanden	38
226	Airem_Core	37
227	lizardfightclub	36
227	Majonezzon	36
229	I_Am_Mushkin	35
229	PlzNoBM	35
231	mihimihimihi	34
231	Teebone15	34
233	emrekn	33
234	Travasaur	32
234	Kim_Jong_eel	32
234	33sudo	32
237	ITDV	31
237	SlinkyPinky	31
237	JohnPrice	31
240	Crowman1	30
240	Nicserso	30
240	00000000-0000-0000-0009-01f073f37a91	30
243	6king6colt6	29
243	corvidpartyfor6	29
243	pappaberg	29
243	Hiryu27	29
247	SUN_DREAM	28
248	LeonelSalamanca	27
249	CLG_Kata	26
249	SeverianOfUrth	26
249	Kynigito	26
249	IdeallyGrey	26
253	SellyZ	25
253	Marbz_	25
255	calamariclam_I	24
256	MightyWertu	23
257	BlancoFlaco	22
257	Vizzoid	22
257	benediktine1	22
257	TheOuterCore	22
261	Inchef	21
261	Chromary	21
261	Legendosh	21
264	Malorn_Aetherius	20
264	EngagedGrub41	20
266	Oxygen16	19
266	MirielThePastor	19
268	RobotMinion101	18
268	Zoeyfortnite	18
270	Quaintster	17
270	Typadopoulos	17
270	Fizznut909	17
273	freeandrew	16
273	m_be9	16
273	NomadicRobin_	16
276	H0UNDFRMH3LL	15
276	Kubeusz2010	15
276	Powowowow	15
279	Donutt	14
280	Hanselhoof	13
280	Razzgriz	13
282	Jovaphobic	12
282	YinToYin	12
282	KomputerDude	12
282	slkiey	12
282	MaGro2010	12
282	Muffindrake	12
282	lillips	12
282	Njensen7	12
290	Rasmanden	11
290	layabout100	11
292	SyntheticSurgeon	10
292	prizm_	10
292	yulgur1	10
292	YungWali	10
292	Rainaldus	10
297	DirtyDalle	9
297	Voxin2K	9
297	ProfessorDiaper	9
300	Pofen	8
