rank	username	minecraft:used/minecraft:light_gray_carpet
1	YungMaki	90357
2	noam464	34950
3	Spacewardharpy7	30927
4	joethahobo	17597
5	EcksD	8890
6	Smoke____	4588
7	Rumpletaezer	4473
8	Swexti	4409
9	heckface	3166
10	kekhon	1803
11	thewindmillman	1424
12	Mahoose	1190
13	Snowflowe	1138
14	Quotary	968
15	oxfordschool	846
16	Freak_Genius	754
16	Blaiku	754
18	Lord_Jord	656
19	pintsizedrogue	648
20	mwrty	578
21	Hoid_the_Roamer	547
22	HellsSponge	502
23	Historical_Sand	426
24	Sral7	412
25	alderban107	379
26	beeperbeeper5	362
27	eitanzaki	330
28	Groovy_MoonBird	290
29	Sky_light_KING	272
29	Legendosh	272
31	500am	255
32	Jiminie	248
33	Merv__	243
34	Di_infiri	236
35	Groundler	216
36	titanlax	210
37	RebelAndroid	196
38	EveryonesUncle	194
39	mihimihimihi	190
39	MovingFish7	190
41	Blackberry1310	182
42	SkateboardR6	166
43	SpaceGrenadier	128
44	Akoot_	99
45	Quaintster	98
46	Enderslayerxz3	94
47	ApophisNova	91
47	MyNamaSheff	91
49	lcvezra	87
50	rarrq	76
51	Onennon	73
51	iHuntWeeaboos	73
53	cedric72	72
54	vandmanden	65
55	Scathra	62
55	Rebytre	62
57	epiksk8erduck	58
58	m_be9	55
59	thescout7	52
60	TheSecondLord	51
60	r123moore	51
62	Jeteight	45
63	RoskobiOne	44
63	Inbefour	44
63	Eraxa	44
66	6king6colt6	41
67	NomadicRobin_	37
68	Ezekson	35
69	Cortexia	33
70	TheShyPig	28
70	Kyrum2169	28
72	Jokerman369	25
72	CattSoup	25
74	MinuteMira	21
74	PortlyPete69	21
76	Optiprimus	19
76	Njensen7	19
78	MattieHD	18
78	EfficientC52	18
78	07shiny	18
81	M_Patata	17
81	Werbe	17
81	MasterNueve	17
84	Huwulling	16
84	bloodbiter	16
84	Eczbek	16
87	Cowison	15
87	Blu3beast	15
89	Mr_Byzantine	13
89	surfinggiraffejp	13
89	Kowcio_	13
89	stahouo	13
89	jcool7	13
89	Steelynan	13
89	TechnoNinja64	13
96	El_Jalapeno	11
97	PhantomsGhost_	10
97	NameGenerat0r	10
99	Frozil20	9
99	Sleek_Storm_721	9
99	Megarboh	9
99	ewpunk	9
99	lordpipe	9
99	PlasticOtari	9
99	EcksDofficial	9
106	Deathkob	8
106	Meatlaugh	8
108	KarlKaek	7
108	KomputerDude	7
108	binman420	7
108	UCP_TheKingK	7
108	Hermanni__	7
113	nataliecool	6
113	Harotio	6
113	Drlzyy	6
113	Arceus1975	6
113	_naturell	6
113	Wowful	6
119	SteveCraftBlocks	5
119	RyuNeko932000	5
119	LilLizardWizard	5
119	ogoa	5
119	Nagasaki_Riku	5
119	The_SlideV5	5
125	squigglybones	4
125	IWorkAtIkea	4
125	Xalithia	4
125	Ecplosive	4
125	Doom_melon	4
125	jewbacaman	4
125	MonitorLizards	4
125	Shogunite	4
125	claivin	4
125	pixelviolin	4
125	Segotep999	4
125	OfficerAnvil	4
125	00000000-0000-0000-0009-01ff0c3e5e4f	4
138	_stets	3
138	T045RTY	3
138	Da_Boss_Rani	3
138	ratglock	3
138	Ardennes	3
138	_Dean_123	3
138	orxngejuice	3
138	xBaltaci	3
138	platinumzero	3
138	misomon	3
138	Warlord324	3
138	Razzgriz	3
138	__tomato	3
138	ediballbearings	3
138	athereall	3
138	smogfrog	3
154	ImpavidArcher	2
154	_themselves	2
154	Prodiginus	2
154	HoltGrim	2
154	AnnieBathory	2
154	cwartzo	2
154	Maenara	2
154	chipklip	2
154	SwooshBoi	2
154	fluddd	2
154	Drawgirll	2
165	fanofbands101	1
165	dabloons	1
165	teslawolf38	1
165	Croqu_	1
165	ZaneABrain	1
165	Jackster03	1
165	SteveWithClout	1
165	MrKrabOnCoke	1
165	Ssor69	1
165	FirsTimeGamingTV	1
165	NieToksikpl	1
165	xxPipperDipperxx	1
165	gcaisawesome	1
165	NotKaden_	1
165	Arsinic7	1
165	Windo_licker	1
165	Jackattack53	1
165	LilyNova	1
165	Donutt	1
165	The11thDoctor	1
165	RobotMinion101	1
165	PigDab	1
165	FishyBoy3811	1
165	The_slideV3	1
165	Nycteus_	1
165	Racengan	1
165	WyngGoy	1
165	Cocoamallows	1
165	Spenduh	1
165	microcrisp	1
165	SammiWolfGirl	1
165	CalebDHawk	1
165	Winston_Ingram	1
165	2blox	1
