rank	username	minecraft:used/minecraft:light_gray_shulker_box
1	Mahoose	1388
2	Zythose	1037
3	kekhon	832
4	Hyp3rion_	740
5	pintsizedrogue	735
6	Skylord_Luke	659
7	joethahobo	650
8	Awyrlas	593
9	beeperbeeper5	498
10	PlasticOtari	399
11	Enderslayerxz3	389
12	m_be9	384
13	Frozil12	272
14	TheSecondLord	271
15	Blackberry1310	242
16	YungMaki	227
17	Megarboh	226
18	Historical_Sand	208
18	500am	208
20	Eraxa	184
21	Blaiku	176
22	Hermanni__	162
23	HellsSponge	147
24	Hiryu27	139
25	Kakolbus	137
26	oxfordschool	123
27	pixelviolin	121
28	r123moore	120
29	thescout7	117
30	noam464	106
31	Chromary	101
32	Jiminie	100
33	yulgur1	98
34	Alteriity	95
34	Inchef	95
36	PhantomsGhost_	93
36	Spenduh	93
38	Akoot_	91
39	prizm_	90
39	El_Jalapeno	90
41	Bumpy419	88
42	Eczbek	78
43	Rumpletaezer	76
44	EcksD	70
45	gcaisawesome	67
46	Marbz_	66
46	Lord_Jord	66
48	Nicserso	61
49	Jackattack53	56
50	SingedBread	55
51	Cryptacity	51
51	mwrty	51
53	set67	50
53	Steelynan	50
55	lordpipe	48
56	_Karmaa	45
56	Groundler	45
56	Hisiste	45
59	SammiWolfGirl	43
60	sp00ky_ghost977	42
61	Deathkob	40
62	Miko_Fullbuster	38
63	Xalithia	37
63	jnp_gaming	37
65	StinkyDiplomat	36
66	cedric72	34
67	fade_emerge78823	33
67	Hoid_the_Roamer	33
67	Inbefour	33
70	ImpavidArcher	32
71	ProfessorDiaper	31
72	Fuad_R	30
72	NameGenerat0r	30
74	TheShyPig	29
74	claivin	29
76	ogoa	28
76	Spacewardharpy7	28
76	Njensen7	28
79	AlexxO_o	26
80	_Virify_	25
80	Myszoaz	25
80	himak1	25
80	Dogcorn69420	25
80	h2p_emrld	25
85	Ender_Souls	24
85	Sheldor097	24
85	fffMike	24
88	IdeallyGrey	23
89	rarrq	22
89	Snowflowe	22
89	chipklip	22
92	6king6colt6	21
92	CollinMH06	21
92	Freak_Genius	21
95	Da_Boss_Rani	20
95	Dreamdbr14	20
97	Euclidoris	19
97	Covalents	19
97	kinas45y5	19
97	EcksDofficial	19
101	xxPipperDipperxx	18
101	MangoTheFish	18
101	fluddd	18
104	egglapras	17
104	PigDab	17
104	Segotep999	17
104	little_dUki	17
108	SvenskaAlvar	16
108	MightyWertu	16
110	0nly_sn1per	15
110	ClemenPine	15
110	groofles	15
110	YungWali	15
110	ZeroKraken	15
115	Blu3beast	14
116	Ailmast	13
116	MSK__	13
116	gabriels543	13
116	Nycteus_	13
116	Xclax101	13
121	thewindmillman	12
121	Rebytre	12
123	jushykins	11
123	MattieHD	11
123	Fullut	11
123	XboxPanda	11
123	audiocracked	11
123	Warlord324	11
123	vandmanden	11
130	fr_ser	10
130	Arceus1975	10
130	Jimi7hits	10
130	lillips	10
130	MAns_44	10
130	TheEnderman548	10
136	Merv__	9
136	eitanzaki	9
136	LeauVox4921	9
136	Werbe	9
136	TechnoNinja64	9
141	ProbablyNick	8
141	MinttyFressh	8
141	emrekn	8
141	wezzzi	8
141	iSammael	8
146	TooManyDuck	7
146	fred870d	7
146	DTwenty	7
146	1442	7
146	Racengan	7
146	WyngGoy	7
146	OG_Songsee	7
153	teslawolf38	6
153	H72l9w	6
153	titanlax	6
153	Di_infiri	6
153	Smoke____	6
158	nataliecool	5
158	bigstankyy	5
158	Xovalt_	5
158	Soplight	5
158	obzii	5
158	Skippeh	5
164	AuroraValkyrie	4
164	eli_tschki	4
164	Quincannon	4
164	TheTommyGun63	4
164	Optiprimus	4
169	Zippyzam	3
169	SDMNAEK	3
169	bloodbiter	3
169	SteveCraftBlocks	3
169	nitram49b	3
169	DanielMmm	3
169	HolyVenom	3
169	XxCookiequeenxX	3
169	fkGrim	3
169	LexMakesHistory	3
169	KingMatthew506	3
180	jessemgaming	2
180	Huwulling	2
180	_HoneySlime_	2
180	Nach0Bear	2
180	M_Patata	2
180	mariominejedi	2
180	WET_WET_WET	2
180	pappaberg	2
180	moonman169	2
180	k1ngGilgamesh	2
180	LeGold	2
180	Sky_light_KING	2
180	Bl1tzFX	2
180	Lutres_Torane	2
180	DarlaMeow	2
180	Jamstroxian	2
180	Kekoo	2
180	Legendosh	2
198	susbakaimpostor	1
198	JEWISHBadenBeele	1
198	KarlKaek	1
198	ExtraDumb	1
198	Octatrack	1
198	Lez_	1
198	MrExplorer	1
198	corvidpartyfor6	1
198	Kkanot	1
198	Masssonnn	1
198	ROY4LE	1
198	Zaridey	1
198	CheesyToess	1
198	Jeteight	1
198	RobotMinion101	1
198	Onennon	1
198	videogames_	1
198	KliBeast21	1
198	fw3xywashere	1
198	NomadicRobin_	1
198	EveryonesUncle	1
198	_Bguette_	1
198	KSI	1
198	censorsheep	1
198	Kowcio_	1
198	AssFullaCum	1
198	UCP_TheKingK	1
198	VentiHilton	1
198	Ezekson	1
198	Rexorout	1
198	MeetTheWollo	1
