rank	username	minecraft:used/minecraft:diamond_ore
1	Werbe	10783
2	AssEatrAndLicker	10068
3	EcksD	4857
4	lordpipe	2440
5	YungMaki	2337
6	Spacewardharpy7	2182
7	joethahobo	1994
8	HellsSponge	1247
9	Hyp3rion_	1143
10	PhantomsGhost_	1027
11	thewindmillman	1022
12	eitanzaki	1008
13	Skippeh	1002
14	claivin	943
15	Mahoose	911
16	gcaisawesome	816
17	beeperbeeper5	686
18	TheSecondLord	672
19	Fullut	630
20	Racengan	589
21	Smoke____	567
22	Di_infiri	550
23	TheShyPig	540
24	Ezekson	520
25	noam464	487
26	Snowflowe	478
27	Hoid_the_Roamer	476
28	NomadicRobin_	433
29	MangoTheFish	417
29	fred870d	417
31	Cowison	415
32	Inchef	405
33	500am	402
34	Blaiku	389
35	Jackattack53	381
36	Drlzyy	380
37	SingedBread	367
38	Kakolbus	363
39	HolyVenom	353
40	12Magner05	352
41	MakeHistory157	346
42	stahouo	344
43	Deathkob	337
44	EveryonesUncle	324
45	EcksDofficial	307
46	OtariCharlie	292
47	ediballbearings	288
48	set67	287
49	TheThomas69	282
50	RebelAndroid	280
50	jcool7	280
52	Rocco_Lane	275
53	Steven1282598	268
53	Enderslayerxz3	268
55	diamondgolem35	266
56	Legendosh	264
57	oxfordschool	259
58	CoffeeNoir	251
59	MilleGrug	245
60	KG1999	229
61	ssleepless	216
62	PigDab	213
63	ApophisNova	205
63	MyNamaSheff	205
65	Soap_Bender	191
65	obzii	191
67	GlitchyPlate810	183
68	SpaceGrenadier	180
68	Zythose	180
68	Skylord_Luke	180
71	Frozil12	179
72	mwrty	174
73	_Yonk_	173
74	kekhon	172
75	_Virify_	170
76	pintsizedrogue	168
77	livingdaydreams	164
78	m_be9	161
79	Scathra	154
80	TheOuterCore	152
81	sebastiensaborio	151
82	ClemenPine	148
83	Bumpy419	143
84	FirsTimeGamingTV	137
85	Hermanni__	134
86	Freak_Genius	132
86	Zoeyfortnite	132
88	Historical_Sand	131
89	I_Am_Mushkin	130
90	Maenara	129
91	little_dUki	127
92	MyNameIsJobo	123
93	Ender_Souls	122
94	audiocracked	119
94	EfficientC52	119
96	WyngGoy	118
97	ROY4LE	117
97	Lord_Jord	117
99	Afinnity	115
100	BumbleBeever	113
101	H72l9w	112
102	SellyZ	110
103	Natofthese	109
103	SeverianTheLame	109
105	Groundler	108
106	Winklepicker279	107
106	_TCARREIRA_	107
106	Kubeusz2010	107
109	XboxPanda	104
110	Arceus1975	102
111	EMC_	100
111	fkGrim	100
113	pappaberg	99
113	Miko_Fullbuster	99
115	MattieHD	98
116	Corbsman	96
117	soundad	92
118	07shiny	91
118	Dogcorn69420	91
120	RodSerlingCringe	90
121	TheSeismicDuck	89
121	Luigipunch989	89
123	diggydog67	88
124	Quotary	86
125	Sral7	84
126	Chromary	82
126	NameGenerat0r	82
126	Cyntrical	82
129	beeleg	81
130	Karbl	79
130	SSytex_X	79
132	thescout7	77
132	hcb238	77
134	Dedalus36	75
134	KartivGal	75
136	xXTheWolfmanXx	74
136	rarrq	74
136	Barlycorn	74
139	Nagasaki_Riku	73
139	SammiWolfGirl	73
141	ColeSnyder	72
141	ShedJr_	72
141	Vetral1	72
144	Merv__	70
144	Kowcio_	70
146	ExtraDumb	69
146	Onennon	69
148	eviltunix	67
149	Hisiste	66
150	BodaciousCake	65
150	Blu3beast	65
152	BlancoFlaco	64
152	KnightmareD	64
152	Nycteus_	64
152	kinas45y5	64
156	TooManyDuck	63
157	fluddd	61
158	boog4loo	60
158	r123moore	60
160	Swexti	59
160	PlzNoBM	59
160	jnp_gaming	59
160	FishisTTV	59
164	T045RTY	58
164	jiggywraps	58
166	Jovaphobic	57
166	Healthing	57
166	Akoot_	57
169	Zedducius	56
169	MissCeleste7	56
171	Mewar	55
172	Inbefour	53
173	SpookyDraggin	50
173	ItsJunoIGuess	50
175	IWorkAtIkea	49
175	jushykins	49
175	anbbang	49
178	Yatitay	48
178	Shiirazuku	48
178	DTwenty	48
178	PortlyPete69	48
178	FelixPSY375	48
183	JayToe	47
184	MSK__	46
185	Iagoku	45
185	gilesmcriles	45
187	DirtyDalle	44
187	gustarbite	44
187	Shogunite	44
190	Serval2000	43
191	hm947	41
191	Soplight	41
193	Upstro10	39
193	himak1	39
193	selectrix	39
193	OG_Songsee	39
197	Ailmast	38
197	SexcMf	38
197	Sheldor097	38
200	NoChumpChange	37
200	Erased_Identity	37
202	JohnnyFyes	36
202	Blackberry1310	36
202	vandmanden	36
205	DaviusMaximoose	34
206	shyshyannne	33
207	Kamflame10	32
207	eiC_	32
207	Fuhrer_Teemo	32
207	LexMakesHistory	32
211	SaucyDark	31
211	WYFYoyo	31
213	M_Patata	30
213	MasterNueve	30
213	Spenduh	30
216	Ssor69	29
216	Jiminie	29
216	Vorlice	29
219	emrekn	28
219	Kouridragon	28
219	lizardfightclub	28
219	Deodorante	28
219	cog	28
219	IvarEXE	28
219	__tomato	28
219	tartanboy	28
227	OverallConcept	27
227	Smiguli_	27
227	Teebone15	27
230	Flores991	26
230	Euclidoris	26
230	SlayerCrypto	26
230	AltnumberF4	26
234	peachfuzz1267	25
234	youhjjhhhjj	25
234	SquadMonster	25
