rank	username	minecraft:used/minecraft:dead_bush
1	500am	382
2	RatatJuice	123
3	ApophisNova	41
3	MyNamaSheff	41
5	Onennon	40
5	Maenara	40
7	Jiminie	37
8	TheEnderman548	33
9	Mahoose	32
9	oxfordschool	32
11	beeperbeeper5	30
12	Blackberry1310	29
13	Freak_Genius	25
14	KingMatthew506	14
15	Rebytre	13
15	PlasticOtari	13
17	Fullut	12
18	TheMaster972	10
18	TheSecondLord	10
18	TheShyPig	10
21	MyNameIsJobo	9
22	HellsSponge	6
22	lordpipe	6
24	Inchef	5
24	stellarjay	5
26	pintsizedrogue	4
26	Skippeh	4
26	Ezekson	4
29	Merv__	3
29	Cryptacity	3
29	YungMaki	3
32	kekhon	2
32	2Stout	2
32	Luigipunch989	2
35	tuckerdoodle	1
35	Prismyst	1
35	xxPipperDipperxx	1
35	Hyp3rion_	1
35	NNikitas	1
35	EveryonesUncle	1
35	claivin	1
35	MissCeleste7	1
