rank	username	minecraft:used/minecraft:iron_helmet
1	beeperbeeper5	7
2	TheSecondLord	6
2	thewindmillman	6
2	Kowcio_	6
5	12Magner05	5
5	Mattesco	5
7	Napoleonpancake	4
7	CaracolCxnt	4
7	Penguinllama517	4
7	pretty_pink_reno	4
7	Yahir091	4
12	corvidpartyfor6	3
12	crashomon	3
12	Akoot_	3
12	TheEnderMan548	3
12	SvenskaHugo	3
12	Pumpkin_P_Patch	3
12	cichy096	3
12	skitzxo	3
12	WYFYoyo	3
12	Yamdalorian	3
22	H0UNDFRMH3LL	2
22	Frigzy_	2
22	CloroxBleach385	2
22	Flex_Tape_Phil	2
22	lcn	2
22	tuckerdoodle	2
22	Mahoose	2
22	Auseawesome	2
22	Kkanot	2
22	orxngejuice	2
22	Inchef	2
22	ItsRyanM8	2
22	fragrantmonke444	2
22	Elastiq	2
22	Hahaa_0	2
22	420BreadLizard	2
22	luseis	2
22	NiveauSubmarine	2
22	Eraxa	2
22	pixelviolin	2
22	VittoValenttino	2
22	88Hazza88	2
22	AstroLightz_	2
45	Riick_Astley	1
45	SeekAndDestroy	1
45	PixelVillager	1
45	SygnalX	1
45	Haylies	1
45	j5ylim	1
45	k_ce	1
45	Sandiotchi	1
45	Lorcout	1
45	SpartanNamor	1
45	CLG_Kata	1
45	chipklip	1
45	ganyuganyu	1
45	Adem192	1
45	Saint_Neptune	1
45	AgressiveEggdog	1
45	powercas_gamer	1
45	Tommhh	1
45	Frozil20	1
45	Qalech	1
45	Slinkyy7071	1
45	DinoDoctor_	1
45	77Holly7	1
45	ImpavidArcher	1
45	hm947	1
45	Bane_of_Solace	1
45	Huwulling	1
45	MLG_Kirby69	1
45	Prismyst	1
45	Lez_	1
45	Myszoaz	1
45	K6V9	1
45	Megabatman	1
45	BarryDigBick	1
45	MarigoldPop	1
45	_Nova_Z	1
45	TheMaster972	1
45	Dblikstad	1
45	SillyDillyXoxo	1
45	frizzbees	1
45	rarrq	1
45	Zxhir	1
45	HUNTERmaun	1
45	Saul_Goodman_Rup	1
45	NieToksikpl	1
45	Crowman1	1
45	MoonixMonody	1
45	Crizma_	1
45	_Ophiuchus_	1
45	APickledGoat	1
45	Boboczus	1
45	catandmoose	1
45	ArdaAslan02	1
45	Secret_Canary	1
45	Enigma0251	1
45	mekambe_snk	1
45	DylanH328	1
45	Smashic	1
45	mrnosetackle	1
45	pluhsia	1
45	Roenfire	1
45	noyan121	1
45	imcombxt	1
45	pvpGODfrfr	1
45	Touched_Bread	1
45	gamerlord1324	1
45	SirSpace	1
45	drunkeeez	1
45	BigFatHunk	1
45	Nightfigh1	1
45	Defaitiste	1
45	eli_tschki	1
45	GOOBERGABE04	1
45	Itz_DuongVN	1
45	REALLYHURTS	1
45	hanaryheatwave	1
45	mvrty	1
45	Hyp3rion_	1
45	JitteryJared2	1
45	U_Mos_	1
45	Boipl	1
45	Solar_Power	1
45	Krowuss	1
45	thebaddruid	1
45	rosswellcrash	1
45	The_Fulgurator	1
45	SvenskaSara	1
45	OreTheBear	1
45	BronkerBrum	1
45	ramy_m	1
45	CowOfTheNile	1
45	TheWildMateo	1
45	DietSoda1	1
45	bee_gorl	1
45	floodjon	1
45	A_Potatoe	1
45	Nadhorion	1
45	Zackran	1
45	Ghemmah	1
45	Finside	1
45	kimm_e621	1
45	R1CHY2K	1
45	yb0e	1
45	Tou3bann	1
45	Samificator	1
45	KeruNatsema	1
45	Dan_Scha	1
45	HolyVenom	1
45	Romeom175	1
45	xKool	1
45	nvkomimi	1
45	pascalbex	1
45	simo4000wolt	1
45	Gryglu583	1
45	Thomez_	1
45	Sorry_Arey	1
45	Vol_Rod33	1
45	Zyrixh	1
45	majlin16	1
45	Fuad_R	1
45	AstreaTSS	1
45	Blockbard_	1
45	beetlebum300	1
45	ATurtle4936	1
45	skelecorebot	1
45	ThatMan_Dave	1
45	AnArtisticDud	1
45	PixelatedBoss	1
45	Buuck_	1
45	LukeBBM12	1
45	BuzzyBeeBoi	1
45	RaiaMala_	1
45	Crynrus	1
45	TheEmeraldFalcon	1
45	Bonzaidalek	1
45	Tibbby	1
45	Ekkie_Catdeer	1
45	SuperSurer	1
45	FadedSpade82	1
45	SquidZooka2	1
45	IDealess_At_This	1
45	DracZz	1
45	TheKingK_	1
45	Gustavo64	1
45	__GingerSnap	1
45	brofrickcheaters	1
45	Heisenbberrg	1
45	_i_ERROR_i_	1
45	alanbleachdemon	1
45	KeterComet	1
45	Bairhug	1
45	AppleJacks	1
45	astralsylv	1
45	Eczbek	1
45	kaiwill0w	1
45	Dr0xzy	1
45	mobunni	1
45	Physics_Breaker	1
45	EcksD	1
45	CattSoup	1
45	DairyNickel756	1
45	pennyswan	1
45	Kowcinka	1
45	Enderxz3	1
45	2blox_	1
45	Paguz01	1
45	Blueishberry	1
45	PlasticOtari	1
45	Earlesstrain4	1
45	LiL_Dorfbewohner	1
45	CrazyPotater	1
45	00000000-0000-0000-0009-01ffb083c258	1
45	00000000-0000-0000-0009-01faf4342590	1
45	00000000-0000-0000-0009-01f6226cf766	1
45	00000000-0000-0000-0009-01f3e0064b49	1
45	00000000-0000-0000-0009-01f16526f034	1
