rank	username	minecraft:used/minecraft:green_glazed_terracotta
1	noam464	574
2	Buuck_	490
3	PigDab	292
4	Yamdalorian	263
5	Mattesco	240
6	Spacewardharpy7	238
7	titanlax	233
8	Merv__	215
9	RoboTramp7865	98
10	MrShojo	81
11	UncleDanDan	68
12	royal_2	59
12	ROY4LE	59
14	StinkyDiplomat	57
15	lordpipe	56
16	Huwulling	53
16	crashomon	53
18	calamariclam_I	51
19	Prismyst	49
20	500am	47
21	Quotary	43
22	Lez_	35
22	MakeHistory157	35
24	shineh10	30
25	yatsuta	29
26	TheShyPig	26
27	Wooptey	24
27	Kijiki	24
29	CarltheCuck	21
29	Soplight	21
31	lunkuku	12
32	QuiCreans	10
32	Hyp3rion_	10
34	beeperbeeper5	9
34	YungMaki	9
36	BobDeBouwer1337	8
36	kekhon	8
36	Steelynan	8
36	Legendosh	8
40	Kim_Jong_eel	6
41	pintsizedrogue	5
41	joethahobo	5
43	Inbefour	4
44	ItsDeltaMC	3
44	pixelviolin	3
46	Krowuss	2
46	EngagedGrub41	2
46	FelixPSY375	2
46	Enderxz3	2
50	eitanzaki	1
50	TheSecondLord	1
50	Snowflowe	1
50	blackeemperor	1
50	Razzgriz	1
50	ConnorDanky_	1
