rank	username	minecraft:used/minecraft:chiseled_quartz_block
1	MilleGrug	8072
2	lordpipe	1922
3	Lutres_Torane	1331
4	wwwwinnebagoooo	1284
5	beeperbeeper5	1187
6	Hyp3rion_	857
7	Di_infiri	854
8	Mewar	576
9	joethahobo	521
10	Xclax101	514
11	xxPipperDipperxx	497
12	Lord_Jord	466
13	Blackberry1310	424
14	Optiprimus	417
15	m_be9	405
16	fade_emerge78823	390
17	Frozil20	355
18	The_slideV3	339
19	Merv__	328
20	ImpavidArcher	294
21	Incinere	275
22	FreakGenius	197
23	MirielThePastor	187
24	Legendosh	177
25	Fuad_R	158
26	Spacewardharpy7	156
27	Akoot_	143
28	Mahoose	137
29	tobinwilliams	130
30	Rumpletaezer	125
31	kekhon	124
32	Marbz_	123
33	himak1	119
34	MovingFish7	118
34	The_SlideV5	118
36	MakeHistory157	104
37	Werbe	94
38	Shogunite	87
39	FishyBoy3811	86
39	HellsSponge	86
41	Blaiku	82
42	SammiWolfGirl	70
43	RoofTyler	68
44	eitanzaki	63
44	EngagedGrub41	63
46	SaucyDark	61
46	Ezekson	61
48	YungMaki	60
49	Kowcio_	59
50	noam464	57
51	KarlKaek	56
52	Arceus1975	53
52	Maenara	53
54	Eraxa	52
54	CattSoup	52
56	NameGenerat0r	51
57	rarrq	48
58	TheShyPig	46
59	Soplight	44
60	Mookle96	43
61	Jovaphobic	42
62	titanlax	40
62	MyNameIsJobo	40
64	MattieHD	39
64	PlasticOtari	39
66	Comma__	37
67	Inbefour	36
68	xolstoi	34
69	Skylord_Luke	31
70	shineh10	29
71	Fullut	26
72	gabriels543	25
73	Lez_	21
74	KliBeast21	20
74	StinkyDiplomat	20
76	Tyrannosplart	19
77	Groovy_MoonBird	17
78	Onennon	16
79	mobunni	15
80	ColeSnyder	14
80	Touched_Bread	14
82	_Huge_Male_	12
82	NomadicRobin_	12
84	Moofyman	11
84	Barlycorn	11
86	r123moore	10
86	Jackattack53	10
86	Sral7	10
89	Smoke____	9
90	ABUSNA1996	8
90	Snowflowe	8
90	Deerfoot	8
90	xzvu	8
94	Ardennes	7
94	TechnoNinja64	7
96	SyK7	6
96	NatrixxddxYT	6
96	ApophisNova	6
96	ConnorDanky_	6
96	EcksD	6
96	MyNamaSheff	6
102	T045RTY	5
102	Ssor69	5
102	CharlieButt	5
102	Razzgriz	5
102	Skippeh	5
107	pintsizedrogue	4
107	Jackster03	4
107	Mythic1130	4
107	Enderxz3	4
107	jnp_gaming	4
107	FishisTTV	4
113	RobotMinion101	3
113	F_Uhre	3
115	soundad	2
115	DiscardedCE	2
115	EMC_	2
115	Sabby65	2
115	Huwulling	2
115	NotMeanttoChange	2
115	burbankbuilder28	2
115	LexMakesHistory	2
115	Groundler	2
115	Winston_Ingram	2
115	alderban107	2
115	Serval2000	2
127	Tolhart	1
127	Hpdinosaur	1
127	Historical_Sand	1
127	TheSecondLord	1
127	500am	1
127	Tjhodskins19	1
127	thewindmillman	1
127	The11thDoctor	1
127	Ender_Souls	1
127	Drewen24	1
127	fw3xywashere	1
127	420BreadLizard	1
127	Racengan	1
127	radioactv_jelly	1
127	TheEnderMan548	1
127	gusstationwerker	1
