rank	username	minecraft:used/minecraft:sea_lantern
1	Hyp3rion_	42196
2	HellsSponge	23083
3	Zythose	20496
4	beeperbeeper5	19407
5	joethahobo	15774
6	noam464	14354
7	MilleGrug	11700
8	Ezekson	11634
9	Jackattack53	11425
10	EcksD	8755
11	Blaiku	8525
12	AdmiralSmoke	7324
13	Huwulling	6630
14	Di_infiri	5040
15	eitanzaki	4751
16	Shogunite	4161
17	gcaisawesome	4124
18	Jimb0nat0r	3892
19	M_Patata	3882
19	MasterNueve	3882
21	ImpavidArcher	3578
22	Krowuss	3380
23	teslawolf38	3079
24	Marbz_	2849
25	Spacewardharpy7	2731
26	PlasticOtari	2660
27	TheShyPig	2521
28	Mahoose	2347
29	Frozil20	2172
30	EngagedGrub41	2060
31	Airem_Core	1939
32	PigDab	1823
33	Snowflowe	1773
34	Kakolbus	1738
34	Enderxz3	1738
36	YungMaki	1721
37	lordpipe	1627
38	EveryonesUncle	1548
39	500am	1525
40	Werbe	1445
41	luseis	1417
42	xxPipperDipperxx	1360
43	EMC_	1251
44	pintsizedrogue	1247
45	hanaryheatwave	1238
46	ConnorDanky_	1181
47	RoskobiOne	1174
48	Groundler	1170
49	Legendosh	1167
50	HyperCave	1160
51	TheSecondLord	1159
52	12Magner05	1081
53	FreakGenius	1068
54	Blackberry1310	1043
55	m_be9	1008
56	Rumpletaezer	988
57	Arceus1975	912
58	FishisTTV	889
59	Manaateee	857
60	__tomato	815
61	XboxPanda	814
62	Lord_Jord	810
63	Racengan	801
64	ProfessorBee	782
64	audiocracked	782
66	ROY4LE	757
67	Inchef	743
68	Smashic	742
69	catandmoose	718
70	Lez_	689
70	Xalithia	689
72	thescout7	687
73	nattybears	678
74	xolstoi	662
75	Incinere	656
76	Steelynan	653
77	Blu3beast	627
78	_Dean_123	609
79	SkateboardR6	569
80	TheDankPlatypus	558
81	Maenara	552
82	Optiprimus	539
83	thewindmillman	536
84	kekhon	532
85	King_Pancake1	520
86	lillips	518
87	rarrq	515
88	Inbefour	514
89	titanlax	486
90	r123moore	468
91	Tyrannosplart	461
92	T045RTY	445
93	Xclax101	436
94	Bumpy419	426
95	F_Uhre	417
96	Onennon	416
97	Quotary	411
98	Kowcio_	403
99	Fuad_R	385
100	Nycteus_	383
101	Awyrlas	378
101	Winklepicker279	378
103	NameGenerat0r	377
104	AltnumberF4	372
105	mihimihimihi	371
105	Njensen7	371
107	diamondgolem35	366
108	CalebDHawk	344
109	Comma__	332
110	Merv__	331
110	Eraxa	331
112	set67	328
113	emrekn	326
114	jessewegottacook	309
115	Historical_Sand	306
116	MattieHD	304
117	xDraggin	290
118	PhantomsGhost_	283
119	Groovy_MoonBird	280
120	jnp_gaming	279
121	WyngGoy	275
122	MightyWertu	263
123	El_Jalapeno	261
124	Hisiste	256
125	diggydog67	255
126	Ryan_GEMS	246
127	jcool7	244
128	NomadicRobin_	221
129	lizardfightclub	219
130	CoffeeNoir	218
131	_Karmaa	205
132	ProbsNotNova	198
133	Badenbeele	197
134	Winston_Ingram	195
135	Gundam_Steven	193
135	BumbleBeever	193
137	Dogbound	192
138	Jovaphobic	185
139	Rocco_Lane	176
140	Apollo_993	175
141	Druid95	173
142	Spenduh	169
143	Mattesco	168
143	Kyrum2169	168
145	Segotep999	167
146	Dreamdbr14	163
146	h2p_emrld	163
148	Swexti	162
149	pumpfonzo	160
150	PortlyPete69	158
151	Fullut	157
151	2Stout	157
151	UltraZombie	157
154	Crowman1	156
155	ECstardust	145
156	NieToksikpl	142
157	KartivGal	141
158	Paintz	139
159	k_ce	136
160	SmashingPump	135
161	tsitrawhy	132
161	KingMatthew506	132
163	ItsHydroMC	129
164	LazySupport00	127
165	Aezekial	123
166	Notta	118
166	Rebytre	118
168	cog	115
169	fw3xy74	113
169	MAns_44	113
169	_Mythic____	113
169	CattSoup	113
173	NotMeanttoChange	112
173	Zaridey	112
173	GooseWithin	112
176	SingedBread	111
177	RobotMinion101	110
177	Sral7	110
179	FishyBoy3811	109
180	Iagoku	105
181	MinttyFressh	103
181	Dogcorn69420	103
183	MunkaKris	101
184	MoistMicrowave	97
185	PoogersLejit	96
186	j5ylim	94
186	ZoomieZoomie	94
188	fkGrim	93
188	brofrickcheaters	93
190	Hiryu27	92
191	ITDV	89
192	UrbanPlanningEx	84
193	oscminus	83
193	claivin	83
195	Chromary	82
196	CliffEmAll	81
197	Skylord_Luke	80
198	jacobsoy	79
199	UCP_TheKingK	77
200	iSammael	75
200	MakeHistory157	75
200	Nicserso	75
203	calamariclam_I	74
204	KeruNatsema	72
205	DinoDoctor_	71
206	DanTheBuilderino	70
207	soundad	68
207	DAD_1996	68
207	ElKaySVK	68
210	6king6colt6	67
211	gaziter10	66
211	HolyVenom	66
211	Biites	66
214	wickedword	64
214	oreee	64
214	0nly_sn1per	64
214	mariominejedi	64
214	Ze_BaronKrigler	64
219	ShedJr_	63
219	olliebollie48	63
219	OffWithTheirHead	63
222	MyNameIsJobo	60
223	Touched_Bread	59
224	ItsDeltaMC	58
225	Sheldor097	57
225	fffMike	57
227	IAmTheWalrus910	56
227	_3Stump_	56
229	Jakobo1337	55
229	Scathra	55
229	stavgod	55
232	SuperPooch06	54
233	Hoid_the_Roamer	53
233	VentiHilton	53
233	Powowowow	53
236	platinumzero	51
236	33sudo	51
238	RebelAndroid	50
238	MNMann44	50
240	dudcreeper	48
241	Franco093	47
241	Kkanot	47
241	mwrty	47
241	The_slideV3	47
245	SoftSix	46
245	Trixididntdie	46
245	SexcMf	46
248	AuroraValkyrie	45
248	stellarjay	45
250	benediktine1	44
250	Elastiq	44
252	LittleBug562	43
252	Jimi7hits	43
252	xzvu	43
255	Windo_licker	42
255	little_dUki	42
257	hm947	40
257	legal_tax_evader	40
259	lunathelemon	38
259	SteveCraftBlocks	38
259	DarlaMeow	38
262	Mewar	37
262	BlueZabu	37
264	Sleek_Storm_721	36
265	_Boipl_	34
265	bearlystraight	34
265	SvenskaHugo	34
265	Skippeh	34
269	CLG_Kata	33
269	ATrojansLegend	33
269	radioactv_jelly	33
272	Alteriity	32
272	Sleepy_Time_	32
272	Fuhrer_Teemo	32
275	AlexxO_o	31
276	SammiWolfGirl	30
277	Jamstroxian	29
278	corvidpartyfor6	28
278	Quaintster	28
278	MineMaster0012	28
278	Zoeyfortnite	28
282	IamCL4SSY	27
282	MovingFish7	27
284	LeauVox4921	26
284	TechnoNinja64	26
284	00000000-0000-0000-0009-01fc3bb26159	26
287	NinjaKnifeKill	24
287	Myszoaz	24
287	FirsTimeGamingTV	24
290	slkiey	23
