rank	username	minecraft:used/minecraft:spruce_planks
1	joethahobo	166854
2	Ezekson	77301
3	beeperbeeper5	35289
4	EveryonesUncle	34835
5	Frozil20	31841
6	Mattesco	30773
7	rarrq	25397
8	Enderxz3	24937
9	Skylord_Luke	24192
10	Inchef	20169
11	Legendosh	18661
12	Shogunite	18564
13	Lez_	16379
14	Kowcio_	14709
15	q_wq	13575
16	RoskobiOne	13254
17	TheSecondLord	12279
18	El_Jalapeno	10987
19	_Dean_123	10673
20	Di_infiri	10299
21	_Karmaa	9873
22	_Huge_Male_	9811
23	miramyu	9460
24	HellsSponge	9294
25	Blackberry1310	9235
26	Rumpletaezer	8946
27	ImpavidArcher	8421
28	OreTheBear	8363
29	Barlycorn	8284
30	PazinGaming	8060
31	xxPipperDipperxx	7999
32	Yamdalorian	7864
33	pintsizedrogue	7797
34	Jimb0nat0r	7682
35	milltesco	7673
36	Onennon	7112
37	LuvLuvLove	7082
38	TheShyPig	6909
39	Niklas20114552	6830
40	m_be9	6671
41	6king6colt6	5957
42	SkateboardR6	5948
43	diamondgolem35	5930
44	MattieHD	5666
45	Archsam	5495
46	burbankbuilder28	5475
47	kekhon	5436
48	fffMike	5402
49	EMC_	5102
50	ApophisNova	5101
50	MyNamaSheff	5101
52	Kakolbus	5026
53	k_ce	5022
54	500am	4949
55	BlankityMcBlank	4843
56	pixelviolin	4762
57	Manaateee	4753
58	Touched_Bread	4706
59	Jovaphobic	4686
60	PigDab	4532
61	F_Uhre	4455
62	hanaryheatwave	4050
63	AuroraSkies	3972
64	Winklepicker279	3937
65	teslawolf38	3933
66	TooManyDuck	3883
67	Xclax101	3797
68	craaaash	3667
69	AlexxO_o	3519
70	Tiberonus	3501
71	MinttyFressh	3500
72	Saucepeh	3397
73	Snowflowe	3366
74	Skippeh	3306
75	Natty	3176
76	SpacesickPrism	3134
77	Mr_Byzantine	3091
78	LordZacler	3044
78	Lord_Zacler	3044
80	Eraxa	2993
81	MC_Skribble	2966
82	IamCL4SSY	2943
83	Huwulling	2925
84	ConnorDanky_	2824
85	IWorkAtIkea	2809
86	Cortexia	2736
87	the_russell1611	2683
88	StarCookiees_	2584
89	PlasticOtari	2571
90	Arceus1975	2567
91	Mahoose	2547
92	hm947	2491
93	Druid95	2471
94	Buuck_	2417
95	wezzzi	2392
96	Nicserso	2381
97	Gzrdy	2367
98	SuperPooch06	2351
99	seramalen	2313
100	Meatlaugh	2193
101	ProbablyNick	2169
102	FreakGenius	2136
103	oscminus	2124
104	RatatJuice	2118
105	olliebollie48	2109
106	luseis	2102
107	Chromary	2053
108	Bumpy419	2028
109	claivin	2003
110	XxCookiequeenxX	2000
110	doublemaki	2000
112	thewindmillman	1997
113	Merv__	1941
114	Alteriity	1936
115	ShedJr_	1832
116	Swexti	1823
117	TheBiggestFeller	1822
118	Eczbek	1799
119	MAns_44	1791
120	nattybears	1790
121	powercas_gamer	1762
122	Zythose	1748
123	AltnumberF4	1740
123	TheWickedBird	1740
125	set67	1739
126	NieToksikpl	1717
127	The_Quack_Dealer	1693
128	gaziter10	1650
129	Literally_Rat	1645
130	Blu3beast	1639
131	KarlKaek	1612
132	Fullut	1594
132	00000000-0000-0000-0009-01ff0c3e5e4f	1594
134	thescout7	1592
135	Deathkob	1571
136	Racengan	1568
137	GLLogan2	1546
138	heysushii	1524
139	Jackattack53	1519
139	DairyNickel756	1519
141	Tyrannosplart	1514
142	ZeaBaron	1497
143	Jimi7hits	1495
144	JETrotter	1494
145	SammiWolfGirl	1489
146	SUN_DREAM	1470
147	thebaddruid	1457
148	fkGrim	1455
149	Segotep999	1454
150	krutas2000	1435
151	Boipl	1426
152	whoaluv	1418
152	lordpipe	1418
154	ZoomieZoomie	1399
155	Inbefour	1390
156	CoffeeNoir	1387
157	Fuad_R	1372
158	EdGalbraith	1368
159	MyNameIsJobo	1331
160	drumine	1325
161	SpicyMeatballs	1322
162	Deodorante	1309
163	trexgb	1294
164	Simon_Lowell	1287
165	Bloo2406	1286
166	HUNTERmaun	1273
167	Matyyy15	1249
168	Groovy_MoonBird	1242
168	ECstardust	1242
170	livingdaydreams	1238
171	U_Mos_	1219
172	DC_XII	1208
173	SnowyAvi	1204
174	prizm_	1202
175	Jiminbub	1181
176	Factoroni	1179
177	_havick	1174
178	royal_2	1170
178	Covalents	1170
180	Werbe	1159
181	SlayerCrypto	1155
182	Studio4x32	1148
183	Secret_Canary	1143
183	Cocoamallows	1143
185	Cowison	1136
186	LeauVox4921	1134
187	Jackster03	1129
188	Tersea_	1122
189	TheRealAndrin	1116
190	Kamflame	1109
191	robertsnose	1106
192	Akoot_	1094
193	_k2x	1089
194	Sleepy_Evelyn	1087
195	VentiHilton	1073
196	ROY4LE	1072
197	BlueZabu	1063
198	EfficientC52	1058
199	RobotMinion101	1053
200	AspenLightVT	1046
201	TheKingK_	1031
202	Pumpkin_P_Patch	1001
203	EnigmaTheYeen	997
203	CattSoup	997
205	potato292	992
206	diggydog67	980
207	FadedSpade82	972
207	PortlyPete69	972
209	Steelynan	971
210	ActualPatbaf	970
211	thatbeanyboi	959
212	Bobby808	956
213	Cruncy_	947
214	Dakar_	908
215	SOA1RR	897
216	Sparky_KT	895
217	rotten_mango	890
218	Z3braYTIL	886
219	cheerytomato	884
220	catandmoose	883
221	Flex_Tape_Phil	872
222	Rebytre	871
223	Kkanot	865
224	Krowuss	860
225	Spenduh	857
226	Otto_chan	853
227	SlinkyPinky	852
228	Louiis123	846
229	eitanzaki	840
230	monolu	834
231	FirsTimeGamingTV	831
232	Quincannon	830
232	ProfessorDiaper	830
232	c0la_c0ca	830
232	TechnoNinja64	830
236	Patwannabegamer	824
237	Historical_Sand	814
238	jacxhadow	804
239	sammidk	797
240	Nach0Bear	794
241	Spacewardharpy7	779
242	xzvu	776
243	_Razaria	774
244	layabout100	773
245	John6970	765
246	CLG_Kata	762
246	RedcatVII	762
248	excelsionprime	754
249	Soplight	746
250	Arteriana	745
251	LeeMcGee30	743
252	QueenOfDirt	736
253	fallingemma	735
254	Biites	731
255	Healthing	728
256	ewpunk	726
257	noam464	724
258	ratglock	717
259	Tombo2004	709
260	YairZaki	707
261	SvenskaHugo	705
262	Froste131	703
262	sp00ky_ghost977	703
264	FlashMigma	700
265	ItsDeltaMC	695
266	BPTY4618	691
267	epiksk8erduck	690
268	Foof13	686
269	fr0stss	684
270	parodypatient	677
271	cuddlyMonster	676
272	Klerick	675
272	Burge_r	675
274	goldyx	668
275	SSytex_X	661
276	cyrusisntgay	658
277	The_slideV3	656
278	bigstankyy	654
279	ImDisconnected_	653
280	corpsecity	643
281	cytotoxaint	640
282	EcksD	631
283	SvenskaSara	627
284	bl1ss0	619
285	Lord_Jord	617
285	Gus2005	617
287	ewsophie	612
288	Cambo5000	608
289	tuckerdoodle	604
289	Soap_Bender	604
291	ehunt54	603
292	Quotary	602
293	jspwn	601
293	nut_e	601
295	DAD_1996	599
296	FormulaNewt3627	597
297	TakeThis2UrGrave	593
297	BigCronkin	593
299	T045RTY	589
300	AlazelTheReal	583
