rank	username	minecraft:used/minecraft:warped_nylium
1	Decaying_Lotus	1000
2	YungMaki	600
3	beeperbeeper5	576
4	joethahobo	557
5	xxPipperDipperxx	547
6	TheSecondLord	444
7	CoffeeNoir	354
8	pintsizedrogue	242
9	Fullut	237
10	PlasticOtari	235
11	Luigipunch989	224
12	HolyVenom	197
13	12Magner05	181
14	Akoot_	177
15	Kowcio_	159
16	HellsSponge	156
17	PigDab	154
18	eitanzaki	153
19	Winklepicker279	138
20	Ezekson	120
21	00000000-0000-0000-0009-01ff0c3e5e4f	114
22	Freak_Genius	107
23	KG1999	106
24	Ryker	87
25	lordpipe	84
26	lizardfightclub	79
27	kekhon	75
28	Kakolbus	74
29	Spacewardharpy7	73
30	monky_irl	68
31	Blackberry1310	64
32	brofrickcheaters	62
33	Xalithia	57
34	BobDeBouwer1337	56
34	mwrty	56
36	TheEnderman548	54
37	r123moore	52
37	Hermanni__	52
39	Snowflowe	51
39	KartivGal	51
41	livingdaydreams	48
42	thewindmillman	47
43	Historical_Sand	46
44	CarltheCuck	41
45	LazySupport00	40
46	SpacesickPrism	36
46	trexgb	36
48	PortlyPete69	33
49	rarrq	30
50	500am	28
50	Arceus1975	28
52	noam464	26
52	Lord_Jord	26
54	M_Patata	24
54	MasterNueve	24
56	Cowison	23
57	TheShyPig	20
58	diamondgolem35	19
58	Enderslayerxz3	19
60	Soplight	18
61	DarlaMeow	16
62	NomadicRobin_	15
62	anbbang	15
64	ShedJr_	14
64	Lutres_Torane	14
66	Kubeusz2010	13
67	titanlax	11
68	gcaisawesome	10
69	teslawolf38	9
69	Jiminie	9
71	Hpdinosaur	7
71	Blaiku	7
71	Smoke____	7
74	set67	6
74	Inchef	6
74	TheDankPlatypus	6
74	SingedBread	6
74	oxfordschool	6
79	ExtraDumb	5
79	Mahoose	5
81	CliffEmAll	4
81	MyNameIsDakar	4
81	djancak	4
84	I_Am_Mushkin	3
84	EveryonesUncle	3
84	EngagedGrub41	3
87	SquadMonster	2
87	bloodbiter	2
87	LexMakesHistory	2
87	claivin	2
87	SvenskaHugo	2
87	CalebDHawk	2
87	MilleGrug	2
87	Erased_Identity	2
87	cichy096	2
87	RadarHz	2
97	soundad	1
97	RebelAndroid	1
97	T045RTY	1
97	PegLegPete93	1
97	Kubelz	1
97	Zythose	1
97	Skylord_Luke	1
97	ooga47	1
97	lillips	1
97	Racengan	1
97	ItsDeltaMC	1
97	Eraxa	1
97	Segotep999	1
97	UltraZombie	1
97	diggydog67	1
