rank	username	minecraft:used/minecraft:waxed_copper_grate
1	thewindmillman	3153
2	pixelviolin	453
3	Enderxz3	110
4	k_ce	61
5	Spaghettatron	22
6	Secret_Canary	19
7	Mr_Byzantine	10
8	Yamdalorian	9
9	00000000-0000-0000-0009-01fe065167f0	6
10	Merv__	5
11	MyMawgDonaldsGon	2
11	oscminus	2
11	Werbe	2
11	Buuck_	2
11	Soplight	2
16	CLG_Kata	1
16	net_flex	1
16	MattieHD	1
16	MAns_44	1
16	Pumpkin_P_Patch	1
