rank	username	minecraft:used/minecraft:lectern
1	HellsSponge	5429
2	MightyWertu	2598
3	Historical_Sand	1524
4	Lord_Jord	1474
5	beeperbeeper5	1407
6	Hisiste	1372
7	Freak_Genius	1275
8	thescout7	1185
9	gcaisawesome	1158
10	pixelviolin	1048
11	AuroraSkies	993
12	Blaiku	943
13	joethahobo	924
14	The_slideV3	914
15	Hyp3rion_	869
16	eitanzaki	820
17	noam464	817
18	YungMaki	783
19	pintsizedrogue	776
20	Arceus1975	751
21	PigDab	700
22	chipklip	689
23	MinttyFressh	667
24	youhjjhhhjj	636
25	EveryonesUncle	631
26	500am	583
27	Comma__	568
28	Soplight	544
29	Di_infiri	512
30	Racengan	493
31	DanTheBuilderino	470
32	livingdaydreams	464
33	EMC_	422
34	Marbz_	409
35	Skippeh	386
36	Smoke____	379
37	fffMike	334
38	Nycteus_	328
39	Xalithia	305
39	KG1999	305
41	Drlzyy	301
42	Groundler	299
43	ZeroKraken	279
44	T045RTY	262
45	WYFYoyo	260
46	kekhon	249
47	TheShyPig	244
48	LeeMcGee30	241
49	BumbleBeever	235
50	Ryker	225
51	Sral7	220
52	Fizznut909	211
53	set67	208
54	Spacewardharpy7	201
55	mwrty	193
56	TheTrueClipse	188
57	Dan_Scha	186
58	jacxhadow	178
59	TechnoNinja64	170
60	fkGrim	166
61	Rumpletaezer	162
62	The_SlideV5	157
63	Luigipunch989	150
64	diggydog67	147
65	Werbe	145
66	diamondgolem35	140
67	TheEnderman548	135
68	Merv__	127
69	MattieHD	121
70	Legendosh	120
71	ApophisNova	118
71	MyNamaSheff	118
73	NotMeanttoChange	117
74	RebelAndroid	114
75	TheSecondLord	113
75	XboxPanda	113
77	Vizzoid	112
78	Kowcio_	109
79	Fast_Turtle	106
80	PegLegPete93	105
81	JayToe	100
82	Mahoose	98
82	ProfessorDiaper	98
84	EfficientC52	97
85	Cowison	95
86	oxfordschool	93
87	Sky_light_KING	90
87	sp00ky_ghost977	90
89	FishisTTV	89
90	TheDankPlatypus	85
90	RodSerlingCringe	85
92	claivin	84
93	mawileite	83
94	Yatitay	82
95	Awyrlas	80
96	mariominejedi	77
97	TheALV	76
98	Fullut	75
99	Shogunite	73
100	Kubeusz2010	69
101	301851	66
101	_Dean_123	66
101	SellyZ	66
104	FishyBoy3811	63
105	Frxnkz	60
106	obzii	56
107	Ezekson	55
108	CoffeeNoir	53
108	2blox	53
110	Promsiel	52
111	Bumpy419	51
112	ivorico	47
113	xo_Marren_xo	46
113	Blu3beast	46
115	fluddd	44
116	Motsaro	43
117	EcksDofficial	42
118	Steelynan	41
119	FreddyFart	40
120	MunkaKris	37
120	andy_rex	37
122	Snowflowe	36
122	burbankbuilder28	36
124	xxPipperDipperxx	35
125	ImpavidArcher	34
125	CharlieButt	34
125	Zaridey	34
128	ProfessorBee	31
129	ROY4LE	30
130	thewindmillman	29
130	Soul_Atreus	29
130	_AAZAR	29
133	Bolete	28
133	NYJ	28
133	SvenskaHugo	28
136	Akoot_	25
137	Blackberry1310	24
137	Guillemet	24
137	Inchef	24
137	Hiryu27	24
137	ClemenPine	24
137	Frozil12	24
137	PortlyPete69	24
144	Dedalus36	23
144	csendeslol	23
146	FujiBS	22
147	H72l9w	21
148	Harotio	20
148	Maenara	20
150	Hyugo	19
150	djancak	19
150	PlasticOtari	19
153	pappaberg	18
153	Jiminie	18
155	Smashic	17
155	emrekn	17
155	El_Jalapeno	17
158	SteveCraftBlocks	16
158	JESS_THE_RERE	16
160	KingFaenor	15
160	rarrq	15
160	Skylord_Luke	15
160	Inbefour	15
160	Xclax101	15
160	lordpipe	15
160	SammiWolfGirl	15
167	jcool7	14
168	6king6colt6	13
168	Zythose	13
168	Onennon	13
168	Enderslayerxz3	13
172	TooManyDuck	12
172	ShedJr_	12
172	theonlymagikarp	12
172	loveseeker	12
172	anbbang	12
177	numbra	11
177	Swexti	11
177	m_be9	11
177	eiC_	11
177	_Karmaa	11
177	Factoroni	11
177	jnp_gaming	11
184	Groovy_MoonBird	10
184	NomadicRobin_	10
184	ItzWqlfy	10
184	Ze_BaronKrigler	10
184	MilleGrug	10
184	BreadBacon	10
190	Bandito_Roamer	9
190	AuroraValkyrie	9
190	bloodbiter	9
190	Karetoko	9
190	Zoeyfortnite	9
195	Hpdinosaur	8
195	whoaluv	8
195	jewbacaman	8
195	masskedman	8
195	GravitySaint	8
195	Warlord324	8
195	Dusk_95	8
195	stahouo	8
195	DennyKai	8
195	Vellu21	8
195	cichy096	8
206	Kim_Jong_eel	7
206	Lord_Zacler	7
206	ediballbearings	7
206	EcksD	7
206	Powowowow	7
211	RoskobiOne	6
211	teslawolf38	6
211	Euclidoris	6
211	UncreativeArtist	6
211	SuperPooch06	6
216	fr0stss	5
216	12Magner05	5
216	2Stout	5
216	BlueZabu	5
216	UCP_TheKingK	5
216	Dogcorn69420	5
216	Nicserso	5
216	HesDemonPants	5
224	Jovaphobic	4
224	KarlKaek	4
224	titanlax	4
224	ABUSNA1996	4
224	M_Patata	4
224	audiocracked	4
224	XxCookiequeenxX	4
224	_Bguette_	4
224	DemTechAlpha	4
224	MyNameIsDakar	4
224	33sudo	4
224	starbits140	4
224	Hermanni__	4
224	Lowjinx	4
238	Sleek_Storm_721	3
238	Ssor69	3
238	Rich_Kat	3
238	Megarboh	3
238	SHAOBADMAN	3
238	Windo_licker	3
238	Chromary	3
238	_8man	3
238	AnnieBathory	3
238	RobotMinion101	3
238	Drewen24	3
238	WyngGoy	3
238	Kijiki	3
238	lcvezra	3
238	Eczbek	3
238	Calbo_	3
254	heysushii	2
254	Paint	2
254	bigstankyy	2
254	Wooptey	2
254	KomputerDude	2
254	Ozixar	2
254	CliffEmAll	2
254	Scattman_	2
254	Tmb1	2
254	Kamflame10	2
254	Mewar	2
254	MyNameIsJobo	2
254	SlayerCrypto	2
254	vampgey	2
254	King_Pancake1	2
254	_Boipl_	2
254	kars0n	2
254	Rebytre	2
254	ooga47	2
254	MonitorLizards	2
254	KliBeast21	2
254	Gryglu583	2
254	Fuhrer_Teemo	2
254	Deathkob	2
254	lillips	2
254	godipose	2
254	MAns_44	2
254	MustaLoordi	2
254	MasterNueve	2
254	CSG_Haru	2
254	Eraxa	2
254	MineMaster0012	2
254	tartanboy	2
287	PhantomsGhost_	1
287	dabloons	1
287	DepressedCubic	1
287	CompAir	1
287	openatheclose	1
287	Jahara	1
287	SailiXX	1
287	Natty	1
287	chlorinex	1
287	Upstro10	1
287	Auseawesome	1
287	zorin123	1
287	eclipseboi	1
287	Enigma0251	1
