rank	username	minecraft:used/minecraft:smooth_stone_slab
1	Hyp3rion_	122901
2	joethahobo	81917
3	HellsSponge	60915
4	thewindmillman	47115
5	noam464	47054
6	Spacewardharpy7	36696
7	Frozil20	36447
8	Krowuss	20040
9	Kakolbus	18556
10	MightyWertu	17817
11	TheShyPig	16326
12	mihimihimihi	14758
13	Jackattack53	13485
14	PlasticOtari	11957
15	m_be9	11791
16	Di_infiri	11411
17	eitanzaki	10606
18	beeperbeeper5	10194
19	EveryonesUncle	9628
20	MyNameIsJobo	9139
21	rarrq	8498
22	cog	8315
23	El_Jalapeno	7761
24	EcksD	7715
25	Jimb0nat0r	7271
26	Blaiku	7037
27	Mahoose	6781
28	craaaash	5869
29	ImpavidArcher	5769
30	T045RTY	5747
31	Xclax101	5457
32	Nicserso	5317
33	SteveCraftBlocks	5267
34	Blackberry1310	5180
35	Cowison	5094
36	StinkyDiplomat	5079
37	_witch_craft_	5071
38	r123moore	5018
39	Alteriity	4935
40	ApophisNova	4384
40	MyNamaSheff	4384
42	EngagedGrub41	4380
43	Shogunite	4089
44	Winklepicker279	4018
45	DTwenty	4003
46	SvenskaHugo	3692
47	_Nuf	3646
48	Scathra	2983
49	nattybears	2917
50	shineh10	2886
51	mwrty	2638
52	AlphaWolfPlaysMC	2538
53	Lord_Jord	2454
54	Ezekson	2308
55	Snowflowe	2294
56	Dogcorn69420	2212
57	Steelynan	2191
58	burbankbuilder28	2182
59	Yamdalorian	2142
60	EMC_	2054
61	thescout7	2045
62	wezzzi	2021
63	Merv__	1991
64	fffMike	1968
65	hanaryheatwave	1946
66	TheWickedBird	1915
67	6king6colt6	1888
68	LeauVox4921	1849
69	F_Uhre	1760
70	luseis	1658
71	Wolverine4302	1581
72	Fuhrer_Teemo	1522
73	Hoid_the_Roamer	1481
74	cuddlyMonster	1469
75	txxskx	1453
76	SHAOBADMAN	1448
77	MattieHD	1433
78	ScootOfBoot	1398
79	teslawolf38	1393
80	Comma__	1359
81	Onennon	1311
82	taengoos	1292
83	Quotary	1290
84	Fuad_R	1259
85	Enderxz3	1225
86	Lez_	1186
87	AuroraValkyrie	1173
88	Eraxa	1108
89	Mr_Byzantine	1107
90	DemTechAlpha	1088
91	ssleepless	1066
92	Manaateee	1062
93	TechnoNinja64	1013
94	JayToe	998
95	aldplaysmc	995
96	jacxhadow	983
97	Akoot_	949
98	Mattesco	946
99	SingedBread	899
100	Tolhart	878
101	bl1ss0	873
102	Pumpkin_P_Patch	853
103	miramyu	824
104	MinttyFressh	814
105	TheSecondLord	801
106	Patwannabegamer	757
107	Megarboh	747
108	DanTheBuilderino	720
109	CoffeeNoir	696
110	stellarjay	684
111	_Duckery	678
112	Spenduh	677
113	500am	666
114	NatalieTW	665
114	MilleGrug	665
116	Reamdin	646
117	drunkeeez	626
118	himak1	621
119	bigstankyy	609
120	Huwulling	604
121	__Fanda__	599
122	RobotMinion101	594
123	shdesolt	581
124	VentiHilton	573
125	Stiar	571
126	Sral7	568
127	Myszoaz	545
128	ReflexCode	520
129	AlexxO_o	515
130	Groundler	513
131	PortlyPete69	468
132	NameGenerat0r	467
133	Hyugo	455
134	TheSeismicDuck	441
135	uaoo	439
136	Segotep999	414
137	RebelAndroid	412
138	titanlax	406
139	pixelviolin	399
140	_i_ERROR_i_	392
