rank	username	minecraft:used/minecraft:stripped_mangrove_log
1	hanaryheatwave	62
2	Legendosh	48
3	Mattesco	32
4	Kowcio_	18
5	Mr_Byzantine	12
6	Lutres_	5
7	k_ce	4
7	Steelynan	4
9	luseis	3
