rank	username	minecraft:used/minecraft:verdant_froglight
1	Hyp3rion_	1931
2	Lez_	405
3	Jackattack53	380
4	Kowcio_	179
5	pintsizedrogue	163
5	RoofTyler	163
7	Alteriity	90
8	luseis	89
9	Smoke____	79
10	Enderxz3	75
11	ImpavidArcher	56
12	lordpipe	51
13	Jimb0nat0r	49
14	weabis	41
15	joethahobo	36
16	thewindmillman	30
17	Huwulling	29
18	FishisTTV	26
19	jessewegottacook	25
20	Merv__	17
21	CattSoup	15
22	TheSecondLord	11
22	bearlystraight	11
24	Mattesco	10
25	hanaryheatwave	8
26	Crowman1	6
27	ZoomieZoomie	5
28	AlexxO_o	3
29	12Magner05	2
29	Marbz_	2
29	CarryLine	2
32	Fuad_R	1
32	wwwwinnebagoooo	1
