rank	username	minecraft:used/minecraft:small_dripleaf
1	pintsizedrogue	24
2	Enderslayerxz3	10
3	WYFYoyo	8
4	Legendosh	7
5	500am	6
6	2blox	2
7	Ryker	1
7	12Magner05	1
7	Deathkob	1
7	PlasticOtari	1
