rank	username	minecraft:used/minecraft:music_disc_wait
1	Maenara	70
2	Soplight	62
3	kekhon	46
4	SteveCraftBlocks	26
4	Inchef	26
6	miramyu	23
7	RobotMinion101	22
8	Merv__	20
8	oscminus	20
10	Mahoose	18
11	ImpavidArcher	17
11	PlasticOtari	17
13	heckface	16
13	Ezekson	16
15	YungMaki	14
15	elliebelle107	14
17	pintsizedrogue	13
18	eitanzaki	12
18	joethahobo	12
18	Fullut	12
18	Akoot_	12
18	claivin	12
23	layabout100	11
24	Blackberry1310	10
24	Inbefour	10
26	Skylord_Luke	9
27	Groovy_MoonBird	8
27	fluddd	8
27	Kowcio_	8
27	Legendosh	8
31	Mr_Byzantine	7
31	Prismyst	7
31	beeperbeeper5	7
31	Blu3beast	7
31	Kura2218	7
36	chimpmunker	6
36	RebytreGT	6
36	NameGenerat0r	6
36	Njensen7	6
36	Steelynan	6
36	annebolyn	6
36	Yamdalorian	6
43	ShedJr_	5
43	ProfessorBee	5
43	_Dean_123	5
43	Razzgriz	5
43	Spenduh	5
43	TheBananaKat	5
49	Arceus1975	4
49	CalebDHawk	4
49	hermmm_	4
52	LJW517	3
52	Pofen	3
52	Sleepy_Evelyn	3
52	12Magner05	3
52	Guillemet	3
52	Mobstr	3
52	MyNameIsJobo	3
52	thewindmillman	3
52	Hyp3rion_	3
52	Voxin2K	3
52	Cruncy_	3
52	godipose	3
52	Eraxa	3
52	jcool7	3
52	Dreamdbr14	3
52	Enderxz3	3
52	FishisTTV	3
69	Apollo_993	2
69	MixerDixer	2
69	EMC_	2
69	Frozil20	2
69	Incinere	2
69	Lez_	2
69	skroobiez	2
69	Cryptacity	2
69	TheSecondLord	2
69	excelsionprime	2
69	Awyrlas	2
69	r123moore	2
69	fr_ser	2
69	Jackattack53	2
69	Chromary	2
69	Rumpletaezer	2
69	WET_WET_WET	2
69	Werbe	2
69	seramalen	2
69	Moofyman	2
69	epiksk8erduck	2
69	txxskx	2
69	IamCL4SSY	2
69	NomadicRobin_	2
69	EveryonesUncle	2
69	Karbl	2
69	Quaintster	2
69	SingedBread	2
69	sleep444	2
69	SammiWolfGirl	2
69	MilleGrug	2
69	_3Stump_	2
69	TechnoNinja64	2
69	h2p_emrld	2
103	SmashingPump	1
103	KarlKaek	1
103	Ryan_GEMS	1
103	SaucyDark	1
103	Sabby65	1
103	Hpdinosaur	1
103	BodaciousCake	1
103	Natty	1
103	ZaneABrain	1
103	Gregward_Smith	1
103	Da_Boss_Rani	1
103	Prodiginus	1
103	Auseawesome	1
103	catandmoose	1
103	Kkanot	1
103	Mookle96	1
103	eviltunix	1
103	ROY4LE	1
103	SellyZ	1
103	n2ckn2ck	1
103	xxPipperDipperxx	1
103	KingEgg1	1
103	noam464	1
103	TheDankPlatypus	1
103	Avrelion	1
103	hanaryheatwave	1
103	Parcc	1
103	Felenov	1
103	GothicJamm	1
103	Onennon	1
103	MinerDec	1
103	Tou3bann	1
103	PaperCanvas	1
103	sammidk	1
103	thgrocks	1
103	ILoveCarrot	1
103	wezzzi	1
103	EdGalbraith	1
103	DTwenty	1
103	ese_wn_po	1
103	AspenLightVT	1
103	The_slideV3	1
103	FreakGenius	1
103	blackeemperor	1
103	Racengan	1
103	monky_irl	1
103	TheTommyGun63	1
103	Jjackoe	1
103	mr_crabs761	1
103	SexcMf	1
103	pixelviolin	1
103	yatsuta	1
103	Kijiki	1
103	Pumpkin_P_Patch	1
103	pablopickle	1
103	xzvu	1
103	_TCARREIRA_	1
103	fffMike	1
103	ConnorDanky_	1
103	EcksD	1
103	skitzxo	1
103	JayToe	1
103	00000000-0000-0000-0009-01f1577a2913	1
