rank	username	minecraft:used/minecraft:fire_coral_fan
1	Hyp3rion_	177
2	12Magner05	142
3	Mahoose	102
4	noam464	97
5	pintsizedrogue	94
6	Jackattack53	81
7	Lez_	73
8	Fullut	67
9	_Dean_123	64
10	Di_infiri	59
10	fffMike	59
12	luseis	55
13	Merv__	50
14	ApophisNova	45
14	MyNamaSheff	45
16	ImpavidArcher	39
17	non089	38
18	thewindmillman	36
19	lordpipe	34
20	eitanzaki	32
20	AspenLightVT	32
22	Ssor69	30
22	Xalithia	30
22	Onennon	30
25	500am	27
26	MyNameIsJobo	25
27	HellsSponge	24
28	Xclax101	23
28	TheWickedBird	23
30	TheShyPig	21
31	SaucyDark	20
31	MattieHD	20
33	Blackberry1310	19
33	FreddyFart	19
33	Kowcio_	19
36	diggydog67	18
37	Rumpletaezer	17
37	Krowuss	17
37	SpacesickPrism	17
40	Steelynan	16
41	Marbz_	14
42	aec9	13
42	ConnorDanky_	13
44	The_slideV3	12
44	SexcMf	12
46	beeperbeeper5	11
46	Arceus1975	11
46	Druid95	11
46	pixelviolin	11
46	KingMatthew506	11
51	Bandito_Roamer	10
51	Frozil20	10
51	Archsam	10
51	SkateboardR6	10
51	Powowowow	10
56	AuroraValkyrie	9
56	Kakolbus	9
56	Maenara	9
59	Inbefour	8
59	YungMaki	8
59	miramyu	8
59	_i_ERROR_i_	8
63	Apollo_993	7
63	T045RTY	7
63	TheDankPlatypus	7
63	Hiryu27	7
63	RobotMinion101	7
63	Quaintster	7
63	Typadopoulos	7
70	TheSecondLord	6
70	excelsionprime	6
70	KeruNatsema	6
70	GooseWithin	6
70	iSammael	6
70	Legendosh	6
76	diamondgolem35	5
76	r123moore	5
76	groofles	5
76	_Karmaa	5
76	El_Jalapeno	5
81	BodaciousCake	4
81	Prismyst	4
81	Covalents	4
81	SuperPooch06	4
81	Bumpy419	4
81	RebytreGT	4
81	Akoot_	4
81	Jiminbub	4
81	Soplight	4
81	PortlyPete69	4
81	HesDemonPants	4
81	Jimb0nat0r	4
81	PlasticOtari	4
81	Sral7	4
95	hm947	3
95	ShedJr_	3
95	titanlax	3
95	kekhon	3
95	gcaisawesome	3
95	crashomon	3
95	burbankbuilder28	3
95	domagawha	3
95	Voxin2K	3
95	XxCookiequeenxX	3
95	AstreaTSS	3
95	Spacewardharpy7	3
95	Factoroni	3
95	Yamdalorian	3
109	Huwulling	2
109	emrekn	2
109	Donutt	2
109	oscminus	2
109	Werbe	2
109	_Cloverbelle_	2
109	fkGrim	2
109	NameGenerat0r	2
109	claivin	2
109	FreakGenius	2
109	Eraxa	2
109	Fizznut909	2
109	EngagedGrub41	2
109	EcksD	2
123	Jovaphobic	1
123	abramgray	1
123	KarlKaek	1
123	Hpdinosaur	1
123	jimintyy	1
123	CoffeeNoir	1
123	skroobiez	1
123	Historical_Sand	1
123	IWorkAtIkea	1
123	UncreativeArtist	1
123	Inchef	1
123	shadowthemonkey	1
123	Winklepicker279	1
123	hanaryheatwave	1
123	EdGalbraith	1
123	StinkyDiplomat	1
123	Blu3beast	1
123	Blaiku	1
123	LordSpeed37	1
123	SvenskaHugo	1
123	Segotep999	1
123	xzvu	1
123	Ezekson	1
123	h2p_emrld	1
