rank	username	minecraft:used/minecraft:netherite_leggings
1	Hyp3rion_	17
2	egglapras	8
3	Smoke____	7
4	Rebytre	6
5	Myszoaz	4
5	rarrq	4
5	12Magner05	4
5	Inchef	4
5	Jackattack53	4
5	Spacewardharpy7	4
11	diamondgolem35	3
11	hm947	3
11	noam464	3
14	Blackberry1310	2
14	BronkerBrum	2
14	HolyVenom	2
14	Spenduh	2
14	2blox	2
14	EcksDofficial	2
20	T045RTY	1
20	CoffeeNoir	1
20	joethahobo	1
20	kekhon	1
20	The_Fulgurator	1
20	ApophisNova	1
20	Dan_Scha	1
20	NomadicRobin_	1
20	Freak_Genius	1
20	Nycteus_	1
20	Frozil12	1
20	Racengan	1
20	SingedBread	1
20	TheEnderman548	1
20	Kowcio_	1
20	YungMaki	1
20	GlitchyPlate810	1
20	Aryamanee	1
20	MyNamaSheff	1
