rank	username	minecraft:used/minecraft:netherite_helmet
1	Hyp3rion_	75
2	Kowcio_	25
2	Segotep999	25
4	Jackattack53	24
5	MineMaster0012	19
6	Rebytre	17
7	TheSecondLord	13
7	TheBananaKat	13
9	noam464	11
10	joethahobo	10
10	UCP_TheKingK	10
12	Mattesco	9
12	Jimb0nat0r	9
14	k_ce	8
14	12Magner05	8
14	lorpus	8
14	Luminad3	8
18	CLG_Kata	7
18	Smashic	7
20	Huwulling	6
20	hanaryheatwave	6
22	diamondgolem35	5
22	Myszoaz	5
22	Inchef	5
22	Kakolbus	5
22	oscminus	5
22	Akoot_	5
22	luseis	5
29	Frozil20	4
29	rarrq	4
29	Blackberry1310	4
29	Crowman1	4
29	Krowuss	4
29	PigDab	4
29	Racengan	4
29	Spacewardharpy7	4
29	YungMaki	4
29	Soplight	4
29	Spenduh	4
29	_i_ERROR_i_	4
41	_Huge_Male_	3
41	ECstardust	3
41	beeperbeeper5	3
41	MattieHD	3
41	Touched_Bread	3
41	corpsecity	3
41	fw3xy74	3
41	Fuad_R	3
41	lordpipe	3
50	H0UNDFRMH3LL	2
50	T045RTY	2
50	Alteriity	2
50	jessewegottacook	2
50	Da_Boss_Rani	2
50	TijsVer	2
50	imcombxt	2
50	shadowthemonkey	2
50	LeGold	2
50	HolyVenom	2
50	AstreaTSS	2
50	Nycteus_	2
50	Eczbek	2
50	EcksD	2
50	Nicserso	2
50	2blox_	2
66	Deu_Stew	1
66	Apollo_993	1
66	dimondking777	1
66	PazinGaming	1
66	itburb	1
66	hm947	1
66	Minimize501	1
66	tuckerdoodle	1
66	eitanzaki	1
66	nattybears	1
66	CoffeeNoir	1
66	YairZaki	1
66	Lez_	1
66	SquadMonster	1
66	Jakobo1337	1
66	kekhon	1
66	Fullut	1
66	xxPipperDipperxx	1
66	r123moore	1
66	SuperPooch06	1
66	ApophisNova	1
66	Mr_Sun15	1
66	clownsalad	1
66	Dan_Scha	1
66	NomadicRobin_	1
66	shadowmanu8	1
66	DarkS0L	1
66	Manaateee	1
66	Dakar_	1
66	NameGenerat0r	1
66	SingedBread	1
66	guitar_hero_101	1
66	Jahbouris	1
66	sp00ky_ghost977	1
66	SvenskaHugo	1
66	LeEricc	1
66	SammiWolfGirl	1
66	NATE_the_HALO	1
66	fffMike	1
66	Bairhug	1
66	88Hazza88	1
66	ZoomieZoomie	1
66	Aryamanee	1
66	MyNamaSheff	1
66	Enderxz3	1
66	Legendosh	1
66	calamariclam_I	1
66	AdmiralSmoke	1
66	00000000-0000-0000-0009-01ff0c3e5e4f	1
66	00000000-0000-0000-0009-01f1577a2913	1
