rank	username	minecraft:used/minecraft:spruce_boat
1	Arceus1975	809
2	Mahoose	663
3	TheSecondLord	628
4	beeperbeeper5	543
5	Frozil12	445
6	noam464	313
7	_Dean_123	303
8	eitanzaki	282
9	set67	261
10	Natofthese	229
11	Skippeh	224
11	TechnoNinja64	224
13	claivin	215
14	joethahobo	211
14	PigDab	211
16	Akoot_	208
17	T045RTY	206
18	rarrq	200
19	ediballbearings	178
20	Eraxa	171
21	himak1	167
22	chipklip	158
23	Soplight	146
24	Blackberry1310	133
25	ROY4LE	124
26	Fullut	120
27	pixelviolin	114
28	jnp_gaming	108
29	kekhon	107
29	Ezekson	107
31	Merv__	105
31	CalebDHawk	105
33	Chromary	103
34	pintsizedrogue	102
34	bloodbiter	102
36	EcksDofficial	99
37	EveryonesUncle	96
38	loveseeker	92
39	Spacewardharpy7	91
40	500am	89
41	IdeallyGrey	88
42	Di_infiri	87
42	Dreamdbr14	87
44	Rumpletaezer	84
44	Hyp3rion_	84
44	stellarjay	84
44	SammiWolfGirl	84
48	Jackattack53	83
49	DemTechAlpha	80
50	Euclidoris	77
51	Comma__	75
52	Smoke____	72
53	KarlKaek	71
53	_naturell	71
55	Lukeee33	70
55	Sky_light_KING	70
57	RebelAndroid	69
57	pappaberg	69
57	Freak_Genius	69
57	YungMaki	69
61	H72l9w	68
61	Zoeyfortnite	68
63	mwrty	66
64	BlueZabu	65
65	12Magner05	64
66	RodSerlingCringe	63
67	HellsSponge	62
67	WyngGoy	62
69	Historical_Sand	61
69	Guillemet	61
69	_Bguette_	61
72	gcaisawesome	56
73	Hpdinosaur	55
73	xxPipperDipperxx	55
75	PhantomsGhost_	54
75	MyNameIsJobo	54
75	fluddd	54
75	Vorlice	54
79	TheShyPig	53
79	lizardfightclub	53
79	NomadicRobin_	53
79	oxfordschool	53
83	Deathkob	52
84	Legendosh	51
85	AshleeCW	50
86	Groovy_MoonBird	48
86	TableTim	48
86	yulgur1	48
89	GlitchMixed	47
90	Incinere	46
90	Dusk_95	46
92	Deodorante	45
92	sebastiensaborio	45
92	Enderslayerxz3	45
95	andy_rex	44
95	drompje	44
95	Steven1282598	44
95	laron58	44
99	impossibleteapot	43
99	Razzgriz	43
99	alderban107	43
102	ImpavidArcher	42
102	Os_qq	42
102	_Boipl_	42
102	HyperCave	42
102	SpookyDraggin	42
102	PortlyPete69	42
102	EcksD	42
109	Zythose	41
109	Vetral1	41
109	DarlaMeow	41
109	CrazyPotater	41
113	SHAOBADMAN	40
113	KliBeast21	40
115	Blu3beast	39
116	Nach0Bear	38
116	Werbe	38
116	lillips	38
116	x86assembly	38
120	ooga47	37
121	Drlzyy	36
121	I_Am_Mushkin	36
121	Winklepicker279	36
121	fr_ser	36
121	Rasmanden	36
126	_Virify_	35
126	Jiminie	35
126	obzii	35
126	BreadBacon	35
126	Sral7	35
126	Yogscast_Manden	35
132	m_be9	34
132	Onennon	34
132	vandmanden	34
135	Kamflame10	33
135	Inchef	33
135	whoaluv	33
135	__tomato	33
135	Spenduh	33
135	FGamerJ	33
141	Tmb1	32
141	Quaintster	32
141	Kijiki	32
144	JohnnyFyes	31
144	Tommhh	31
144	awesomeoneme	31
144	Rich_Kat	31
144	Bumpy419	31
144	fkGrim	31
144	SingedBread	31
144	MakeHistory157	31
