rank	username	minecraft:used/minecraft:green_shulker_box
1	pintsizedrogue	980
2	TheShyPig	415
3	SteveCraftBlocks	395
4	beeperbeeper5	345
5	YungMaki	343
6	gcaisawesome	335
7	thescout7	328
8	ROY4LE	278
9	PlasticOtari	259
10	oxfordschool	240
11	Mahoose	225
12	MyNameIsJobo	203
13	HellsSponge	196
14	alderban107	176
15	Enderslayerxz3	167
16	lordpipe	162
17	500am	156
18	Smoke____	135
19	Awyrlas	126
19	Deathkob	126
21	6king6colt6	123
22	jnp_gaming	121
23	Blaiku	116
24	m_be9	110
25	PortlyPete69	98
26	MakeHistory157	87
27	Hyp3rion_	85
28	TechnoNinja64	79
29	TheSecondLord	73
30	sebastiensaborio	72
31	teslawolf38	70
31	stahouo	70
33	Barlycorn	66
34	Akoot_	64
34	yulgur1	64
34	Spenduh	64
37	rarrq	62
38	Snowflowe	61
39	Scathra	59
40	Chromary	58
40	Bumpy419	58
40	EcksD	58
43	lillips	55
43	Groundler	55
45	Lutres_Torane	52
46	lcvezra	51
47	Historical_Sand	49
47	XboxPanda	49
47	Zaridey	49
50	PhantomsGhost_	48
51	Inchef	43
52	theonlymagikarp	40
53	kekhon	39
53	07shiny	39
55	_3Stump_	38
55	Ezekson	38
57	mwrty	37
58	ShedJr_	36
58	Di_infiri	36
60	OG_Songsee	35
61	fr_ser	34
61	WyngGoy	34
63	MunkaKris	33
63	Lukeee33	33
63	Myszoaz	33
66	JEWISHBadenBeele	30
66	ImpavidArcher	30
66	_Dean_123	30
66	DemTechAlpha	30
70	LexMakesHistory	29
71	Ecplosive	28
71	Hisiste	28
71	Njensen7	28
71	kinas45y5	28
75	Fullut	27
75	cedric72	27
77	EMC_	26
78	eitanzaki	25
78	Blackberry1310	25
78	claivin	25
81	El_Jalapeno	24
82	breadbowlgamer	23
82	_Karmaa	23
82	Soplight	23
85	CoffeeNoir	22
85	obzii	22
85	Dreamdbr14	22
88	MightyWertu	21
89	diamondgolem35	20
89	Freeman666	20
89	NameGenerat0r	20
89	MovingFish7	20
89	KingMatthew506	20
94	noam464	18
94	Rumpletaezer	18
96	Ozixar	17
96	titanlax	17
96	12Magner05	17
96	pixelviolin	17
96	JayToe	17
101	djancak	16
102	Foof13	15
102	ssleepless	15
102	MattieHD	15
102	Blu3beast	15
102	Spacewardharpy7	15
107	Hpdinosaur	14
108	Hoid_the_Roamer	13
108	Sky_light_KING	13
108	Razzgriz	13
108	SammiWolfGirl	13
108	Hylo482y	13
113	TooManyDuck	12
113	Kakolbus	12
113	thewindmillman	12
113	kyouma777	12
113	diggydog67	12
118	Aangezet	11
118	Nycteus_	11
118	Sheldor097	11
118	Nicserso	11
122	Jackattack53	10
122	Dogcorn69420	10
122	Legendosh	10
125	PigDab	9
126	ProbablyNick	8
126	joethahobo	8
126	Werbe	8
126	Shogunite	8
126	h2p_emrld	8
131	T045RTY	7
131	Xalithia	7
131	pappaberg	7
131	sp00ky_ghost977	7
131	Eraxa	7
131	YoshikageBites	7
137	seanitoo	6
137	Marbz_	6
137	fxiryglitch	6
137	Lord_Jord	6
137	Sral7	6
137	Zoeyfortnite	6
143	ExtraDumb	5
143	jushykins	5
143	ApophisNova	5
143	Frozil12	5
143	Kyrum2169	5
143	MyNamaSheff	5
149	Auseawesome	4
149	King_Pancake1	4
149	wezzzi	4
149	Xclax101	4
149	Skippeh	4
154	SaucyDark	3
154	featherflyy	3
154	xxPipperDipperxx	3
154	fluddd	3
154	the__Reaper4999	3
159	Merv__	2
159	ZaneABrain	2
159	bloodbiter	2
159	eclipseboi	2
159	emrekn	2
159	Stiar	2
159	fred870d	2
159	Racengan	2
159	KG1999	2
159	fffMike	2
159	K_a__a_n	2
159	little_dUki	2
159	MeetTheWollo	2
159	Powowowow	2
173	elicobnoah	1
173	Euclidoris	1
173	Valoth	1
173	magykcraft	1
173	r123moore	1
173	Rocco_Lane	1
173	k1ngGilgamesh	1
173	Truckoss	1
173	FishyBoy3811	1
173	Negriuke	1
173	Bl1tzFX	1
173	NomadicRobin_	1
173	audiocracked	1
173	duqboy	1
173	Jiminie	1
173	KSI	1
173	DarlaMeow	1
173	rezi	1
173	Kowcio_	1
173	BlankityMcBlank	1
173	jcool7	1
173	Hermanni__	1
