rank	username	minecraft:used/minecraft:soul_torch
1	Enderxz3	760
2	Skylord_Luke	437
3	beeperbeeper5	434
4	Skippeh	325
5	MrExplorer	283
6	k_ce	161
7	skitzxo	154
8	kekhon	152
9	Kowcio_	133
10	ShedJr_	115
11	noam464	107
12	MattieHD	101
13	rarrq	79
14	Yamdalorian	76
15	SammiWolfGirl	70
16	Akoot_	68
17	FreakGenius	66
18	Historical_Sand	63
19	Legendosh	54
20	cichy096	50
21	seramalen	49
22	Mr_Sun15	47
23	annebolyn	44
24	NomadicRobin_	43
24	Manaateee	43
26	Blaiku	42
27	Mattesco	38
28	RoskobiOne	37
29	CliffEmAll	36
29	Billious	36
31	luseis	34
32	Groovy_MoonBird	33
32	FishyBoy3811	33
32	00000000-0000-0000-0009-01f26ea966c4	33
35	eitanzaki	32
36	CalebDHawk	30
36	00000000-0000-0000-0009-01ff0c3e5e4f	30
38	CarltheCuck	29
39	gustarlep	27
39	hermmm_	27
41	ConnorDanky_	26
42	r123moore	25
43	TheSecondLord	24
44	DinoDoctor_	23
45	Tiberonus	22
45	Druid95	22
47	Blackberry1310	18
48	teslawolf38	16
48	joethahobo	16
50	pintsizedrogue	15
50	Mr_Byzantine	15
50	MAns_44	15
50	MightyWertu	15
54	Mahoose	14
54	Boipl	14
56	ImpavidArcher	11
56	diggydog67	11
58	hanaryheatwave	10
59	philandr	9
59	pixelviolin	9
61	0nly_sn1per	8
61	ScootOfBoot	8
61	Eraxa	8
64	titanlax	7
64	thewindmillman	7
64	Kubeusz2010	7
67	Huwulling	6
67	TheBananaKat	6
69	loydaf124	5
69	oscminus	5
69	KingMatthew506	5
69	jnp_gaming	5
73	mwrty	4
73	Chromary	4
73	Soplight	4
73	Ezekson	4
73	11Brewer	4
78	Awyrlas	3
78	podduszenie	3
78	F_Uhre	3
78	Finside	3
78	caddwell	3
78	Wowful	3
78	Cyntrical	3
78	athereall	3
86	_Virify_	2
86	_Huge_Male_	2
86	Merv__	2
86	Sleepy_Time_	2
86	finbob5	2
86	Cellcorgi649	2
86	Werbe	2
86	Gryglu583	2
86	Blasterboy54	2
86	Steelynan	2
96	MixerDixer	1
96	AuroraValkyrie	1
96	homeofmew	1
96	Frozil20	1
96	gren_ben	1
96	RebelAndroid	1
96	EliteTrashPanda_	1
96	orlana	1
96	royal_2	1
96	Fullut	1
96	Yuvl	1
96	pumpfonzo	1
96	NLKBuilder	1
96	Jackattack53	1
96	Zythose	1
96	BRRRN179	1
96	EdGalbraith	1
96	masskedman	1
96	Tyrannosplart	1
96	Fuad_R	1
96	blackeemperor	1
96	wwwwinnebagoooo	1
96	Spacewardharpy7	1
96	StarCookiees_	1
96	deleteduser3c11b	1
96	Pumpkin_P_Patch	1
96	ChazzaHodge13	1
96	Quotary	1
96	PlasticOtari	1
