rank	username	minecraft:used/minecraft:crimson_sign
1	eitanzaki	322
2	12Magner05	226
3	Smoke____	164
4	beeperbeeper5	137
5	iHuntWeeaboos	56
5	Freak_Genius	56
7	Syropatathe	42
8	Lord_Jord	35
9	Mr_Byzantine	27
10	pintsizedrogue	26
11	PigDab	24
12	Mahoose	20
13	Marbz_	18
13	Spacewardharpy7	18
15	RebelAndroid	17
15	noam464	17
15	Jiminie	17
18	Blenderyoda	16
19	TheSecondLord	15
19	lordpipe	15
21	PlasticOtari	14
22	CliffEmAll	13
23	Fullut	11
23	egglapras	11
23	ToastedGamingYT	11
23	Legendosh	11
27	Blackberry1310	10
27	Winklepicker279	10
27	EcksDofficial	10
30	kekhon	9
30	NomadicRobin_	9
30	BiggieDawg	9
33	Hyp3rion_	8
34	Ze_BaronKrigler	7
35	regulator75	5
35	iElijah	5
37	susbakaimpostor	4
37	T045RTY	4
37	TheWildMateo	4
37	Nycteus_	4
37	mihimihimihi	4
37	Soplight	4
43	rarrq	3
43	drunkeeez	3
43	Rebytre	3
43	738b4f65-6cbd-4ead-ba31-c14211abfb06	3
43	KliBeast21	3
43	NATE_the_HALO	3
43	HesDemonPants	3
50	joethahobo	2
50	damarless	2
50	paranoid_plant	2
50	thewindmillman	2
50	Akoot_	2
50	MyNameIsDakar	2
50	Spenduh	2
50	GlitchyPlate810	2
50	MilleGrug	2
50	Steelynan	2
50	Kubeusz2010	2
50	Quotary	2
50	Enderslayerxz3	2
63	Cowison	1
63	ImpavidArcher	1
63	Timfinity4	1
63	500am	1
63	Smashic	1
63	Chromary	1
63	Ekplayer24	1
63	Skylord_Luke	1
63	Qin_Dong	1
63	SingedBread	1
63	Godspirit249	1
63	Segotep999	1
63	EcksD	1
