rank	username	minecraft:used/minecraft:cherry_planks
1	StarCookiees_	1289
2	Lez_	558
3	OreTheBear	352
4	longappendage	304
5	Werbe	286
6	xolstoi	282
7	Alteriity	195
8	pintsizedrogue	150
9	Krowuss	125
10	Archsam	111
11	Mattesco	100
12	Mr_Byzantine	93
13	_Huge_Male_	89
14	pizzarel_	79
15	Huwulling	63
16	Fullut	48
17	k_ce	42
18	MineMaster0012	41
19	Steelynan	39
20	lordpipe	35
21	TheSecondLord	30
22	ECstardust	8
22	lunathelemon	8
22	Kowcio_	8
25	Jackattack53	6
25	Mr_Sun15	6
25	Enderxz3	6
28	Nekomin0	4
29	Apollo_993	2
29	Manaateee	2
29	pixelviolin	2
32	beeperbeeper5	1
32	oscminus	1
32	luseis	1
