rank	username	minecraft:used/minecraft:oak_hanging_sign
1	Niklas20114552	131
2	EveryonesUncle	35
3	oscminus	27
4	thewindmillman	19
5	Mattesco	17
6	DisgruntledKoala	14
7	Huwulling	12
7	Reneedium	12
7	Moofyman	12
10	pintsizedrogue	9
10	Enderxz3	9
12	Pumpkin_P_Patch	6
13	Steelynan	5
14	knuxify	4
15	TheSecondLord	3
15	luseis	3
17	FiguraDei	2
18	j5ylim	1
18	MattieHD	1
18	Jackattack53	1
18	Kowcio_	1
