rank	username	minecraft:used/minecraft:cyan_carpet
1	YungMaki	64238
2	Spacewardharpy7	33502
3	Swexti	8146
4	joethahobo	7184
5	noam464	5396
6	Smoke____	4093
7	luseis	2167
8	Rumpletaezer	1841
9	Ezekson	1761
10	beeperbeeper5	910
11	heckface	662
12	ConnorDanky_	613
13	Fullut	587
14	Huwulling	405
15	Inbefour	370
16	mwrty	257
17	CattSoup	223
18	pintsizedrogue	215
19	RebelAndroid	144
20	AlphaWolfPlaysMC	137
21	KingMatthew506	133
22	jnp_gaming	124
23	Blu3beast	122
24	Merv__	109
25	Legendosh	99
26	HellsSponge	90
27	mariominejedi	85
28	Njensen7	78
29	ImpavidArcher	71
30	Quotary	68
31	r123moore	67
32	Steelynan	51
33	Mahoose	48
34	IamCL4SSY	45
35	ZeroKraken	44
35	PlasticOtari	44
37	SaucyDark	43
38	xolstoi	40
39	Lez_	36
39	The_slideV3	36
39	Fildyr	36
42	TheShyPig	33
43	TechnoNinja64	28
44	TheSecondLord	24
45	AuroraSkies	22
45	Blaiku	22
47	kekhon	18
47	emrekn	18
47	NameGenerat0r	18
50	Soplight	15
50	Sral7	15
52	Cowison	14
52	Dr0xzy	14
54	LeauVox4921	13
54	Factoroni	13
56	FishyBoy3811	12
57	pappaberg	10
58	rarrq	9
58	ewpunk	9
60	Mythic1130	8
60	pixelviolin	8
62	eitanzaki	6
62	IWorkAtIkea	6
62	iSammael	6
62	EngagedGrub41	6
62	EcksD	6
67	Hysna	5
67	UCP_TheKingK	5
67	Hermanni__	5
70	Snowflowe	4
70	Deathkob	4
70	mihimihimihi	4
73	ImNotYuqii	3
73	SteveCraftBlocks	3
73	500am	3
73	fr_ser	3
73	Werbe	3
73	Skippeh	3
73	Nicserso	3
80	Frozil20	2
80	Crowman1	2
80	XboxPanda	2
80	Matyyy15	2
80	xzvu	2
85	PhantomsGhost_	1
85	Incinere	1
85	Chickenchaser2	1
85	bloodbiter	1
85	pr33tu	1
85	4774	1
85	Touched_Bread	1
85	Shiirazu	1
85	cedric72	1
85	aldplaysmc	1
85	PineappleZ215	1
85	Racengan	1
85	lcvezra	1
85	_Yonk_	1
