rank	username	minecraft:used/minecraft:anvil
1	rarrq	2175
2	mihimihimihi	1371
3	Mattesco	1169
4	YungMaki	1081
5	joethahobo	981
6	Hyp3rion_	960
7	PlasticOtari	798
8	Mahoose	742
9	beeperbeeper5	661
10	noam464	654
11	luseis	437
12	pintsizedrogue	312
13	eitanzaki	311
14	Lez_	287
15	HellsSponge	271
16	Manaateee	244
17	jnp_gaming	241
18	Yamdalorian	219
19	ECstardust	217
20	Frozil20	214
21	crashomon	210
22	kekhon	202
23	TheSecondLord	180
24	Kowcio_	175
25	MattieHD	160
26	hanaryheatwave	151
27	500am	138
28	Groundler	126
29	BeardBois	125
30	Historical_Sand	124
31	thewindmillman	122
32	Werbe	118
33	Jackattack53	105
34	Blackberry1310	103
34	Di_infiri	103
36	TheShyPig	97
37	Akoot_	91
38	lordpipe	89
39	Fullut	88
40	Merv__	84
40	FreakGenius	84
42	pixelviolin	82
43	Eraxa	81
44	mwrty	80
45	thescout7	77
45	Hisiste	77
47	ROY4LE	76
48	oscminus	75
49	ImpavidArcher	74
49	fragrantmonke444	74
51	Huwulling	73
51	Spacewardharpy7	73
53	Mr_Byzantine	72
54	blackeemperor	69
54	Soplight	69
56	Blaiku	67
57	Awyrlas	66
57	weabis	66
59	Racengan	65
60	EcksD	64
61	Apollo_993	63
61	Chromary	63
61	Enderxz3	63
64	NameGenerat0r	57
65	12Magner05	52
65	gcaisawesome	52
65	skitzxo	52
68	Shogunite	50
69	xxPipperDipperxx	48
69	_i_ERROR_i_	48
71	EveryonesUncle	47
72	PazinGaming	46
72	teslawolf38	46
74	Krowuss	45
74	Steelynan	45
76	ApophisNova	44
76	MyNamaSheff	44
78	Ryan_GEMS	43
79	IamCL4SSY	42
79	Inbefour	42
79	Ezekson	42
82	Segotep999	41
82	Eczbek	41
84	EMC_	39
85	PhantomsGhost_	38
85	Alteriity	38
85	set67	38
88	Smashic	36
88	xzvu	36
90	fffMike	35
91	SmashingPump	33
92	Eczbox	32
92	Onennon	32
92	NomadicRobin_	32
92	claivin	32
92	Jimb0nat0r	32
97	Inchef	31
97	XboxPanda	31
99	PigDab	30
99	Lord_Jord	30
99	Cocoamallows	30
99	ConnorDanky_	30
103	Pumpkin_P_Patch	28
104	SammiWolfGirl	27
104	annebolyn	27
106	Cowison	26
106	Snowflowe	26
106	Bumpy419	26
106	Blu3beast	26
106	_Mythic____	26
106	TechnoNinja64	26
112	_Huge_Male_	25
112	r123moore	25
112	Marbz_	25
112	Skylord_Luke	25
112	Gus2005	25
117	SaucyDark	24
117	Kakolbus	24
117	Tyrannosplart	24
120	CLG_Kata	23
120	Sleepy_Evelyn	23
120	emreknugrlu	23
123	U_Mos_	22
123	F_Uhre	22
123	Skippeh	22
126	Groovy_MoonBird	21
126	_Virify_	21
126	TheWildMateo	21
129	NumbaOneMunch	20
130	Gregward_Smith	19
130	Saucepeh	19
130	RebytreGT	19
130	vandmanden	19
134	m_be9	18
134	excelsionprime	18
134	fluddd	18
134	Legendosh	18
138	diamondgolem35	17
138	sammidk	17
138	Lutres_	17
138	sp00ky_ghost977	17
