rank	username	minecraft:used/minecraft:ender_eye
1	12Magner05	331
2	chipklip	201
3	YungMaki	96
4	Mahoose	80
5	pappaberg	74
6	Nycteus_	67
7	ProbsNotNova	65
8	AssFullaCum	59
9	Freak_Genius	50
10	eitanzaki	49
11	Gryglu583	46
12	thewindmillman	43
13	egglapras	41
14	nataliecool	40
15	Merv__	36
15	Segotep999	36
17	RebelAndroid	35
18	Fullut	34
18	claivin	34
20	TheSecondLord	32
21	Di_infiri	30
22	crying_wolf_13	29
23	MyNameIsJobo	27
23	TheShyPig	27
25	livingdaydreams	26
26	Inchef	25
26	Jackattack53	25
26	Chromary	25
26	Gab4101	25
30	jcool7	24
31	Zythose	23
31	HellsSponge	23
31	Blu3beast	23
34	noam464	22
34	Maenara	22
36	Harotio	21
36	gabriels543	21
38	Spacewardharpy7	20
39	WyngGoy	18
40	Euclidoris	17
40	__TheNorseMan__	17
42	pintsizedrogue	15
42	MinttyFressh	15
42	diggydog67	15
45	EMC_	14
45	anbbang	14
47	FirsTimeGamingTV	13
47	Blackberry1310	13
47	500am	13
50	jnp_gaming	12
51	joethahobo	11
51	epiksk8erduck	11
51	TTNG	11
51	RodSerlingCringe	11
55	Zaridey	10
56	lotarp	9
56	Guillemet	9
56	Onennon	9
59	Flores991	8
59	Nach0Bear	8
61	_Magdo_	7
61	EveryonesUncle	7
61	EcksD	7
64	NotMeowMix	6
64	Eraxa	6
66	Drlzyy	5
66	fluddd	5
66	2blox	5
69	I_Am_Mushkin	4
69	AlazelTheReal	4
69	aec9	4
72	Groovy_MoonBird	2
72	rarrq	2
72	MattieHD	2
72	BilboBaggins23	2
72	Sky_light_KING	2
72	Frozil12	2
72	Cocoamallows	2
72	Kyrum2169	2
72	Winston_Ingram	2
72	Ezekson	2
72	TechnoNinja64	2
72	JayToe	2
84	AgressiveEggdog	1
84	6king6colt6	1
84	Historical_Sand	1
84	m_be9	1
84	ThePoliteG	1
84	Kkanot	1
84	Awyrlas	1
84	Bobby808	1
84	TheDankPlatypus	1
84	yaboo88	1
84	LAVA129	1
84	Werbe	1
84	fkGrim	1
84	proxivitoid	1
84	El_Jalapeno	1
84	censorsheep	1
84	Groundler	1
84	SingedBread	1
84	lcvezra	1
84	MeetTheWollo	1
84	kinas45y5	1
84	Smoke____	1
