rank	username	minecraft:used/minecraft:birch_fence
1	Smoke____	7196
2	joethahobo	2032
3	kekhon	1638
4	TechnoNinja64	1149
5	sp00ky_ghost977	1031
6	Di_infiri	937
7	TheShyPig	844
8	beeperbeeper5	813
9	Kynigito	744
10	Freak_Genius	689
11	pintsizedrogue	683
11	Legendosh	683
13	lordpipe	677
14	stuy9	675
15	stellarjay	669
16	Mahoose	623
17	Kryktal	612
18	ATrojansLegend	598
19	Ezekson	594
20	eitanzaki	550
21	Spacewardharpy7	524
22	Simon_Lowell	483
23	El_Jalapeno	460
24	Lez_	416
25	IAmTheWalrus910	407
26	noam464	403
27	SkyHighSkier	353
28	EcksDofficial	343
29	ClemenPine	341
30	KarlKaek	334
31	AlexStrange	326
32	UrbanPlanner1978	318
33	Soplight	294
34	Blackberry1310	275
35	UCP_TheKingK	272
36	RoboTramp7865	266
37	DermeinUser	264
38	Zielo2017PL	259
39	loveseeker	254
40	Zythose	248
41	LilLizardWizard	233
42	LeauVox4921	231
43	_Cloverbelle_	228
44	SaucyDark	220
45	Dedalus36	196
46	diggydog67	183
47	Deerfoot	179
48	Lowjinx	168
49	Ravenbie	167
50	Akoot_	162
51	ProfessorBee	149
52	Quotary	141
53	djancak	139
54	jspwn	131
55	monky_irl	130
56	Sabby65	128
56	cichy096	128
58	RustyKedel	127
59	EMC_	120
60	_Dean_123	116
61	Merv__	109
62	crying_wolf_13	107
63	eviltunix	103
63	Snowflowe	103
65	The_Quack_Dealer	96
66	stahouo	94
67	MinttyFressh	93
68	anbbang	92
69	TheSecondLord	89
69	burbankbuilder28	89
69	Blaiku	89
72	InfernalMound	88
72	thescout7	88
74	_Karmaa	87
74	LeeMcGee30	87
76	KlausVonStiglitz	86
77	Nicserso	81
78	E775	80
79	Sral7	79
80	BumbleBeever	75
81	Jokerman369	74
81	MakeHistory157	74
83	smarticuno	72
83	MousePlays	72
83	DC_XII	72
86	dendydoom	71
87	MelodyGaysharks	68
88	UncreativeArtist	67
89	ImpavidArcher	66
90	500am	65
91	Stiar	64
91	The_Skramz	64
93	CoffeeNoir	63
93	Warlord324	63
95	picardred	62
95	OnlyOfficial	62
97	The_Great_Jake	60
98	fred870d	56
98	SingedBread	56
100	Drewen24	55
101	ReyTheLegend	54
102	Racengan	53
103	Mr_Byzantine	52
103	LavenderBi1ch	52
103	Pootis11	52
106	shdesolt	51
106	Smashic	51
106	Crasswolf	51
106	thewindmillman	51
110	Krasnal1337	50
111	livingdaydreams	49
111	301851	49
113	teslawolf38	47
113	ShedJr_	47
115	NoChumpChange	46
116	Lord_Jord	45
116	Jij0	45
118	Tommhh	43
118	mwrty	43
118	Onennon	43
118	bndo	43
118	OfficerAnvil	43
123	Inbefour	42
123	Shogunite	42
123	BuildTheGondola	42
126	RebelAndroid	41
127	Ssor69	40
127	Arceus1975	40
127	jnp_gaming	40
130	dopplexd	39
130	SammiWolfGirl	39
132	ashetrays	38
132	EcksD	38
134	Moofyman	36
134	Deathkob	36
136	The11thDoctor	35
136	EveryonesUncle	35
136	DanTheBuilderino	35
136	PlasticOtari	35
140	tuckerdoodle	34
140	LetsDoItLive	34
142	Enderslayerxz3	32
143	rarrq	31
143	MattieHD	31
143	MyNameIsJobo	31
143	DAD_1996	31
147	bigstankyy	30
147	Nicky_H225	30
147	Blamphe	30
150	ooga47	29
150	HAruSAme14	29
152	DBoydart303	28
152	XboxPanda	28
154	CollinMH06	27
154	AlexChristian	27
154	Catharsist	27
154	Nargotah	27
154	Vellu21	27
159	oxfordschool	26
160	CACTUSLAD	25
160	__tomato	25
162	mimbo1211	24
162	ChillenChiggen	24
162	Jiminie	24
165	YungMaki	23
166	surfinggiraffejp	22
166	Wowful	22
166	HellsSponge	22
169	I_Am_Mushkin	21
169	Inchef	21
169	r123moore	21
172	jedi_george	20
172	fluddd	20
174	Groovy_MoonBird	19
174	Fullut	19
174	xxPipperDipperxx	19
174	Bazongoman	19
174	wwwwinnebagoooo	19
174	Kubeusz2010	19
180	Bolete	18
180	KeruNatsema	18
182	IWorkAtIkea	17
182	Blu3beast	17
182	bitsplease	17
185	Iagoku	16
185	himak1	16
185	NYJ	16
185	Eraxa	16
185	KingMatthew506	16
190	6king6colt6	15
190	SuperPooch06	15
190	_Bguette_	15
190	a_smol_bean	15
194	NotTrixi	14
194	ediballbearings	14
196	prizm_	12
196	07shiny	12
198	La_Conne	11
198	LunarRedPanda	11
200	Xclax101	10
200	SvenskaHugo	10
200	Steelynan	10
203	diamondgolem35	9
203	Euclidoris	9
203	Avrelion	9
203	SlayerCrypto	9
203	LeGold	9
203	Leithz6	9
203	yatsuta	9
210	PhantomsGhost_	8
