rank	username	minecraft:used/minecraft:pink_banner
1	pretty_pink_reno	393
2	luseis	77
3	lordpipe	72
4	Lez_	59
5	bl1ss0	46
6	beeperbeeper5	39
7	kekhon	34
8	pintsizedrogue	21
9	500am	17
10	Legendosh	16
11	Kowcio_	12
11	skitzxo	12
11	Yamdalorian	12
14	Huwulling	11
15	Mattesco	10
16	Ezekson	9
17	ShedJr_	8
17	Arielthebest	8
19	k_ce	7
19	eitanzaki	7
19	crashomon	7
19	egg_innit	7
23	Incinere	6
23	AlexxO_o	6
23	Tyrannosplart	6
23	Pumpkin_P_Patch	6
27	Mahoose	5
27	MattieHD	5
27	KeruNatsema	5
27	FiguraDei	5
31	Alteriity	4
31	Werbe	4
31	KamFurnace	4
34	joethahobo	3
34	Akoot_	3
34	LordSpeed37	3
34	mobunni	3
38	Mr_Byzantine	2
38	ECstardust	2
38	AgressiveEggdog	2
38	q_wq	2
38	SnowyAvi	2
38	xxPipperDipperxx	2
38	noam464	2
38	Chromary	2
38	Tkraack	2
38	NomadicRobin_	2
38	The_slideV3	2
38	Blu3beast	2
38	Blaiku	2
38	Buuck_	2
38	MakeHistory157	2
38	starbits140	2
54	Groovy_MoonBird	1
54	CeeBeeKay	1
54	ZoeyBrookesPCA2k	1
54	PhantomsGhost_	1
54	Merv__	1
54	Smashic	1
54	prizm_	1
54	Krowuss	1
54	Jekyll	1
54	oscminus	1
54	DadWorksForSega	1
54	goldyx	1
54	TheShyPig	1
54	Lord_Jord	1
54	EveryonesUncle	1
54	Manaateee	1
54	HellsSponge	1
54	Shogunite	1
54	claivin	1
54	Spacewardharpy7	1
54	deleteduser3c11b	1
54	TheKingK_	1
54	xzvu	1
54	SammiWolfGirl	1
54	LeeMcGee30	1
54	DrEggIrl	1
