rank	username	minecraft:used/minecraft:gray_stained_glass_pane
1	joethahobo	23920
2	beeperbeeper5	3299
3	noam464	3122
4	PlasticOtari	2359
5	TheShyPig	1360
6	eitanzaki	681
7	Groundler	597
8	Merv__	565
9	Soplight	527
10	r123moore	512
11	Chromary	433
12	500am	291
13	Inchef	281
14	TheSecondLord	269
15	Mahoose	242
16	Shogunite	201
17	Jeteight	179
18	obzii	171
19	SammiWolfGirl	157
20	kekhon	154
21	cedric72	153
22	XxCookiequeenxX	146
23	ConnorDanky_	143
24	lcvezra	136
25	Eraxa	132
26	bloodbiter	115
27	ApophisNova	111
27	MyNamaSheff	111
29	AltnumberF4	104
30	EMC_	92
31	MonitorLizards	88
32	Frozil20	85
32	Snowflowe	85
34	Blackberry1310	67
35	Arceus1975	61
36	Hermanni__	49
37	Rebytre	48
38	JokoFiskare	40
38	rarrq	40
40	MattieHD	38
41	_Karmaa	26
41	Blaiku	26
41	pixelviolin	26
44	ImpavidArcher	25
45	Skylord_Luke	22
46	Huwulling	20
46	Spacewardharpy7	20
48	EveryonesUncle	18
49	ThiccExotic	17
50	Jalvajar	16
50	Spaghettatron	16
52	Onennon	14
53	pintsizedrogue	13
53	Jackattack53	13
55	Solar_Power	11
56	Rumpletaezer	9
56	El_Jalapeno	9
56	Smoke____	9
59	Akoot_	8
60	xxPipperDipperxx	6
60	jcool7	6
62	Historical_Sand	4
62	IamCL4SSY	4
62	Fuad_R	4
65	IWorkAtIkea	3
65	luseis	3
65	HellsSponge	3
68	livingdaydreams	2
68	FreakGenius	2
68	Nycteus_	2
68	cog	2
68	TheTommyGun63	2
68	Mythic1130	2
68	Enderxz3	2
75	Werbe	1
75	ooga47	1
75	NomadicRobin_	1
75	StinkyDiplomat	1
