rank	username	minecraft:used/minecraft:golden_shovel
1	fffMike	759
2	Shogunite	611
3	2Stout	323
4	Mr_Byzantine	204
5	picardred	160
5	cedric72	160
7	EcksDofficial	109
8	Euclidoris	96
8	IdeallyGrey	96
10	EkkoTraveler	65
10	Reamdin	65
10	560cool	65
13	BoraMC	64
13	QueenShuvi	64
13	sadvavilloso	64
13	Teebone15	64
17	Frxnkz	33
17	noam464	33
17	wilgot_	33
20	jacxhadow	32
20	12Magner05	32
20	Winklepicker279	32
20	SuperPooch06	32
20	Sky_light_KING	32
20	bpmm	32
20	Freak_Genius	32
20	Nycteus_	32
20	lcvezra	32
20	SammiWolfGirl	32
20	Synnlux	32
20	cichy096	32
20	Enderslayerxz3	32
33	Dusk_95	24
34	SugarMyNuggets	22
35	alddd	15
36	saltypear500	12
37	xxPipperDipperxx	10
38	Avermu	8
39	cmui	7
40	ayamefag	5
41	The_slideV3	1
