rank	username	minecraft:used/minecraft:spruce_stairs
1	Shogunite	15427
2	Skylord_Luke	10587
3	EveryonesUncle	9706
4	rarrq	9414
5	EMC_	7604
6	Inchef	6681
7	Onennon	5801
8	TheShyPig	5598
9	Ezekson	5318
10	Lez_	4862
11	Manaateee	4797
12	TheSecondLord	4788
13	TheWildMateo	4676
14	xolstoi	4345
15	beeperbeeper5	4264
16	Snowflowe	3703
17	burbankbuilder28	3660
18	_Dean_123	3592
19	xxPipperDipperxx	3507
20	pintsizedrogue	3412
21	Mattesco	3350
22	500am	3084
23	kekhon	2778
24	PlasticOtari	2565
25	Legendosh	2515
26	m_be9	2495
27	SpacesickPrism	2489
28	Kowcio_	2414
29	ProfessorDiaper	2402
30	Frozil20	2323
31	joethahobo	2322
32	PazinGaming	2293
33	HellsSponge	2217
34	ConnorDanky_	2199
35	Kakolbus	2194
36	_Karmaa	2184
37	Steelynan	2154
38	Meatlaugh	2101
39	Mahoose	1957
40	luseis	1932
41	Di_infiri	1867
42	Fullut	1852
43	Rumpletaezer	1842
44	ApophisNova	1774
44	MyNamaSheff	1774
46	Winklepicker279	1685
47	TooManyDuck	1658
48	lcvezra	1619
49	Skippeh	1579
50	Eraxa	1526
51	KarlKaek	1523
52	Touched_Bread	1483
53	Jimb0nat0r	1420
54	Blackberry1310	1337
55	Enderxz3	1323
56	Blu3beast	1294
57	_Huge_Male_	1287
58	Racengan	1280
59	ImpavidArcher	1277
59	F_Uhre	1277
61	Inbefour	1274
62	SvenskaHugo	1270
63	Dakar_	1226
64	Deathkob	1223
65	Natty	1210
66	Merv__	1196
67	DC_XII	1193
68	weabis	1164
69	Soplight	1138
70	H0UNDFRMH3LL	1130
71	Saucepeh	1060
72	MinttyFressh	1055
73	BlueZabu	1031
74	Historical_Sand	1004
75	Groundler	997
76	Avocadogerms	980
77	UCP_TheKingK	979
78	FreakGenius	952
79	AuroraSkies	951
80	Smashic	945
81	thebaddruid	939
82	ECstardust	934
83	MattieHD	905
84	RatatJuice	868
85	Chromary	853
85	Barlycorn	853
