rank	username	minecraft:used/minecraft:polished_blackstone_brick_stairs
1	noam464	5960
2	Legendosh	4552
3	rarrq	3697
4	Blaiku	3543
5	YungMaki	3122
6	12Magner05	2737
7	EveryonesUncle	2722
8	burbankbuilder28	2404
9	Zythose	2171
10	ogoa	2146
11	TheSecondLord	1733
12	beeperbeeper5	1704
13	Mattesco	1608
14	pintsizedrogue	1554
15	Freak_Genius	1389
16	Di_infiri	1164
17	RebelAndroid	1065
18	Winklepicker279	936
19	TheShyPig	911
20	eitanzaki	905
21	Eraxa	883
22	Fullut	867
23	PlasticOtari	851
24	Cowison	774
25	Kubeusz2010	762
26	Spacewardharpy7	593
27	MyNameIsDakar	465
28	Blackberry1310	410
29	set67	315
30	himak1	271
31	Enderslayerxz3	270
32	Werbe	256
33	EcksD	251
34	Lord_Jord	245
35	FishyBoy3811	243
36	Deathkob	228
37	Shogunite	223
38	Decaying_Lotus	215
39	500am	206
40	PortlyPete69	200
41	YungJakobo	197
42	6king6colt6	186
43	Klerick	180
44	kekhon	179
45	ImpavidArcher	166
45	CliffEmAll	166
47	Dusk_95	161
48	r123moore	159
49	Kakolbus	151
50	Solar_Power	130
51	Optiprimus	120
52	soundad	107
53	UCP_TheKingK	102
54	gustarbite	90
55	egglapras	85
56	Billious	75
57	Paint	72
58	Ezekson	70
59	JitteryJared2	69
60	benediktine1	68
61	Steelynan	66
62	Awyrlas	59
62	Soplight	59
64	SkateboardR6	58
65	Snowflowe	56
66	PigDab	50
67	Eczbek	48
68	jacxhadow	47
69	MSK__	42
69	thewindmillman	42
71	00000000-0000-0000-0009-01ff0c3e5e4f	40
72	lordpipe	36
73	ApophisNova	29
73	MyNamaSheff	29
75	KarlKaek	22
76	Yatitay	21
76	Hpdinosaur	21
78	cichy096	20
79	ToastedGamingYT	19
80	_Razar	17
81	KeruNatsema	15
81	Winston_Ingram	15
83	nataliecool	14
84	Jiminie	12
84	RadarHz	12
86	Maenara	11
86	Smoke____	11
88	BobDeBouwer1337	10
89	livingdaydreams	9
89	fred870d	9
89	Nycteus_	9
89	sp00ky_ghost977	9
93	breadbowlgamer	8
93	ooga47	8
93	Razzgriz	8
96	Mahoose	7
96	Hyp3rion_	7
96	RodSerlingCringe	7
99	ShedJr_	6
99	Myszoaz	6
101	Eon_57	5
101	KG1999	5
103	Arceus1975	4
103	HAIRYCLOUD626	4
103	DarkS0L	4
103	Vorlice	4
107	lillips	3
107	Spenduh	3
109	joethahobo	2
109	GreedyFern8581	2
109	yulgur1	2
109	Frozil12	2
109	TheTommyGun63	2
109	Segotep999	2
109	TinyTheMelon	2
109	little_dUki	2
109	EcksDofficial	2
118	Humpcat	1
118	T045RTY	1
118	eclipseboi	1
118	mwrty	1
118	CaptainBadKid	1
118	masskedman	1
118	MineMaster0012	1
118	Luigipunch989	1
118	guccipucci_	1
118	tartanboy	1
118	jnp_gaming	1
118	diggydog67	1
