rank	username	minecraft:used/minecraft:redstone
1	thewindmillman	17000
2	Di_infiri	15894
3	noam464	12879
4	eitanzaki	12423
5	HellsSponge	10216
6	thescout7	9916
7	beeperbeeper5	5708
8	Miko_Fullbuster	5409
9	Smoke____	4977
10	Spacewardharpy7	4675
11	Akoot_	3714
12	PigDab	3616
13	Jackattack53	3574
14	Soplight	3154
15	m_be9	3022
16	TechnoNinja64	2833
17	Blaiku	2661
18	kekhon	2475
19	ProfessorBee	2349
20	Hyp3rion_	2335
21	Zythose	2248
22	T045RTY	1972
23	sp00ky_ghost977	1781
24	Freak_Genius	1748
25	El_Jalapeno	1728
26	Ezekson	1678
27	EcksD	1565
28	Werbe	1554
28	AssEatrAndLicker	1554
30	MyNameIsJobo	1476
31	Snowflowe	1396
32	Inbefour	1381
33	fffMike	1357
34	12Magner05	1337
35	lordpipe	1316
36	MangoTheFish	1307
37	Hiryu27	1303
38	Historical_Sand	1288
39	Arceus1975	1265
40	Fullut	1234
41	PhantomsGhost_	1221
42	Blu3beast	1184
43	YungMaki	1165
44	Onennon	1133
45	Warlord324	1107
46	Kakolbus	1087
47	MightyWertu	1082
48	_Nuf	1058
49	oxfordschool	1052
50	slkiey	1030
51	WyngGoy	1029
52	starbits140	1009
53	EMC_	993
54	Rumpletaezer	954
55	Marbz_	929
56	ssleepless	892
57	joethahobo	890
58	jnp_gaming	875
59	Frozil12	848
60	Groundler	840
61	Maenara	832
62	Awyrlas	831
63	PortlyPete69	815
64	Enderslayerxz3	807
65	ApophisNova	792
65	MyNamaSheff	792
67	Hisiste	761
68	__tomato	760
69	BumbleBeever	759
70	gcaisawesome	757
71	MilleGrug	744
72	eiC_	705
73	Zoeyfortnite	668
74	Blackberry1310	647
75	ImpavidArcher	629
76	picardred	598
77	SSytex_X	596
78	07shiny	589
79	Bumpy419	582
80	sebastiensaborio	572
81	Kouridragon	570
82	Powowowow	565
83	eviltunix	564
84	Racengan	554
85	RebelAndroid	551
86	_Virify_	545
86	obzii	545
88	Hermanni__	517
89	GravitySaint	504
90	Deathkob	501
91	Swexti	494
92	Jovaphobic	493
93	Quotary	492
94	SlayerCrypto	488
94	masskedman	488
96	anbbang	477
97	MattieHD	465
98	Mahoose	459
99	fluddd	447
100	Lord_Jord	445
101	ese_wn_po	443
102	Xclax101	442
103	TheShyPig	440
103	Barlycorn	440
105	HesDemonPants	435
106	Covalents	434
107	cedric72	429
108	PlasticOtari	425
109	TheSecondLord	424
110	Fuhrer_Teemo	423
111	The_slideV3	415
112	Skippeh	406
113	EcksDofficial	397
114	Sky_light_KING	391
115	r123moore	390
116	jcool7	378
117	cichy096	367
118	pixelviolin	363
119	Ssor69	353
120	Dedalus36	338
121	KG1999	331
122	domagawha	329
123	FreddyFart	326
124	_Bguette_	325
125	Dreamdbr14	324
126	awesomeoneme	311
127	tobinwilliams	309
128	egglapras	302
129	ProbsNotNova	299
130	Soap_Bender	293
131	bigstankyy	292
132	Cocoamallows	290
133	Euclidoris	288
133	xxPipperDipperxx	288
135	Legendosh	284
136	Rainaldus	281
137	q_wq	280
138	CharlieButt	278
138	Sral7	278
140	seramalen	275
140	FishyBoy3811	275
140	Eraxa	275
143	lcvezra	269
144	Shogunite	268
144	UrbanPlanner1978	268
146	gaziter10	266
146	kinas45y5	266
148	Sheldor097	263
149	Scathra	259
150	mwrty	255
151	set67	249
152	Quincannon	248
153	soundad	247
154	Groovy_MoonBird	240
155	Skylord_Luke	239
156	BlankityMcBlank	236
157	alderban107	235
158	abramgray	234
159	pintsizedrogue	228
160	JESS_THE_RERE	227
160	NameGenerat0r	227
162	DanTheBuilderino	222
163	EfficientC52	219
164	lotarp	217
165	TheThomas69	215
166	NotMeanttoChange	211
167	Darkgon	208
168	burbankbuilder28	207
169	audiocracked	204
170	Paintz	203
170	loveseeker	203
172	Inchef	199
173	HolyVenom	198
174	andy_rex	196
174	Dusk_95	196
176	Vizzoid	195
177	ayamefag	194
178	KingMatthew506	192
179	Cowison	190
180	heckface	188
