rank	username	minecraft:used/minecraft:turtle_egg
1	noam464	1004
2	Racengan	784
3	MilleGrug	394
4	Mahoose	228
5	Apollo_993	221
6	legal_tax_evader	202
7	kekhon	192
8	Jackattack53	151
9	HellsSponge	150
10	h2p_emrld	148
11	Bumpy419	106
12	Arceus1975	99
13	thewindmillman	91
14	zToasty69z	86
15	Werbe	76
15	Yamdalorian	76
17	Napoleonpancake	75
17	miramyu	75
19	abdomera	69
20	NomadicRobin_	64
21	FreakGenius	62
22	Fizznut909	58
23	Eraxa	54
24	Manaateee	53
25	Blackberry1310	52
25	JayToe	52
27	stevewithclout	47
28	Marbz_	46
29	oscminus	39
30	PigDab	38
31	eiC_	37
31	Kakolbus	37
33	claivin	36
34	Maenara	35
35	beeperbeeper5	34
36	SaucyDark	33
36	_Gabae	33
36	Spacewardharpy7	33
36	SSytex_X	33
40	Comma__	31
40	luseis	31
42	xxPipperDipperxx	30
42	Hyp3rion_	30
44	TheShyPig	29
44	Akoot_	29
44	DanTheBuilderino	29
47	Saucepeh	28
47	Inchef	28
49	500am	27
50	Fullut	26
50	MightyWertu	26
52	Jovaphobic	24
52	titanlax	24
54	ImpavidArcher	23
54	Nicky_H225	23
54	Sheldor097	23
57	Luigipunch989	21
57	TechnoNinja64	21
59	Onennon	20
59	Rasmanden	20
59	Nicserso	20
62	diggydog67	19
63	Frozil20	18
63	theofiel	18
63	Soplight	18
66	RebelAndroid	17
67	T045RTY	16
67	mihimihimihi	16
67	WyngGoy	16
67	Steelynan	16
71	hollowww	15
71	MOSS000	15
73	eitanzaki	14
73	ShedJr_	14
73	Huic_ostiarius	14
76	Eczbox	13
76	Eczbek	13
76	Zoeyfortnite	13
79	pintsizedrogue	12
79	diamondgolem35	12
79	Hyugo	12
79	Lez_	12
79	El_Jalapeno	12
79	2blox_	12
85	thescout7	11
85	Xclax101	11
87	Bandito_Roamer	10
87	_Virify_	10
87	Gregward_Smith	10
87	Scathra	10
87	The11thDoctor	10
87	IAmTheWalrus910	10
87	PlasticOtari	10
94	__tomato	9
95	Deathkob	8
95	Kowcio_	8
95	YungMaki	8
95	PortlyPete69	8
95	Kubeusz2010	8
95	Skippeh	8
95	ConnorDanky_	8
102	Merv__	7
102	Kura2218	7
102	Quotary	7
105	SmashingPump	6
105	hm947	6
105	NieToksikpl	6
105	bloodbiter	6
105	PaperCanvas	6
105	Shogunite	6
105	33sudo	6
105	stavgod	6
105	CalebDHawk	6
114	JohnnyFyes	5
114	Ryan_GEMS	5
114	rarrq	5
114	TheDankPlatypus	5
114	EveryonesUncle	5
114	NameGenerat0r	5
114	EfficientC52	5
114	Dr0xzy	5
114	HesDemonPants	5
123	MoistMicrowave	4
123	jacxhadow	4
123	pappaberg	4
123	RebytreGT	4
123	XxCookiequeenxX	4
123	AstreaTSS	4
123	Typadopoulos	4
123	hermmm_	4
123	smogfrog	4
123	Weepingbiel	4
123	Powowowow	4
134	k_ce	3
134	gren_ben	3
134	Da_Boss_Rani	3
134	MattieHD	3
134	mwrty	3
134	bl1ss0	3
134	SuperPooch06	3
134	Queen_Jalapeno	3
134	Voxin2K	3
134	EdGalbraith	3
134	SingedBread	3
134	Druid95	3
134	iSammael	3
134	Segotep999	3
148	KomputerDude	2
148	skroobiez	2
148	12Magner05	2
148	fr_ser	2
148	RobotMinion101	2
148	AuroraSkies	2
148	Inbefour	2
148	godipose	2
148	_Karmaa	2
148	carpet4_69	2
148	Soul_Atreus	2
148	Kyrum2169	2
148	vVip3rzzz	2
148	_TCARREIRA_	2
148	Ezekson	2
163	dabloons	1
163	Bad_At_Names_Guy	1
163	Xalithia	1
163	ROY4LE	1
163	r123moore	1
163	Reneedium	1
163	ApophisNova	1
163	HeraclesOGU	1
163	wezzzi	1
163	yulgur1	1
163	The_slideV3	1
163	Blu3beast	1
163	Hisiste	1
163	lordpipe	1
163	SexcMf	1
163	EcksD	1
163	MyNamaSheff	1
