rank	username	minecraft:used/minecraft:iron_leggings
1	Yahir091	3
1	Kowcio_	3
3	strongman951753	2
3	diamondgolem35	2
3	Auseawesome	2
3	TheSecondLord	2
3	BronkerBrum	2
3	Akoot_	2
3	420BreadLizard	2
3	AstroLightz_	2
11	MR__puma	1
11	SDW_Insanity	1
11	YinToYin	1
11	nataliecool	1
11	littlesophiagirl	1
11	Drlzyy	1
11	AgressiveEggdog	1
11	Tommhh	1
11	rachcl	1
11	Flores991	1
11	Myszoaz	1
11	rarrq	1
11	ElFi66	1
11	Over_Spirit	1
11	12Magner05	1
11	Boboczus	1
11	MarianooItaliano	1
11	piano10	1
11	orxngejuice	1
11	PlayingOnXbox360	1
11	eli_tschki	1
11	GOOBERGABE04	1
11	mvrty	1
11	Destroyer112221	1
11	The_Fulgurator	1
11	regulator75	1
11	Infernowithazero	1
11	bee_gorl	1
11	A_Potatoe	1
11	Gmoney390	1
11	Dan_Scha	1
11	bpmm	1
11	Gryglu583	1
11	Living_Storms	1
11	ATurtle4936	1
11	ThatMan_Dave	1
11	Frozil12	1
11	Testificate_517	1
11	TheEnderman548	1
11	SquidZooka2	1
11	MineMaster0012	1
11	brofrickcheaters	1
11	Poppy235	1
11	SprinklerMan	1
11	2blox	1
11	LiL_Dorfbewohner	1
11	the_cocos	1
