rank	username	minecraft:used/minecraft:beetroot
1	fr_ser	296
2	Akoot_	65
3	_Virify_	47
3	FirsTimeGamingTV	47
5	sufjanlover	46
6	skitzxo	45
7	aldplaysmc	43
8	Warlord324	42
9	jewbacaman	41
10	TiborSterle	39
11	Maenara	36
12	bbrothers_5	35
13	mobunni	29
14	KomputerDude	28
14	virtual_acid	28
16	ImpavidArcher	27
17	Merv__	25
17	Russiancat1	25
17	DarlaMeow	25
20	KarlKaek	24
21	Manaateee	23
22	ItsAki_	22
22	WYFYoyo	22
24	ratglock	21
24	impossibleteapot	21
26	intropass	20
26	jandrs	20
28	AJplaysMC_	19
29	dabloons	18
29	Werbe	18
29	E775	18
29	TheWickedBird	18
33	T045RTY	17
34	Lez_	16
34	TechnoNinja64	16
36	beeperbeeper5	14
36	Saucepeh	14
36	_Minnty_	14
36	ROY4LE	14
36	LeeMcGee30	14
36	Yamdalorian	14
42	EMC_	13
42	I_Am_Mushkin	13
42	eviltunix	13
42	thgrocks	13
42	NormanFetus	13
42	marumochis	13
42	Deguns123	13
42	Steelynan	13
50	King_Wars125	12
50	TheBlackDeth	12
50	mimbo1211	12
50	SuperPooch06	12
50	KermitTheKripple	12
50	Cocoamallows	12
56	Mahoose	11
56	faulkyou_	11
56	Prodiginus	11
56	Boipl	11
56	Kynigito	11
56	Fakiuss	11
62	varvania	10
62	gaziter10	10
62	Blackberry1310	10
62	Cortexia	10
62	whoaluv	10
62	Shiirazu	10
62	SolarKar	10
69	MixerDixer	9
69	bloodbiter	9
69	prizm_	9
69	__Fanda__	9
69	TheSandwhich_	9
74	ProfessorBee	8
74	Noah_Bez	8
74	MyNameIsJobo	8
74	babyjimmyneutron	8
74	miramyu	8
74	DennyKai	8
74	mackintosh_x	8
81	pintsizedrogue	7
81	Rorrofighter	7
81	SaltiestJustice	7
81	El_Jalapeno	7
81	Pumpkin_P_Patch	7
86	Mr_Byzantine	6
86	teslawolf38	6
86	Motsaro	6
86	Krome48	6
86	St4nLe7	6
86	Ezekson	6
92	Seyaboy	5
92	kekhon	5
92	Nab3rius	5
92	CollinMH06	5
92	killmeiamtraitor	5
92	Benjieman	5
92	Huic_ostiarius	5
92	lordpipe	5
92	VentiHilton	5
101	KingFaenor	4
101	rachcl	4
101	ewsophie	4
101	jacxhadow	4
101	laolitongxue122	4
101	noam464	4
101	Peeing	4
101	thewindmillman	4
101	MonitorLizards	4
101	Deathkob	4
101	Darkgon	4
101	Xclax101	4
101	TheTommyGun63	4
101	SammiWolfGirl	4
101	CoryJJ	4
116	Mowelan	3
116	hollowww	3
116	Killercatty78	3
116	eitanzaki	3
116	Vizzoid	3
116	shdesolt	3
116	Austine6698	3
116	thescout7	3
116	mshs94	3
116	oscminus	3
116	ThyLorax	3
116	brickman241	3
116	Tiktola01	3
116	HellsSponge	3
116	NameGenerat0r	3
116	claivin	3
116	DanTheBuilderino	3
116	Blu3beast	3
116	MovingFish7	3
116	annaellieee	3
116	Skippeh	3
116	TheOnlyRake	3
116	MelodyGaysharks	3
139	k_ce	2
139	PizzaJake	2
139	ECstardust	2
139	maliraspberry	2
139	DrichAldrich	2
139	Historical_Sand	2
139	Sparky_KT	2
139	Malorn_Aetherius	2
139	FuxS0cy	2
139	TowenPL	2
139	lordsaladito	2
139	mwrty	2
139	SpicyMeatballs	2
139	LitoDelvito	2
139	SirMeowsMucho	2
139	FastLane1	2
139	wfk7	2
139	_Cloverbelle_	2
139	cedric72	2
139	Luminad3	2
139	Skyle169	2
139	ILoveCarrot	2
139	Ilaea	2
139	Tyrannosplart	2
139	Typadopoulos	2
139	AvaRosey	2
139	33sudo	2
139	Kowcio_	2
139	Luigipunch989	2
139	alanbleachdemon	2
139	Njensen7	2
139	RadarHz	2
139	Zoeyfortnite	2
172	H0UNDFRMH3LL	1
172	heysushii	1
172	Lotheburgh	1
172	Frozil20	1
172	Sleek_Storm_721	1
172	awsomedude5	1
172	Lisppp	1
172	HollieDaNugget	1
172	SyntheticSurgeon	1
172	Batman922	1
172	Natty	1
172	ZaneABrain	1
172	CoffeeNoir	1
172	Julmish	1
172	Gregward_Smith	1
172	Ssor69	1
172	rarrq	1
172	Euclidoris	1
172	Hobobrine	1
172	Auseawesome	1
172	CompoundMedic	1
172	ToxicHauntling	1
172	corvidpartyfor6	1
172	_Dean_123	1
172	Fullut	1
172	excelsionprime	1
172	crying_wolf_13	1
172	himak1	1
172	eiC_	1
172	emremalexander	1
172	bl1ss0	1
172	shadowthemonkey	1
172	Di_infiri	1
172	Jackattack53	1
172	Hyp3rion_	1
172	KillerNekoRain	1
172	Ail_NoNoNo	1
172	ALegendsTale	1
172	JETrotter	1
172	Skylord_Luke	1
172	TahkoLive	1
172	Keith_Stark	1
172	Moofyman	1
172	Flowertone	1
172	AlexxO_o	1
172	SweetOverlord	1
172	Elastiq	1
172	tt4yy4	1
172	Inbefour	1
172	kiluaemc	1
172	fIexr	1
172	LoFPS	1
172	JureJurko	1
172	Methalox1	1
172	FreakGenius	1
172	GeromeMerris	1
172	frozensquire	1
172	wwwwinnebagoooo	1
172	Spacewardharpy7	1
172	Factoroni	1
172	SUN_DREAM	1
172	sp00ky_ghost977	1
172	Optiprimus	1
172	Eraxa	1
172	Shadow4381	1
172	Jij0	1
172	SvenskaHugo	1
172	pixelviolin	1
172	Juh1s	1
172	PlzNoBM	1
172	ProbsNotNova	1
172	CalebDHawk	1
172	_3Stump_	1
172	elliebelle107	1
172	mountaingirl311	1
172	Enderxz3	1
172	Oxygen16	1
172	jnp_gaming	1
172	Jimb0nat0r	1
172	PlasticOtari	1
172	arrianaire	1
