rank	username	minecraft:used/minecraft:nether_brick_stairs
1	TheShyPig	5143
2	Frozil12	4978
3	Kakolbus	4747
4	MyNameIsJobo	3247
5	Lord_Jord	2535
6	BobDeBouwer1337	1920
7	m_be9	1757
8	Zythose	1713
9	YungMaki	1149
10	HellsSponge	841
11	TheBiggestFeller	648
12	Spacewardharpy7	623
13	Di_infiri	522
14	burbankbuilder28	355
15	stellarjay	349
16	Vorlice	343
17	Cowison	340
18	Skippeh	339
19	Eraxa	295
20	beeperbeeper5	285
21	Bandito_Roamer	282
21	CACTUSLAD	282
23	Soplight	280
24	DAD_1996	272
25	ciemacigans	271
26	Smoke____	221
27	Sral7	220
28	rarrq	209
29	ROY4LE	208
30	ooga47	195
31	Merv__	184
32	RodSerlingCringe	178
33	YoshikageBites	137
34	Shogunite	136
35	RobotMinion101	128
36	Mahoose	121
37	Kamflame10	118
38	xxPipperDipperxx	109
39	starbits140	107
40	AlphaWolfPlaysMC	100
41	Nesquiczek	97
41	Decaying_Lotus	97
43	Dedalus36	95
44	livingdaydreams	84
45	surfinggiraffejp	79
46	PigDab	74
47	teslawolf38	71
48	kekhon	65
49	eitanzaki	62
50	yulgur1	60
50	Deathkob	60
52	Freeman666	55
53	500am	54
53	DermeinUser	54
53	bitsplease	54
53	anbbang	54
57	Rebytre	53
58	TheSecondLord	52
59	_Dean_123	51
60	_Nuf	45
61	lcvezra	38
62	Nargotah	37
62	Legendosh	37
64	thewindmillman	35
65	Zedducius	32
65	TechnoNinja64	32
67	egglapras	30
67	The_slideV3	30
69	ShedJr_	25
70	FlashMigma	24
71	Meepcraft	23
72	Blu3beast	22
72	Xclax101	22
72	PlasticOtari	22
75	6king6colt6	21
75	Zaridey	21
75	fred870d	21
78	Chromary	20
78	Bumpy419	20
78	Dusk_95	20
81	brofrickcheaters	19
82	El_Jalapeno	18
83	noam464	17
83	ApophisNova	17
83	MyNamaSheff	17
86	nataliecool	16
86	Billious	16
86	EveryonesUncle	16
89	Corbsman	14
90	Yatitay	12
90	GlitchyPlate810	12
92	Ssor69	10
92	2Stout	10
92	Werbe	10
92	vandmanden	10
96	kyouma777	9
96	OfficerAnvil	9
98	chlorinex	8
98	mwrty	8
98	himak1	8
98	Maenara	8
102	Jackster03	7
102	bloodbiter	7
102	Onennon	7
102	Jiminie	7
106	thescout7	6
106	DemTechAlpha	6
108	breadbowlgamer	4
108	SingedBread	4
108	mobunni	4
108	Powowowow	4
112	Mr_Byzantine	3
112	Mewar	3
112	XboxPanda	3
112	Skomo	3
112	Rasmanden	3
112	EcksD	3
118	Jovaphobic	2
118	dudcreeper	2
118	I_Am_Mushkin	2
118	Historical_Sand	2
118	Blackberry1310	2
118	Fullut	2
118	Quinasin	2
118	GlitchMixed	2
118	Enderslayerxz3	2
127	pintsizedrogue	1
127	Incinere	1
127	TAKrules	1
127	Nostrom	1
127	boog4loo	1
127	Awyrlas	1
127	r123moore	1
127	SuperPooch06	1
127	RefluxRatio	1
127	Hiryu27	1
127	thgrocks	1
127	Nicky19	1
127	Segotep999	1
127	Steelynan	1
