rank	username	minecraft:used/minecraft:quartz_slab
1	Hyp3rion_	17035
2	beeperbeeper5	9199
3	joethahobo	8264
4	UMosDiesIrae	7252
5	Comma__	7169
6	AdmiralSmoke	7004
7	thescout7	5987
8	Groundler	4728
9	Lez_	4033
10	Di_infiri	3418
11	Incinere	3232
12	Spacewardharpy7	2836
13	Jackattack53	2589
14	EcksD	2503
15	Inbefour	2291
16	Lord_Jord	2197
17	EngagedGrub41	2115
18	Skippeh	2068
19	Frozil20	2050
20	eitanzaki	1970
21	PlasticOtari	1924
22	Truckoss	1898
23	Marbz_	1829
24	Rumpletaezer	1721
25	Legendosh	1674
26	ImpavidArcher	1598
27	xxPipperDipperxx	1575
28	Mahoose	1562
29	Merv__	1533
30	MilleGrug	1418
31	CattSoup	1336
32	xolstoi	1283
33	Krowuss	1247
34	Jovaphobic	1188
35	Skylord_Luke	1092
36	Huwulling	991
37	GooseWithin	941
38	Crowman1	885
39	_Karmaa	880
40	jnp_gaming	825
41	k_ce	793
42	Segotep999	792
43	The_slideV3	791
44	TheWildMateo	783
45	rarrq	768
46	Sral7	714
47	Yahrto	711
48	kekhon	706
49	ABUSNA1996	698
50	Swexti	656
51	Mr_Byzantine	649
52	CoffeeNoir	623
53	cedric72	603
54	hanaryheatwave	587
55	lordpipe	582
56	pintsizedrogue	575
57	SuperPooch06	571
58	SammiWolfGirl	548
59	StinkyDiplomat	461
60	titanlax	460
61	Hahaa_0	441
62	Tyrannosplart	439
63	Manaateee	431
64	ssleepless	409
65	SaucyDark	402
65	YungMaki	402
67	Cocoamallows	395
68	noam464	385
69	oscminus	381
70	catandmoose	377
71	nocturne78	373
72	TheShyPig	359
73	Eraxa	340
74	ZoomieZoomie	338
75	KingMatthew506	330
76	500am	319
77	SkateboardR6	308
78	Groovy_MoonBird	301
79	Xalithia	296
80	AJplaysMC_	293
81	Jonafrog99	271
82	BumbleBeever	258
83	Kowcio_	255
84	jessewegottacook	249
85	Optiprimus	247
86	Soplight	246
87	MunkaKris	241
88	skrongus	240
89	MakeHistory157	239
90	RobotMinion101	235
90	HellsSponge	235
92	EveryonesUncle	232
93	himak1	219
93	jedi_george	219
95	MadmanRaven	215
96	IamCL4SSY	213
97	FreakGenius	211
98	IgnoredBee	201
98	Winklepicker279	201
100	__tomato	197
101	Spenduh	164
102	NameGenerat0r	161
103	Ezekson	154
104	Smashic	150
105	EMC_	146
106	Blu3beast	142
107	shineh10	141
108	luseis	138
109	Blackberry1310	136
110	r123moore	134
110	drunkeeez	134
112	NinjaKnifeKill	132
113	Fuad_R	129
114	Akoot_	127
115	Ssor69	122
116	lillips	118
117	yheece	115
118	The_SlideV5	114
119	tobinwilliams	113
120	Enderxz3	111
121	Fizznut909	108
122	FelixPSY375	107
123	Arceus1975	105
124	MineMaster0012	102
125	TheSecondLord	90
125	RedcatVII	90
127	Saucepeh	89
128	Mattesco	88
128	PigDab	88
130	wobn	85
131	shadowthemonkey	80
132	MovingFish7	79
133	ROY4LE	76
133	RadarHz	76
135	DebbieBrunswick	74
136	soundad	71
137	Blamphe	69
138	KarlKaek	67
138	_Boipl_	67
138	xzvu	67
141	SvenskaSara	66
142	Werbe	65
143	Alteriity	64
144	mihimihimihi	63
145	Blaiku	61
146	Elastiq	59
147	chimpmunker	58
148	Snowflowe	57
148	FishisTTV	57
150	bloomkieren	56
151	Steelynan	55
152	12Magner05	53
152	Maenara	53
154	dartwaffle	52
154	MirielThePastor	52
156	_stets	50
156	Deathkob	50
158	Trixididntdie	49
159	WyngGoy	46
159	_Mythic____	46
159	Nicserso	46
162	Wooptey	45
163	teslawolf38	44
163	ProfessorBee	44
165	m_be9	42
165	FishyBoy3811	42
165	audiocracked	42
168	Shogunite	41
169	Cowison	40
169	Napoleonpancake	40
171	ooga47	39
171	ConnorDanky_	39
173	thewindmillman	36
173	weabis	36
175	AuroraValkyrie	34
176	ActualPatbaf	32
177	Zythose	31
178	NomadicRobin_	29
179	PegLegPete93	27
180	h2p_emrld	25
181	NieToksikpl	24
181	AssFullaCum	24
183	RebelAndroid	21
183	fffMike	21
183	Jimb0nat0r	21
186	j5ylim	20
186	MightyWertu	20
186	Hermanni__	20
189	_Huge_Male_	19
189	Kyrum2169	19
191	Avrelion	18
191	claivin	18
193	xFaiithyX	17
193	CrateOfBoxes	17
195	Myszoaz	16
195	DemTechAlpha	16
195	MAns_44	16
198	The11thDoctor	15
199	Billious	14
200	Reamdin	13
200	shdesolt	13
200	Cortexia	13
200	Irko	13
200	fallingemma	13
200	Donutt	13
206	youhjjhhhjj	12
206	trexgb	12
208	burbankbuilder28	11
209	Felenov	10
210	ClemenPine	9
210	wwwwinnebagoooo	9
212	MinttyFressh	8
212	Dakar_	8
212	SingedBread	8
212	obzii	8
212	AltnumberF4	8
217	6king6colt6	7
217	I_Am_Mushkin	7
217	T045RTY	7
217	Rebytre	7
217	Leyna3	7
217	LeonelSalamanca	7
217	TechnoNinja64	7
224	SlowMoNinja1994	6
224	ColeSnyder	6
224	RohnJosin	6
224	cog	6
224	Hisiste	6
224	StarCookiees_	6
230	ShedJr_	5
230	ratglock	5
230	DAD_1996	5
230	Hiryu27	5
230	Lutres_	5
235	Lukeee33	4
235	Auseawesome	4
235	CliffEmAll	4
235	Fullut	4
235	parodypatient	4
235	FreddyFart	4
235	SlinkyPinky	4
235	Deerfoot	4
235	tsitrawhy	4
235	Serval2000	4
245	theonlymagikarp	3
245	Barlycorn	3
247	Sleek_Storm_721	2
247	Historical_Sand	2
247	MrExplorer	2
247	yaboo88	2
247	Xclax101	2
247	Buuck_	2
247	Sheldor097	2
247	jcool7	2
247	KamFurnace	2
256	ECstardust	1
256	Zippyzam	1
256	_Nuf	1
256	SteveCraftBlocks	1
256	mwrty	1
256	Awyrlas	1
256	emrekn	1
256	CaptainBadKid	1
256	XboxPanda	1
256	crashomon	1
256	d4mndaniel2	1
256	F_Uhre	1
256	Wowful	1
256	KlausVonStiglitz	1
256	DarlaMeow	1
256	marumochis	1
256	Zetsey	1
256	xof_on_microwave	1
256	ZeroKraken	1
